Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,20.66,20.9,20.51,20.77,20.59,1207100
2019-05-08,20.78,20.9,20.54,20.68,20.5,1512100
2019-05-09,20.7,21.64,20.7,21.37,21.19,1761600
2019-05-10,21.35,21.66,21.18,21.63,21.44,1016600
2019-05-13,21.52,21.52,21.07,21.34,21.16,1354900
2019-05-14,21.39,21.91,21.34,21.86,21.67,1410600
2019-05-15,21.82,21.9,21.53,21.81,21.62,1140300
2019-05-16,21.86,22.3,21.86,22.09,21.9,820300
2019-05-17,22.35,22.67,22.03,22.04,21.85,1042700
2019-05-20,21.93,22.05,21.85,21.89,21.7,1025300
2019-05-21,22.0,22.05,21.73,21.87,21.68,902200
2019-05-22,21.79,22.07,21.76,21.99,21.8,1481400
2019-05-23,21.81,21.98,21.63,21.71,21.52,873000
2019-05-24,21.78,21.9,21.52,21.54,21.35,540700
2019-05-28,21.48,21.56,21.27,21.28,21.1,615000
2019-05-29,21.2,21.24,20.9,21.01,20.83,834200
2019-05-30,21.0,21.16,20.82,21.03,20.85,624600
2019-05-31,20.86,21.27,20.86,21.22,21.04,897000
2019-06-03,21.26,21.73,21.23,21.58,21.39,1037000
2019-06-04,21.71,21.81,21.31,21.4,21.22,1183200
2019-06-05,21.52,21.61,21.25,21.31,21.13,681800
2019-06-06,21.35,21.4,21.12,21.29,21.11,655400
2019-06-07,21.35,21.53,20.9,20.92,20.74,815900
2019-06-10,20.89,21.22,20.82,20.92,20.74,511900
2019-06-11,21.06,21.12,20.67,20.71,20.53,673400
2019-06-12,20.8,20.85,20.58,20.63,20.45,611300
2019-06-13,20.59,20.67,20.1,20.15,19.98,1439600
2019-06-14,20.1,20.75,20.1,20.74,20.56,2273300
2019-06-17,20.81,21.02,20.7,20.89,20.71,940100
2019-06-18,20.86,21.03,20.27,20.31,20.14,696100
2019-06-19,20.33,20.37,20.0,20.32,20.15,744200
2019-06-20,20.76,20.76,20.23,20.67,20.49,1168500
2019-06-21,20.55,20.59,20.3,20.48,20.3,1072300
2019-06-24,20.49,20.75,20.43,20.56,20.38,923400
2019-06-25,20.65,20.82,20.56,20.58,20.4,799500
2019-06-26,20.51,20.62,20.22,20.34,20.16,1231300
2019-06-27,20.52,20.81,20.37,20.75,20.57,1450500
2019-06-28,20.75,21.38,20.73,21.36,21.18,1451800
2019-07-01,21.37,21.78,21.29,21.68,21.49,952200
2019-07-02,21.77,21.94,21.71,21.87,21.68,592600
2019-07-03,21.84,22.09,21.72,21.96,21.77,478400
2019-07-05,21.9,22.24,21.77,22.13,21.94,449900
2019-07-08,22.16,22.28,21.98,22.1,21.91,562300
2019-07-09,22.1,22.13,21.9,22.05,21.86,653000
2019-07-10,22.15,22.26,21.98,22.15,21.96,688800
2019-07-11,22.16,22.36,21.92,22.03,21.84,985300
2019-07-12,22.01,22.58,21.97,22.51,22.32,1117800
2019-07-15,22.51,22.63,22.26,22.33,22.14,972200
2019-07-16,22.28,22.35,22.14,22.15,21.96,300800
2019-07-17,22.25,22.36,21.97,22.24,22.05,525000
2019-07-18,22.31,22.82,22.18,22.75,22.55,892600
2019-07-19,22.78,22.97,22.73,22.73,22.53,861600
2019-07-22,22.77,22.9,22.5,22.53,22.34,608400
2019-07-23,22.56,22.66,22.37,22.63,22.44,803900
2019-07-24,22.62,22.93,22.62,22.86,22.66,964600
2019-07-25,22.86,23.06,22.58,22.75,22.55,1034500
2019-07-26,22.8,22.8,22.49,22.57,22.38,1064000
2019-07-29,22.54,22.72,22.47,22.67,22.47,665400
2019-07-30,22.61,22.82,22.37,22.82,22.62,1046400
2019-07-31,22.84,22.84,22.11,22.27,22.08,895900
2019-08-01,22.26,22.63,22.13,22.18,21.99,1262200
2019-08-02,22.21,22.33,22.12,22.26,22.07,805900
2019-08-05,22.04,22.11,21.42,21.66,21.47,888900
2019-08-06,21.66,21.82,21.45,21.55,21.36,612100
2019-08-07,21.4,22.24,21.15,21.94,21.75,1537900
2019-08-08,22.63,22.69,21.47,22.05,21.86,1542400
2019-08-09,22.05,22.05,21.22,21.29,21.11,835200
2019-08-12,21.23,21.31,20.59,20.7,20.52,577300
2019-08-13,20.57,20.76,20.11,20.32,20.15,1925200
2019-08-14,20.11,20.2,19.88,20.0,19.83,831400
2019-08-15,20.06,20.72,20.04,20.6,20.42,1139100
2019-08-16,20.6,21.06,20.6,20.95,20.77,1106900
2019-08-19,21.06,21.06,20.68,20.72,20.54,1124400
2019-08-20,20.7,20.77,20.33,20.33,20.16,684900
2019-08-21,20.42,20.52,20.35,20.41,20.23,705500
2019-08-22,20.45,20.7,20.39,20.57,20.39,827800
2019-08-23,20.54,20.71,20.39,20.44,20.26,562500
2019-08-26,20.52,20.63,20.38,20.46,20.28,462700
2019-08-27,20.46,20.55,20.27,20.49,20.31,668100
2019-08-28,20.41,20.48,19.99,20.04,19.87,1503400
2019-08-29,20.16,20.29,20.11,20.15,19.98,1153800
