Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,267.0,268.9,260.0501,264.81,264.809998,1565694
2019-05-08,264.0,268.39,260.83,265.98,265.980011,1262973
2019-05-09,262.35,271.8,260.28,270.49,270.48999,1710054
2019-05-10,268.5,275.1984,266.5,274.9,274.899994,1754638
2019-05-13,266.88,271.16,259.27,260.12,260.119995,2776209
2019-05-14,263.22,272.93,263.22,272.07,272.070007,2046966
2019-05-15,270.0,276.425,269.535,273.96,273.959991,1283971
2019-05-16,275.0,281.74,274.21,277.96,277.959991,4212995
2019-05-17,275.71,277.3206,271.62,272.99,272.98999,1721931
2019-05-20,266.96,270.5,263.54,265.08,265.079987,2414989
2019-05-21,269.71,273.0,267.75,271.21,271.209991,1078906
2019-05-22,270.07,276.5,269.83,273.39,273.390015,775908
2019-05-23,270.06,270.87,263.88,264.79,264.790009,1458489
2019-05-24,266.75,269.435,265.0529,268.95,268.950012,1182193
2019-05-28,269.08,272.12,264.735,266.65,266.649994,1445009
2019-05-29,263.9,268.32,261.51,264.19,264.190002,1127763
2019-05-30,265.41,265.41,261.21,262.6,262.600006,1305010
2019-05-31,259.31,265.44,257.5,261.93,261.929993,1219518
2019-06-03,262.0,263.29,246.02,248.38,248.380005,2822316
2019-06-04,251.14,258.07,247.51,257.55,257.549988,1522761
2019-06-05,262.37,263.88,256.3,263.25,263.25,1827529
2019-06-06,263.24,269.675,261.82,268.49,268.48999,950467
2019-06-07,270.99,276.6871,270.99,274.55,274.549988,1692625
2019-06-10,279.36,280.555,275.61,275.87,275.869995,1248931
2019-06-11,279.86,279.86,263.95,266.29,266.290009,1467051
2019-06-12,266.0,270.3446,264.3345,267.88,267.880005,977918
2019-06-13,268.6,274.09,268.6,273.79,273.790009,1181456
2019-06-14,273.73,275.61,270.05,272.25,272.25,1015524
2019-06-17,273.7,276.38,271.72,274.56,274.559998,988362
2019-06-18,278.32,285.03,278.32,282.64,282.640015,2009961
2019-06-19,284.21,285.83,281.05,285.51,285.51001,1481959
2019-06-20,290.24,292.98,286.43,288.8,288.799988,1732966
2019-06-21,287.52,290.84,285.65,285.74,285.73999,1645431
2019-06-24,287.87,288.38,280.941,282.5,282.5,1542504
2019-06-25,283.15,283.15,273.06,275.36,275.359985,1587235
2019-06-26,278.78,285.2,273.86,275.34,275.339996,1310422
2019-06-27,277.37,280.825,276.21,278.51,278.51001,1144091
2019-06-28,277.81,280.19,274.57,274.57,274.570007,4161101
2019-07-01,281.99,284.335,279.49,283.51,283.51001,1742752
2019-07-02,283.31,289.32,283.145,288.31,288.309998,1946478
2019-07-03,289.9,294.225,289.9,293.15,293.149994,1116401
2019-07-05,291.0,294.62,288.55,294.53,294.529999,1005134
2019-07-08,293.65,293.78,289.65,293.0,293.0,1268846
2019-07-09,291.41,299.12,290.63,298.02,298.019989,1655995
2019-07-10,299.61,302.99,298.31,298.75,298.75,1209659
2019-07-11,300.41,302.625,299.46,302.31,302.309998,886716
2019-07-12,302.3,303.17,296.1055,301.13,301.130005,964060
2019-07-15,302.0,302.41,297.875,301.1,301.100006,730027
2019-07-16,300.0,301.3,294.2025,295.5,295.5,1161775
2019-07-17,295.5,300.16,294.505,296.56,296.559998,865847
2019-07-18,296.32,298.49,294.0317,294.68,294.679993,1100346
2019-07-19,298.05,299.2,288.455,289.74,289.73999,1396043
2019-07-22,293.4,294.97,289.62,293.81,293.809998,1963841
2019-07-23,295.02,295.02,287.64,291.01,291.01001,1607033
2019-07-24,291.72,297.61,290.5,297.21,297.209991,2766216
2019-07-25,288.5,290.75,279.69,285.73,285.730011,4532086
2019-07-26,288.37,290.1946,285.75,289.33,289.329987,1711790
2019-07-29,289.34,290.0,275.59,285.84,285.839996,3271931
2019-07-30,284.28,286.39,280.97,281.0,281.0,1556970
2019-07-31,281.71,282.5018,272.61,277.39,277.390015,2097696
2019-08-01,277.38,281.72,271.12,274.0,274.0,2759194
2019-08-02,272.95,273.11,261.88,265.86,265.859985,2437908
2019-08-05,255.01,262.54,251.8987,256.81,256.809998,3590736
2019-08-06,261.66,265.0,257.35,261.71,261.709991,1724900
2019-08-07,259.66,264.95,257.0,260.69,260.690002,1291505
2019-08-08,262.01,267.73,261.38,267.11,267.109985,1644697
2019-08-09,267.25,268.0,262.74,263.82,263.820007,899617
2019-08-12,261.3,263.12,257.75,258.93,258.570007,760915
2019-08-13,258.0,263.57,257.35,262.19,262.190002,1614502
2019-08-14,258.34,259.8725,251.69,252.31,252.309998,1776320
2019-08-15,252.0,254.91,250.1901,252.29,252.289993,1813235
2019-08-16,255.91,259.9,254.8733,256.91,256.910004,1523150
2019-08-19,260.0,261.585,254.635,255.51,255.509995,1844222
2019-08-20,255.5,257.605,252.58,255.28,255.279999,1367309
2019-08-21,262.0,267.84,260.24,265.78,265.779999,1930823
2019-08-22,266.5,267.95,262.28,264.64,264.640015,1295676
2019-08-23,266.37,274.56,261.815,263.07,263.070007,2643404
2019-08-26,265.0,266.87,262.31,266.57,266.570007,875558
2019-08-27,269.02,269.6,261.94,266.21,266.209991,1509792
2019-08-28,261.77,263.31,258.22,260.32,260.320007,1673874
2019-08-29,263.86,265.945,260.5999,264.79,264.790009,1102238
2019-08-30,265.91,266.58,256.65,261.84,261.839996,1512651
2019-09-03,264.09,265.56,261.0,263.38,263.380005,1448627
2019-09-04,265.72,270.14,265.25,268.52,268.519989,1215045
2019-09-05,270.32,273.16,260.6015,269.62,269.619995,2164911
2019-09-06,269.9,270.56,262.47,263.5,263.5,1408756
2019-09-09,264.0,265.84,250.0,254.68,254.679993,2934163
2019-09-10,250.47,255.665,246.5,253.18,253.179993,2540656
2019-09-11,252.63,259.065,251.02,253.67,253.669998,1499565
2019-09-12,256.6,259.66,255.52,256.81,256.809998,1832628
2019-09-13,255.375,256.3799,251.0,251.96,251.960007,1545733
2019-09-16,251.0,261.24,250.0,261.15,261.149994,1193747
2019-09-17,263.36,268.0,260.74,264.05,264.049988,1297485
2019-09-18,266.69,266.9,259.77,265.85,265.850006,1479228
2019-09-19,265.45,269.18,262.5,268.74,268.73999,1509177
2019-09-20,269.47,271.39,266.59,271.17,271.170013,2155882
2019-09-23,272.47,273.6321,266.96,267.0,267.0,1256394
2019-09-24,267.0,268.33,256.1004,257.5,257.5,1535747
2019-09-25,257.5,259.64,248.67,259.38,259.380005,2575995
2019-09-26,259.39,259.654,255.235,257.99,257.98999,959725
2019-09-27,258.92,259.49,245.27,250.26,250.259995,2296504
2019-09-30,252.2,254.8,249.51,253.85,253.850006,1231424
2019-10-01,255.32,256.12,249.71,250.13,250.130005,1726119
2019-10-02,249.06,250.76,243.54,246.85,246.850006,1813422
2019-10-03,247.77,258.56,244.29,257.37,257.369995,1695354
2019-10-04,260.23,267.22,259.58,266.48,266.480011,1938273
2019-10-07,266.23,270.5,266.23,268.15,268.149994,2018144
2019-10-08,266.0,268.37,257.98,258.13,258.130005,1176961
2019-10-09,260.84,263.52,259.48,262.02,262.019989,851706
2019-10-10,260.02,264.675,259.1,263.18,263.179993,792226
2019-10-11,268.06,273.96,266.31,270.33,270.329987,1768867
2019-10-14,270.07,271.2193,267.86,269.44,269.440002,1386461
2019-10-15,270.44,276.5,270.0,274.24,274.23999,1783239
2019-10-16,258.93,260.75,249.1,254.6,254.600006,4791524
2019-10-17,258.29,259.06,252.05,254.31,254.309998,2239908
2019-10-18,253.97,257.51,240.62,243.0,243.0,4418720
2019-10-21,245.09,245.8073,239.1,240.9,240.899994,3860966
2019-10-22,241.91,242.45,225.0,228.34,228.339996,8309717
2019-10-23,216.3,225.73,213.99,220.01,220.009995,12369354
2019-10-24,236.56,243.82,232.25,237.78,237.779999,9496433
2019-10-25,237.77,241.5,234.06,241.22,241.220001,3367118
2019-10-28,243.4,246.28,240.0007,244.7,244.699997,3522072
2019-10-29,243.99,248.99,240.82,241.04,241.039993,1893662
2019-10-30,243.34,250.24,239.025,249.95,249.949997,1932349
2019-10-31,249.96,250.81,244.01,247.26,247.259995,1472207
2019-11-01,248.94,256.16,247.41,253.03,253.029999,2496976
2019-11-04,254.49,255.575,245.05,245.8,245.800003,1826851
2019-11-05,245.81,246.4,239.13,241.86,241.860001,2248481
2019-11-06,241.75,242.73,238.97,241.35,241.350006,1388110
2019-11-07,242.0,244.65,239.81,240.89,240.889999,1931401
2019-11-08,239.92,249.2,238.29,248.45,248.449997,1959666
2019-11-11,247.31,250.0,245.815,248.55,248.550003,1708735
2019-11-12,249.29,253.49,249.2,252.53,252.529999,1902520
2019-11-13,250.93,255.11,249.01,253.94,253.940002,1982203
2019-11-14,252.77,255.41,249.47,253.85,253.850006,1819538
2019-11-15,255.5,260.04,254.29,259.96,259.959991,2246976
2019-11-18,258.0,268.45,257.3,266.31,266.309998,3236040
2019-11-19,277.25,279.9,272.53,277.74,277.73999,9968845
2019-11-20,276.88,284.295,276.65,283.0,283.0,37983650
2019-11-21,282.32,283.47,277.75,279.12,279.119995,4123840
2019-11-22,280.0,280.85,276.89,279.98,279.980011,2169847
2019-11-25,280.0,284.0,278.41,279.75,279.75,3266757
2019-11-26,281.0,281.15,278.62,278.86,278.859985,2379252
2019-11-27,279.51,281.49,277.85,281.28,281.279999,1346642
2019-11-29,280.97,283.49,280.1,283.04,283.040009,900818
2019-12-02,283.0,283.0,269.5,277.35,277.350006,2363654
2019-12-03,271.79,280.0,271.06,279.01,279.01001,2389699
2019-12-04,277.87,278.07,272.8,273.8,273.799988,1886766
2019-12-05,273.0,277.25,271.86,273.13,273.130005,1194694
2019-12-06,274.9,275.309,269.62,272.04,272.040009,1885523
2019-12-09,271.77,272.595,269.615,269.7,269.700012,1079280
