Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,44.47,44.47,42.79,43.28,42.98,55522000
2019-05-08,43.0,44.29,42.88,43.48,43.18,41916800
2019-05-09,42.79,42.88,41.35,42.55,42.26,66024800
2019-05-10,42.24,42.9,41.0,42.21,41.92,56950000
2019-05-13,40.88,41.11,39.45,39.61,39.34,65691200
2019-05-14,40.01,40.87,39.62,40.51,40.23,52488000
2019-05-15,39.95,40.26,39.35,39.9,39.62,50232000
2019-05-16,39.84,40.48,39.41,40.05,39.78,78108800
2019-05-17,39.63,40.93,38.74,39.13,38.87,102206800
2019-05-20,38.14,38.69,37.69,37.94,37.68,57206400
2019-05-21,38.55,38.92,38.16,38.76,38.5,36184800
2019-05-22,38.38,38.64,37.94,38.05,37.79,32586800
2019-05-23,37.42,37.42,36.23,36.83,36.58,59184400
2019-05-24,37.02,37.38,36.22,36.29,36.04,35758400
2019-05-28,36.47,36.79,35.81,35.83,35.59,42835600
2019-05-29,35.35,35.71,34.74,35.08,34.85,55980000
2019-05-30,35.08,35.44,34.39,34.78,34.58,39430000
2019-05-31,34.28,34.96,33.85,33.87,33.67,38972000
2019-06-03,33.98,34.37,33.15,33.45,33.26,47864400
2019-06-04,34.09,35.8,33.87,35.75,35.55,64183600
2019-06-05,36.49,36.55,34.96,35.32,35.12,51161600
2019-06-06,35.36,36.19,35.34,35.95,35.74,40814000
2019-06-07,36.01,36.72,35.81,36.38,36.17,34885600
2019-06-10,36.94,37.8,36.94,37.11,36.9,40278000
2019-06-11,37.71,38.09,37.29,37.69,37.47,38387200
2019-06-12,37.25,37.31,36.4,36.55,36.34,35889200
2019-06-13,36.77,37.25,36.6,37.06,36.86,30808000
2019-06-14,36.13,36.37,35.71,36.16,35.96,39442800
2019-06-17,36.14,36.63,35.91,36.26,36.05,27604000
2019-06-18,36.88,38.78,36.76,38.22,38.0,58192000
2019-06-19,38.58,38.69,38.02,38.28,38.06,33164400
2019-06-20,39.19,39.33,38.38,38.53,38.31,35016800
2019-06-21,38.38,38.87,37.88,37.94,37.73,43442800
2019-06-24,38.15,38.46,37.68,38.17,37.95,28294800
2019-06-25,38.22,38.97,37.84,37.87,37.66,31186800
2019-06-26,39.15,40.43,39.02,39.81,39.59,58407200
2019-06-27,40.68,41.0,40.31,40.81,40.58,44544000
2019-06-28,41.25,41.34,40.59,41.06,40.83,39766800
2019-07-01,43.14,43.49,41.17,41.54,41.31,70975600
2019-07-02,41.38,41.59,40.42,40.56,40.33,40022800
2019-07-03,40.79,40.85,40.08,40.69,40.46,24663600
2019-07-05,40.1,40.15,39.42,40.06,39.83,39655200
2019-07-08,39.46,39.65,39.0,39.3,39.08,32978800
2019-07-09,38.88,39.61,38.75,39.33,39.1,34286000
2019-07-10,39.76,40.59,39.63,40.01,39.79,45207600
2019-07-11,40.75,41.98,40.38,41.57,41.33,68256000
2019-07-12,41.85,42.62,41.85,41.9,41.67,50639200
2019-07-15,42.12,42.28,41.53,41.82,41.58,28984000
2019-07-16,41.67,42.04,41.21,41.77,41.53,34144400
2019-07-17,41.79,42.5,41.49,42.43,42.19,34820400
2019-07-18,42.53,43.18,41.96,42.54,42.3,44219200
2019-07-19,42.93,42.99,42.05,42.11,41.87,34489600
2019-07-22,42.33,42.96,42.25,42.83,42.59,31594000
2019-07-23,43.22,43.94,43.07,43.92,43.67,42817600
2019-07-24,44.35,44.72,43.58,44.67,44.41,36623600
2019-07-25,44.25,44.38,43.11,43.35,43.1,39270000
2019-07-26,43.62,44.24,43.62,43.77,43.52,27416000
2019-07-29,43.7,43.87,42.82,43.71,43.46,24816000
