Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,26.88,27.13,26.29,26.49,23.57,1679799
2019-05-08,26.44,26.7,26.23,26.24,23.35,862309
2019-05-09,26.01,26.51,25.91,26.26,23.36,1187146
2019-05-10,26.09,26.41,25.78,26.02,23.15,1157105
2019-05-13,25.44,26.16,25.01,25.1,22.33,1536750
2019-05-14,25.16,25.6,25.13,25.37,22.57,1233795
2019-05-15,25.11,25.44,25.04,25.14,22.37,1005896
2019-05-16,25.3,25.61,25.16,25.29,22.5,1188256
2019-05-17,25.01,25.65,25.0,25.11,22.34,1131713
2019-05-20,24.96,25.35,24.24,24.32,21.64,1916262
2019-05-21,24.5,24.62,24.33,24.49,21.79,1819606
2019-05-22,24.33,24.59,24.0,24.17,21.51,1102420
2019-05-23,23.83,24.03,23.68,23.95,21.31,1552253
2019-05-24,24.1,24.19,23.87,24.01,21.36,1492204
2019-05-28,24.19,24.28,23.59,23.65,21.04,994829
2019-05-29,23.46,23.86,23.43,23.56,20.96,1102415
2019-05-30,23.58,23.79,23.25,23.34,20.77,791585
2019-05-31,22.97,23.19,22.8,23.06,20.52,1317501
2019-06-03,23.1,23.58,23.03,23.36,20.78,1395218
2019-06-04,23.6,24.08,23.6,24.05,21.4,1060734
2019-06-05,24.16,24.2,23.23,23.81,21.18,1212385
2019-06-06,23.81,23.94,23.59,23.86,21.23,1254665
2019-06-07,23.98,24.11,23.84,23.96,21.32,794835
2019-06-10,24.06,24.62,24.01,24.46,21.76,852288
2019-06-11,24.72,24.74,23.64,23.71,21.1,1507917
2019-06-12,23.79,23.95,23.62,23.87,21.24,807806
2019-06-13,23.97,24.2,23.78,24.09,21.43,1043417
2019-06-14,24.0,24.05,23.57,23.9,21.26,1156855
2019-06-17,23.98,24.12,23.86,23.98,21.34,832943
2019-06-18,24.17,24.55,24.06,24.13,21.47,1122304
2019-06-19,24.28,24.28,23.93,23.97,21.33,691726
2019-06-20,24.36,24.41,23.93,24.37,21.68,734979
2019-06-21,24.28,24.59,24.17,24.29,21.61,1616201
2019-06-24,24.33,24.41,24.13,24.3,21.62,918886
2019-06-25,24.39,24.68,24.29,24.46,21.76,948923
2019-06-26,24.55,24.88,24.54,24.78,22.05,881525
2019-06-27,24.87,24.95,24.57,24.69,21.97,1394232
2019-06-28,24.75,25.05,24.66,24.79,22.06,1344204
2019-07-01,25.17,25.5,24.93,25.02,22.26,967116
2019-07-02,24.95,25.37,24.89,25.11,22.34,1597654
2019-07-03,25.2,25.5,25.1,25.45,22.64,751090
2019-07-05,25.27,25.37,25.04,25.35,22.56,646649
2019-07-08,25.2,25.42,25.13,25.28,22.49,993700
2019-07-09,25.07,25.24,24.62,24.7,21.98,774452
2019-07-10,24.84,24.86,24.18,24.3,21.62,674059
2019-07-11,24.33,24.47,24.08,24.21,21.54,862756
2019-07-12,24.25,24.85,24.21,24.72,21.99,571196
2019-07-15,24.79,24.85,24.42,24.84,22.1,826660
2019-07-16,24.74,25.04,24.74,24.85,22.11,723148
2019-07-17,24.74,24.9,24.37,24.54,21.83,807716
2019-07-18,24.4,24.43,24.18,24.21,21.7,927234
2019-07-19,24.29,24.6,24.14,24.19,21.68,550039
2019-07-22,24.14,24.4,24.1,24.27,21.75,1150065
2019-07-23,24.41,24.95,24.41,24.91,22.32,695600
2019-07-24,24.65,25.3,24.6,25.22,22.6,2915793
2019-07-25,25.05,25.17,24.56,24.77,22.2,1160290
2019-07-26,24.75,25.07,24.58,24.93,22.34,874980
2019-07-29,24.98,25.0,24.56,24.84,22.26,940602
2019-07-30,24.68,25.15,24.64,25.07,22.47,834267
2019-07-31,25.04,25.34,24.64,24.79,22.22,3072106
2019-08-01,24.2,24.3,22.52,22.59,20.24,3240919
2019-08-02,22.25,22.25,21.48,21.57,19.33,2070727
2019-08-05,21.13,21.21,20.67,20.79,18.63,1567429
2019-08-06,20.56,21.06,20.43,21.04,18.85,1103059
2019-08-07,20.71,20.98,20.42,20.95,18.77,1207136
2019-08-08,21.4,21.63,21.11,21.42,19.2,1148967
2019-08-09,21.29,21.42,21.05,21.24,19.03,1158388
2019-08-12,21.09,21.27,20.67,21.12,18.93,2574885
2019-08-13,21.19,22.25,21.1,21.58,19.34,1286073
2019-08-14,21.11,21.2,20.74,20.84,18.68,1628201
2019-08-15,20.86,20.86,20.55,20.59,18.45,1239657
2019-08-16,20.73,21.08,20.67,20.97,18.79,940754
2019-08-19,21.35,21.46,20.97,21.11,18.92,920874
2019-08-20,21.01,21.01,20.57,20.62,18.48,813502
2019-08-21,20.72,20.92,20.61,20.74,18.59,694374
2019-08-22,20.86,20.95,20.56,20.63,18.49,624608
2019-08-23,20.5,20.62,20.1,20.14,18.05,1058083
2019-08-26,20.27,20.34,19.68,20.05,17.97,1462195
2019-08-27,20.1,20.3,19.59,19.61,17.57,1161361
2019-08-28,19.5,19.97,19.28,19.8,17.74,822865
2019-08-29,19.99,20.19,19.94,20.01,17.93,703560
2019-08-30,20.08,20.33,20.07,20.26,18.16,842202
2019-09-03,20.05,20.24,19.57,19.91,17.84,1435318
2019-09-04,20.18,20.38,20.12,20.37,18.25,665497
2019-09-05,20.67,20.98,20.59,20.85,18.68,1781406
2019-09-06,20.93,21.33,20.85,21.3,19.09,1167309
2019-09-09,21.43,21.78,21.28,21.74,19.48,1154350
2019-09-10,21.84,22.56,21.83,22.33,20.01,1967146
2019-09-11,22.43,22.96,21.97,22.96,20.58,715454
2019-09-12,22.95,22.97,21.95,22.35,20.03,2418669
2019-09-13,22.55,22.67,21.99,22.3,19.98,1496402
2019-09-16,22.28,22.32,21.98,22.21,19.9,964787
2019-09-17,21.93,22.42,21.64,22.11,19.81,1701839
2019-09-18,22.05,22.18,21.89,22.1,19.8,1339162
2019-09-19,22.06,22.22,21.75,21.83,19.56,1349489
2019-09-20,21.97,22.08,21.61,21.88,19.61,4446807
2019-09-23,21.55,21.98,21.55,21.79,19.53,1252232
2019-09-24,21.71,21.84,21.17,21.59,19.35,1819642
2019-09-25,21.52,22.0,21.44,21.89,19.62,1175091
2019-09-26,21.75,21.88,21.62,21.76,19.5,1162781
2019-09-27,21.95,22.07,21.81,21.9,19.63,2575718
