Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,6.69,6.74,6.67,6.69,4.88,706617
2019-05-08,6.67,6.73,6.65,6.69,4.88,595203
2019-05-09,6.62,6.68,6.6,6.64,4.85,535662
2019-05-10,6.64,6.71,6.61,6.67,4.86,488917
2019-05-13,6.45,6.46,6.38,6.38,4.65,700753
2019-05-14,6.5,6.54,6.48,6.49,4.74,606827
2019-05-15,6.43,6.48,6.4,6.45,4.71,501255
2019-05-16,6.45,6.53,6.45,6.49,4.74,705285
2019-05-17,6.34,6.36,6.31,6.32,4.61,1455598
2019-05-20,6.22,6.25,6.17,6.18,4.51,704847
2019-05-21,6.26,6.34,6.24,6.27,4.57,836407
2019-05-22,6.05,6.06,6.0,6.01,4.39,657343
2019-05-23,5.97,6.07,5.96,6.04,4.41,841768
2019-05-24,6.05,6.08,6.01,6.07,4.43,452596
2019-05-28,6.02,6.03,5.96,5.98,4.36,529072
2019-05-29,5.94,5.98,5.92,5.98,4.36,687694
2019-05-30,5.97,6.02,5.93,5.97,4.35,630334
2019-05-31,5.89,5.92,5.87,5.89,4.3,401405
2019-06-03,5.87,5.91,5.85,5.88,4.29,515998
2019-06-04,6.04,6.12,6.04,6.11,4.46,588250
2019-06-05,6.01,6.01,5.94,5.97,4.35,462478
2019-06-06,5.96,5.98,5.91,5.94,4.34,521041
2019-06-07,5.96,6.0,5.94,5.97,4.35,518883
2019-06-10,5.99,6.02,5.98,6.0,4.38,720886
2019-06-11,6.01,6.04,6.0,6.02,4.39,583167
2019-06-12,5.99,5.99,5.89,5.9,4.31,706317
2019-06-13,5.97,6.0,5.92,5.94,4.34,497720
2019-06-14,5.88,5.88,5.84,5.84,4.26,497640
2019-06-17,5.92,5.94,5.88,5.89,4.3,768328
2019-06-18,5.84,5.93,5.84,5.91,4.31,947260
2019-06-19,6.11,6.17,6.06,6.07,4.43,1008206
2019-06-20,6.1,6.1,6.02,6.06,4.42,699612
2019-06-21,6.02,6.04,5.96,5.99,4.37,2527416
2019-06-24,6.0,6.04,5.96,5.97,4.35,471985
2019-06-25,5.99,6.01,5.97,5.97,4.35,575617
2019-06-26,6.01,6.07,6.0,6.05,4.42,565526
2019-06-27,6.07,6.1,6.05,6.08,4.44,981887
2019-06-28,6.07,6.12,6.07,6.12,4.46,441760
2019-07-01,6.18,6.19,6.13,6.16,4.5,482193
2019-07-02,6.14,6.17,6.13,6.13,4.47,509116
2019-07-03,6.18,6.19,6.15,6.17,4.5,289364
2019-07-05,6.21,6.26,6.17,6.21,4.53,506297
2019-07-08,6.18,6.21,6.17,6.18,4.51,636777
2019-07-09,6.24,6.27,6.21,6.24,4.55,450041
2019-07-10,6.25,6.28,6.21,6.24,4.55,562068
2019-07-11,6.27,6.33,6.27,6.29,4.59,534161
2019-07-12,6.35,6.36,6.31,6.32,4.61,383277
2019-07-15,6.3,6.3,6.25,6.27,4.57,815021
2019-07-16,6.26,6.27,6.21,6.22,4.54,489313
2019-07-17,6.25,6.25,6.2,6.21,4.53,401393
2019-07-18,6.3,6.33,6.3,6.33,4.62,422275
2019-07-19,6.26,6.27,6.21,6.24,4.55,424087
2019-07-22,6.22,6.26,6.18,6.25,4.56,400555
2019-07-23,6.2,6.25,6.2,6.24,4.55,762280
2019-07-24,6.22,6.27,6.22,6.27,4.57,596872
2019-07-25,6.21,6.24,6.17,6.18,4.51,541705
2019-07-26,6.17,6.19,6.16,6.16,4.5,252575
2019-07-29,6.18,6.19,6.11,6.12,4.46,343581
2019-07-30,5.87,5.9,5.85,5.88,4.29,657889
2019-07-31,5.77,5.83,5.76,5.79,4.23,819804
2019-08-01,5.74,5.77,5.66,5.68,4.14,926921
2019-08-02,5.38,5.43,5.33,5.43,3.96,1470644
2019-08-05,5.29,5.31,5.22,5.27,3.84,1127186
2019-08-06,5.37,5.4,5.32,5.38,3.93,1546609
2019-08-07,5.36,5.46,5.34,5.44,3.97,1010488
2019-08-08,5.45,5.51,5.41,5.48,4.0,803596
2019-08-09,5.45,5.46,5.38,5.44,3.97,1040448
2019-08-12,5.32,5.34,5.27,5.28,3.85,1228681
2019-08-13,5.31,5.38,5.3,5.32,3.88,1270087
2019-08-14,5.29,5.29,5.19,5.21,3.8,1211646
2019-08-15,4.73,4.73,4.66,4.68,3.67,1846784
2019-08-16,4.81,4.84,4.78,4.79,3.75,2510212
2019-08-19,4.86,4.89,4.85,4.87,3.81,1122529
2019-08-20,4.85,4.89,4.81,4.85,3.8,1753205
2019-08-21,4.84,4.85,4.78,4.8,3.76,911506
2019-08-22,4.89,4.9,4.84,4.89,3.83,760205
2019-08-23,4.92,4.94,4.81,4.81,3.77,747503
2019-08-26,4.86,4.87,4.78,4.82,3.78,515099
2019-08-27,4.93,4.95,4.87,4.89,3.83,1502622
2019-08-28,4.79,4.84,4.78,4.8,3.76,954436
2019-08-29,4.84,4.86,4.81,4.82,3.78,628574
2019-08-30,4.9,4.91,4.85,4.88,3.82,743962
2019-09-03,4.77,4.82,4.77,4.8,3.76,704671
2019-09-04,4.86,4.88,4.81,4.86,3.8,1547250
2019-09-05,5.05,5.12,5.05,5.06,3.96,862344
