Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,53.46,54.35,53.08,54.25,50.05,10711773
2019-05-10,53.77,54.97,53.51,54.65,50.42,11200287
2019-05-13,53.72,53.95,53.39,53.43,49.29,10664674
2019-05-14,53.64,54.62,53.36,54.13,49.94,11520824
2019-05-15,53.91,54.81,53.84,54.56,50.34,8573131
2019-05-16,54.91,55.15,54.55,54.64,50.41,10013804
2019-05-17,54.19,54.92,54.19,54.5,50.28,9057070
2019-05-20,53.95,54.36,53.53,53.66,49.51,9820306
2019-05-21,54.21,54.27,54.03,54.17,49.98,8482013
2019-05-22,54.23,54.55,54.04,54.2,50.0,8389651
2019-05-23,53.72,53.72,52.51,53.08,48.97,11213892
2019-05-24,53.38,53.47,52.59,52.77,48.68,9090777
2019-05-28,53.08,53.28,51.75,51.75,47.74,28230397
2019-05-29,51.43,51.81,51.05,51.69,47.69,12448661
2019-05-30,51.93,52.03,51.46,51.72,47.72,8569531
2019-05-31,51.24,51.36,50.51,50.6,46.68,11847089
2019-06-03,50.56,51.08,49.89,50.24,46.35,17434453
2019-06-04,50.79,52.24,50.63,52.02,47.99,17073297
2019-06-05,52.78,53.24,51.85,52.1,48.07,15855294
2019-06-06,52.09,52.74,51.86,52.59,48.52,10266909
2019-06-07,52.8,53.42,52.78,53.26,49.14,11591841
2019-06-10,53.68,54.41,53.57,54.01,49.83,12984592
2019-06-11,54.5,54.61,53.84,53.94,49.76,11288443
2019-06-12,53.68,54.05,53.43,53.62,49.47,10235475
2019-06-13,53.98,53.98,53.44,53.84,49.67,11289078
2019-06-14,53.61,53.83,53.28,53.28,49.15,12973055
2019-06-17,53.34,53.55,52.95,53.13,49.02,15208007
2019-06-18,52.86,53.6,52.41,52.9,48.8,20999664
2019-06-19,52.75,53.13,52.25,52.68,48.6,35449547
2019-06-20,55.98,57.47,55.53,56.99,52.58,54173948
2019-06-21,57.14,57.15,56.06,56.12,51.77,45168973
2019-06-24,56.25,57.3,55.9,56.74,52.35,19544187
2019-06-25,56.87,57.18,56.06,56.07,51.73,25462063
2019-06-26,56.43,56.85,56.24,56.66,52.27,15045220
2019-06-27,57.0,57.39,56.76,56.77,52.37,12605801
2019-06-28,56.9,57.08,56.36,56.97,52.56,42570474
2019-07-01,57.15,58.09,57.03,58.01,53.52,20438274
2019-07-02,57.88,58.56,57.77,58.46,53.93,17569987
2019-07-03,58.45,58.95,58.38,58.86,54.3,9989106
2019-07-05,58.53,59.52,58.34,59.28,54.69,13838941
2019-07-08,59.19,59.67,59.01,59.53,54.92,16105621
2019-07-09,59.2,59.63,59.01,59.6,54.99,14348560
2019-07-10,59.94,60.5,59.75,60.15,55.49,16059070
2019-07-11,60.18,60.21,59.4,59.99,55.35,11150361
2019-07-12,60.09,60.09,59.3,59.81,55.18,11234299
2019-07-15,59.85,59.85,59.25,59.53,54.92,10721578
2019-07-16,59.17,59.48,58.59,58.61,54.29,9698897
2019-07-17,58.8,58.95,57.99,57.99,53.72,9090941
2019-07-18,57.69,58.14,57.6,58.12,53.84,11883356
2019-07-19,58.31,58.53,57.52,57.54,53.3,11663536
2019-07-22,57.88,58.08,57.55,57.6,53.36,8761770
2019-07-23,58.06,58.14,57.45,57.45,53.22,8141115
2019-07-24,57.45,58.22,57.38,58.11,53.83,10778775
2019-07-25,58.37,58.63,58.08,58.29,53.99,8176205
2019-07-26,58.34,58.65,58.2,58.5,54.19,6057434
2019-07-29,58.79,58.79,57.8,58.06,53.78,7439258
2019-07-30,57.76,58.15,57.43,57.49,53.25,6367207
2019-07-31,57.88,57.88,55.62,56.3,52.15,11966713
2019-08-01,56.3,56.85,55.52,55.88,51.76,10215157
2019-08-02,56.19,56.19,55.0,55.84,51.72,12644401
2019-08-05,55.1,55.1,53.69,53.76,49.8,16204573
2019-08-06,54.2,54.45,53.61,53.96,49.98,13149503
2019-08-07,53.13,54.07,52.97,53.34,49.41,16344061
2019-08-08,53.72,54.75,53.72,54.65,50.62,12460824
2019-08-09,54.24,54.47,53.52,53.9,49.93,8471272
2019-08-12,53.68,53.79,53.0,53.25,49.33,7030066
2019-08-13,53.14,54.24,53.0,53.97,49.99,11447038
2019-08-14,53.35,53.37,52.24,52.32,48.46,12489202
2019-08-15,52.65,52.72,51.96,52.59,48.71,11257013
2019-08-16,53.18,53.7,53.01,53.59,49.64,9913097
2019-08-19,54.22,54.37,53.76,53.87,49.9,8273335
2019-08-20,53.52,53.84,52.9,52.98,49.08,7577816
2019-08-21,53.53,53.93,53.17,53.24,49.32,6113303
2019-08-22,53.58,53.72,52.89,53.19,49.27,6744890
2019-08-23,53.06,53.32,51.25,51.58,47.78,11374639
2019-08-26,52.14,52.32,51.83,52.13,48.29,8582319
2019-08-27,52.44,52.62,52.22,52.39,48.53,13853329
2019-08-28,52.2,52.2,51.62,51.95,48.12,7499128
2019-08-29,52.65,52.81,52.09,52.16,48.32,6857966
