Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,27.32,27.32,27.32,27.32,0.36,852
2019-05-10,27.2917,27.2917,27.2917,27.2917,0.37,304
2019-05-13,27.2327,27.27,26.745,26.745,0.37,1353
2019-05-14,27.495,27.495,27.315,27.315,0.37,552
2019-05-15,27.32,27.4933,27.3081,27.4933,0.39,1174
2019-05-16,27.49,27.49,27.2757,27.3546,0.36,717
2019-05-17,27.0848,27.0848,27.0848,27.0848,0.37,269
2019-05-20,27.0152,27.0152,27.0152,27.0152,27.0152,175
2019-05-21,27.3,27.4051,27.29,27.29,0.36,1687
2019-05-22,27.3,27.3,27.3,27.3,0.36,4191
2019-05-23,27.17,27.17,27.06,27.135,0.35,5172
2019-05-24,27.09,27.09,26.88,27.088,0.35,1494
2019-05-28,26.89,27.05,26.87,27.05,0.33,1491
2019-05-29,26.6886,26.8199,26.3891,26.3891,0.32,1237
2019-05-30,26.4425,26.4425,26.4425,26.4425,0.34,225
2019-05-31,26.5,26.5,26.005,26.2827,0.35,3862
2019-06-03,26.0981,26.2335,26.0981,26.1,0.35,1022
2019-06-04,26.13,26.3,26.13,26.3,0.35,367
2019-06-05,26.6,26.6,26.6,26.6,0.37,1576
2019-06-06,26.5389,26.5389,26.5389,26.5389,0.38,835
2019-06-07,0.38,0.38,0.38,0.38,0.38,0
2019-06-10,26.56,26.86,26.54,26.54,0.4,1472
2019-06-11,26.97,26.97,26.63,26.8538,0.4,900
2019-06-12,26.66,26.9027,26.6355,26.9,0.4,1278
2019-06-13,26.8625,27.1055,26.8625,26.9405,0.4,950
2019-06-14,26.8492,26.85,26.6789,26.6789,0.41,987
2019-06-17,26.6325,26.6325,26.4466,26.4466,0.4,310
2019-06-18,26.6595,26.945,26.6595,26.738,0.4,2328
2019-06-19,26.5903,26.5903,26.5903,26.5903,0.4,391
2019-06-20,26.58,26.7475,26.5,26.5,0.39,4734
2019-06-21,26.68,26.68,26.5,26.51,0.38,3147
2019-06-24,26.57,26.57,26.2,26.2,0.37,1127
2019-06-25,26.37,26.37,26.37,26.37,0.36,1191
2019-06-26,26.22,26.25,25.67,25.67,0.36,7057
2019-06-27,25.5,25.5954,25.5,25.5954,0.35,283
