Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,104.67,105.04,103.78,104.24,92.05,6901721
2019-05-10,103.98,106.15,103.92,106.01,93.61,5815774
2019-05-13,105.14,106.59,104.85,106.11,93.7,7575536
2019-05-14,105.77,106.5,105.57,105.6,93.25,7004005
2019-05-15,105.61,107.0,105.5,106.7,94.22,5535601
2019-05-16,106.74,108.68,106.59,108.11,95.47,9284175
2019-05-17,107.27,108.0,107.26,107.45,94.88,6370167
2019-05-20,107.44,108.13,107.14,107.33,94.78,6565331
2019-05-21,107.47,107.54,106.29,106.37,93.93,5226391
2019-05-22,106.09,107.05,105.94,106.72,94.24,4889697
2019-05-23,106.68,107.03,105.89,106.76,94.28,6175566
2019-05-24,107.15,107.44,106.54,106.69,94.21,4372083
2019-05-28,106.7,107.25,104.42,104.46,92.24,7615505
2019-05-29,103.96,104.81,103.7,104.19,92.01,7137275
2019-05-30,104.37,105.37,104.37,105.33,93.01,4729193
2019-05-31,104.89,104.9,102.41,102.91,90.88,10282390
2019-06-03,103.15,103.96,102.4,103.8,91.66,8533213
2019-06-04,104.01,105.1,103.85,104.68,92.44,6906462
2019-06-05,105.24,106.75,104.89,106.73,94.25,6481709
2019-06-06,106.85,107.68,106.33,107.38,94.82,6681557
2019-06-07,107.74,109.38,107.74,108.77,96.05,8063464
2019-06-10,108.32,109.02,107.46,108.72,96.01,4766963
2019-06-11,108.94,109.6,108.87,109.38,96.59,8074439
2019-06-12,109.6,110.66,109.58,109.68,96.85,7687876
2019-06-13,109.98,110.95,109.86,110.91,97.94,8611441
2019-06-14,110.97,111.75,110.65,111.2,98.2,6438192
2019-06-17,111.16,111.21,110.24,110.99,98.01,6020025
2019-06-18,111.45,111.56,109.43,109.6,96.78,7731179
2019-06-19,109.5,110.73,109.26,110.42,97.51,7028013
2019-06-20,110.78,112.02,110.5,111.74,98.67,7044211
2019-06-21,111.62,112.47,111.02,111.2,98.2,13799392
2019-06-24,111.82,112.5,111.4,112.33,99.19,5518103
2019-06-25,112.11,112.63,111.31,111.72,98.66,6805592
2019-06-26,111.39,111.44,109.66,109.73,96.9,7170284
2019-06-27,109.92,110.27,109.29,109.78,96.94,5613266
2019-06-28,111.86,111.96,109.02,109.65,96.83,12152036
2019-07-01,109.92,110.7,109.61,110.49,97.57,6780298
2019-07-02,110.61,111.5,110.29,111.48,98.44,6578561
2019-07-03,111.96,114.27,111.84,114.08,100.74,6223327
2019-07-05,112.97,113.45,112.23,113.15,99.92,8694810
2019-07-08,113.34,114.23,113.3,114.05,100.71,5317783
2019-07-09,113.9,113.91,112.32,112.91,99.71,7537695
2019-07-10,113.46,114.5,113.4,113.75,100.45,5600655
2019-07-11,113.66,114.4,113.44,114.38,101.0,4625301
2019-07-12,114.07,115.21,114.07,114.99,101.54,7058570
2019-07-15,115.07,115.88,114.79,115.48,101.98,6240874
2019-07-16,115.72,116.52,115.45,115.89,102.34,7644578
2019-07-17,115.73,116.29,115.73,115.94,102.38,7862148
2019-07-18,114.93,115.77,114.79,115.44,102.6,5828782
2019-07-19,115.5,115.95,115.01,115.01,102.22,6547213
2019-07-22,115.04,115.45,114.58,115.3,102.48,4018769
2019-07-23,115.71,116.05,113.84,113.85,101.19,8194573
2019-07-24,113.85,113.88,112.28,112.6,100.08,9636008
2019-07-25,111.48,112.98,111.38,112.77,100.23,7809607
2019-07-26,113.21,114.88,112.88,114.73,101.97,5559578
2019-07-29,114.73,116.21,114.62,116.0,103.1,7768672
2019-07-30,119.82,121.76,118.8,120.41,107.02,18788812
2019-07-31,119.66,120.68,117.07,118.04,104.91,12641806
2019-08-01,118.56,119.17,116.73,116.73,103.75,11308631
2019-08-02,116.51,117.08,115.69,116.44,103.49,12266112
2019-08-05,116.09,116.3,112.83,113.08,100.5,12974788
2019-08-06,113.65,115.0,113.18,114.28,101.57,9490555
2019-08-07,113.75,116.24,112.68,115.52,102.67,9507607
2019-08-08,115.52,117.49,115.34,117.44,104.38,7416622
2019-08-09,117.62,118.04,115.85,116.78,103.79,6939535
2019-08-12,116.78,117.67,115.59,116.03,103.12,5155862
2019-08-13,116.51,118.07,116.34,117.25,104.21,6757704
2019-08-14,116.46,117.94,115.66,115.79,102.91,10148261
2019-08-15,116.8,118.09,116.44,117.39,104.33,7758035
2019-08-16,118.06,119.54,117.6,119.18,105.92,8302368
2019-08-19,119.97,120.45,119.11,120.24,106.87,5867224
2019-08-20,120.05,120.26,118.79,118.9,105.68,6744298
2019-08-21,119.27,119.65,118.68,119.2,105.94,4037412
2019-08-22,119.08,119.79,118.7,119.42,106.14,4558457
2019-08-23,119.14,120.11,116.43,117.32,104.27,7336907
2019-08-26,117.75,119.6,117.22,119.32,106.05,5661841
2019-08-27,119.99,121.05,119.78,120.55,107.14,6996550
2019-08-28,120.46,121.43,119.63,121.4,107.9,4606400
2019-08-29,121.79,122.0,120.32,121.18,107.7,5011487
2019-08-30,121.96,122.0,119.51,120.23,106.86,6007112
2019-09-03,119.79,121.54,119.63,121.36,107.86,4959617
2019-09-04,121.85,123.28,121.46,123.21,109.51,5602005
2019-09-05,123.24,123.43,122.18,122.76,109.11,7491860
2019-09-06,123.0,123.38,122.54,122.87,109.2,5307301
2019-09-09,122.71,122.78,121.78,122.17,108.58,7662430
2019-09-10,121.03,121.18,119.58,119.88,106.55,9582183
2019-09-11,119.86,121.34,119.36,121.27,107.78,7565510
2019-09-12,122.65,123.21,121.62,122.77,109.11,6194325
2019-09-13,121.82,122.58,121.5,122.12,108.54,6777400
2019-09-16,121.81,121.96,119.02,119.75,106.43,9626736
2019-09-17,119.63,121.99,119.44,121.16,107.68,6403020
2019-09-18,121.27,121.96,120.77,121.41,107.91,5788412
2019-09-19,121.39,122.23,121.24,121.9,108.34,4752602
2019-09-20,122.13,122.6,121.75,122.24,108.64,15437267
2019-09-23,122.2,123.77,121.97,123.22,109.51,6255907
2019-09-24,123.7,124.73,123.36,123.61,109.86,7810750
2019-09-25,123.56,123.83,122.95,123.02,109.34,5842298
2019-09-26,123.64,125.0,123.53,124.31,110.48,7058120
2019-09-27,124.41,124.88,123.72,124.57,110.71,5590415
2019-09-30,124.57,125.36,124.13,124.38,110.55,5227313
2019-10-01,124.36,124.64,123.2,123.85,110.07,5456228
2019-10-02,123.2,123.65,120.21,121.08,107.61,6800669
2019-10-03,121.67,122.54,120.84,121.74,108.2,5235240
2019-10-04,122.19,124.06,121.99,124.0,110.21,4405651
2019-10-07,123.53,123.89,122.68,122.84,109.18,4783975
2019-10-08,122.66,122.93,120.88,120.93,107.48,6194271
2019-10-09,121.81,122.39,121.43,121.98,108.41,3793463
2019-10-10,121.33,122.19,120.8,121.94,108.38,4117940
2019-10-11,122.04,122.06,120.82,121.09,107.62,6301624
2019-10-14,121.62,121.62,119.58,120.05,106.7,7383513
2019-10-15,120.19,120.56,116.7,117.2,104.16,11176209
2019-10-16,117.67,117.77,116.51,117.53,104.46,8000126
2019-10-17,117.31,117.64,116.55,116.63,104.32,5994308
2019-10-18,116.55,117.75,116.17,117.47,105.07,9016947
2019-10-21,117.42,119.12,117.35,119.08,106.51,7232768
2019-10-22,124.0,124.22,121.6,122.18,109.28,14489876
2019-10-23,121.99,123.73,121.84,123.0,110.02,8320038
2019-10-24,123.76,125.77,123.34,124.79,111.62,6746318
2019-10-25,124.82,124.82,123.17,123.25,110.24,6093305
2019-10-28,123.48,124.12,122.6,123.48,110.45,5459510
2019-10-29,123.2,124.56,123.1,123.6,110.55,5659836
2019-10-30,123.99,125.17,123.5,124.94,111.75,4734450
2019-10-31,124.79,125.45,123.36,124.51,111.37,6399499
2019-11-01,124.83,125.14,123.25,123.87,110.8,6010150
2019-11-04,123.92,123.92,118.64,119.07,106.5,10351372
2019-11-05,118.83,119.59,118.24,118.9,106.35,9239611
2019-11-06,119.1,120.35,118.66,120.32,107.62,6756251
