Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,2.16,2.2,2.16,2.19,2.19,12982
2019-05-10,2.12,2.19,2.05,2.13,2.13,27985
2019-05-13,2.0745,2.0897,2.0299,2.07,2.07,13647
2019-05-14,2.08,2.19,2.06,2.19,2.19,9065
2019-05-15,2.0402,2.19,2.0402,2.18,2.18,5784
2019-05-16,2.19,2.19,2.16,2.16,2.16,3450
2019-05-17,2.18,2.19,2.17,2.17,2.17,1174
2019-05-20,2.1401,2.19,2.1206,2.1701,2.1701,5182
2019-05-21,2.19,2.22,2.161,2.17,2.17,16148
2019-05-22,2.19,2.19,2.16,2.16,2.16,1888
2019-05-23,2.1573,2.16,2.11,2.11,2.11,2870
2019-05-24,2.11,2.19,2.11,2.15,2.15,4757
2019-05-28,2.19,2.2,2.19,2.19,2.19,4720
2019-05-29,2.17,2.17,2.08,2.08,2.08,7996
2019-05-30,2.1,2.37,2.1,2.26,2.26,46611
2019-05-31,2.13,2.28,2.13,2.28,2.28,3148
2019-06-03,2.24,2.24,2.14,2.14,2.14,2225
2019-06-04,2.1401,2.26,2.12,2.18,2.18,11893
2019-06-05,2.13,2.19,2.13,2.19,2.19,569
2019-06-06,2.1358,2.14,2.1,2.1312,2.1312,8309
2019-06-07,2.1215,2.13,2.12,2.1215,2.1215,1459
2019-06-10,2.1,2.14,2.08,2.14,2.14,3514
2019-06-11,2.1,2.22,2.1,2.1546,2.1546,52532
2019-06-12,2.151,2.27,2.15,2.19,2.19,9795
2019-06-13,2.18,2.2,2.15,2.15,2.15,19897
2019-06-14,2.1,2.27,2.06,2.22,2.22,35413
2019-06-17,2.24,2.27,2.235,2.27,2.27,8350
2019-06-18,2.27,2.31,2.25,2.25,2.25,78011
2019-06-19,2.29,2.31,2.25,2.25,2.25,60218
2019-06-20,2.3,2.33,2.27,2.28,2.28,53030
2019-06-21,2.31,2.35,2.305,2.305,2.305,50438
2019-06-24,2.33,2.3618,2.33,2.35,2.35,51120
2019-06-25,2.37,2.4,2.365,2.4,2.4,28704
