Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,84.61,84.84,83.03,84.43,63.76,4804444
2019-05-08,84.22,84.55,83.36,83.81,63.29,3223988
2019-05-09,83.38,84.23,82.67,83.93,63.38,3503180
2019-05-10,83.44,84.81,82.6,84.54,63.84,3318394
2019-05-13,83.85,83.88,83.13,83.7,63.21,2491238
2019-05-14,83.29,85.26,83.07,84.09,63.5,3157078
2019-05-15,83.74,85.58,83.51,85.34,64.45,3223661
2019-05-16,85.35,86.09,84.94,85.51,64.58,2927953
2019-05-17,85.74,87.2,84.88,86.81,65.56,3886183
2019-05-20,86.57,87.57,85.72,86.23,65.12,3131273
2019-05-21,86.45,86.7,85.63,85.76,64.76,3165261
2019-05-22,85.37,85.96,84.73,85.49,64.56,2886000
2019-05-23,85.49,86.28,85.36,86.24,65.13,2814727
2019-05-24,86.22,86.22,83.83,84.64,63.92,3283885
2019-05-28,84.02,84.02,80.92,81.55,61.59,8499941
2019-05-29,80.74,81.72,80.7,81.14,61.28,4282080
2019-05-30,81.32,81.56,79.35,79.6,60.11,3827658
2019-05-31,79.31,79.86,76.99,77.13,58.25,6421056
2019-06-03,77.51,78.64,76.87,78.61,59.37,5160241
2019-06-04,79.15,79.49,78.17,78.5,59.28,3850928
2019-06-05,78.95,79.0,76.65,77.25,58.34,5201765
2019-06-06,77.55,78.68,77.11,77.2,58.3,4730480
2019-06-07,77.82,78.77,77.57,78.17,59.03,4590106
2019-06-10,78.15,78.39,76.64,76.96,58.12,4617371
2019-06-11,77.17,78.55,77.0,78.14,59.01,4607100
2019-06-12,77.74,78.41,77.0,77.21,58.31,3146968
2019-06-13,77.28,77.78,77.07,77.59,58.59,3555660
2019-06-14,77.8,78.37,77.04,77.2,58.3,5521322
2019-06-17,77.01,78.63,76.92,77.99,58.9,4917052
2019-06-18,78.26,78.36,76.24,77.11,58.23,5186085
2019-06-19,77.58,77.6,76.08,76.65,57.89,5512270
2019-06-20,76.13,77.42,75.58,77.18,59.17,7404776
2019-06-21,77.25,79.22,76.38,79.22,60.73,17187728
2019-06-24,78.6,79.36,77.7,77.83,59.66,6912096
2019-06-25,78.0,79.05,77.42,78.82,60.42,5568475
2019-06-26,78.9,78.9,77.2,77.38,59.32,6268540
2019-06-27,77.5,78.26,77.28,77.92,59.73,3951480
2019-06-28,78.22,78.57,77.65,78.53,60.2,8436161
2019-07-01,78.8,78.95,77.83,77.98,59.78,4234332
2019-07-02,78.36,79.82,77.96,79.75,61.14,4015155
2019-07-03,79.98,80.66,79.43,80.63,61.81,3860896
2019-07-05,80.35,80.42,78.46,80.12,61.42,3425192
2019-07-08,80.25,80.87,79.52,79.61,61.03,3203337
2019-07-09,79.64,80.21,78.94,79.44,60.9,3579421
2019-07-10,79.36,80.38,79.27,80.28,61.54,4297098
2019-07-11,80.43,81.78,80.11,81.26,62.29,4381036
2019-07-12,81.55,82.11,81.43,81.89,62.78,4257099
2019-07-15,82.0,82.19,81.08,81.47,62.45,5325317
2019-07-16,81.27,81.68,80.95,81.58,62.54,3071378
2019-07-17,81.5,81.94,80.85,81.05,62.13,2930033
2019-07-18,84.7,89.45,84.5,87.71,67.24,13397800
2019-07-19,88.36,89.98,87.86,88.73,68.02,7561808
2019-07-22,88.97,89.05,86.88,86.95,66.65,5366341
2019-07-23,87.48,87.59,86.17,86.75,66.5,4758397
2019-07-24,86.42,86.63,84.75,85.02,65.18,4316477
2019-07-25,85.27,86.29,84.75,85.63,65.64,3715579
2019-07-26,85.84,86.48,85.23,85.98,65.91,3348345
2019-07-29,86.29,87.03,85.84,86.76,66.51,4461357
2019-07-30,86.02,86.57,85.17,86.3,66.16,3952755
2019-07-31,85.94,86.4,82.18,83.61,64.09,6792990
2019-08-01,84.3,85.21,82.41,82.45,63.21,6385175
2019-08-02,82.7,84.55,81.88,84.17,64.52,6109083
2019-08-05,83.57,83.82,79.49,80.26,61.53,6849333
2019-08-06,81.12,81.65,80.56,81.32,62.34,6313190
2019-08-07,80.36,81.66,79.35,81.36,62.37,6434687
2019-08-08,81.43,82.72,81.31,82.48,63.23,3266563
2019-08-09,82.43,82.99,81.79,82.59,63.31,3068502
2019-08-12,82.45,83.04,81.72,82.38,63.15,2393547
2019-08-13,81.64,84.1,81.64,83.95,64.36,4542026
2019-08-14,83.51,83.77,83.02,83.33,63.88,6642582
2019-08-15,83.93,84.69,83.11,84.49,64.77,3980176
2019-08-16,84.73,85.51,84.66,84.91,65.09,3302538
2019-08-19,85.65,86.05,84.78,85.01,65.17,3108138
2019-08-20,84.91,84.98,82.29,83.0,63.63,3656039
2019-08-21,83.42,83.6,82.08,83.05,63.67,3311106
2019-08-22,82.55,83.86,82.42,82.95,63.59,3681241
2019-08-23,82.79,83.35,80.66,81.22,62.26,4263790
2019-08-26,81.0,81.57,76.41,77.73,59.59,11519789
2019-08-27,75.1,75.4,69.27,71.7,54.96,41588475
2019-08-28,71.92,75.67,71.9,74.32,56.97,18953440
2019-08-29,75.28,75.65,71.61,72.72,55.75,13238429
2019-08-30,72.83,73.22,71.75,72.09,55.26,9044995
2019-09-03,72.0,72.79,71.11,72.66,55.7,4466959
2019-09-04,72.69,73.25,71.52,73.02,55.98,5386877
2019-09-05,73.4,73.42,71.88,71.95,55.16,6615690
2019-09-06,72.26,73.42,71.98,72.97,55.94,6130000
2019-09-09,73.0,73.39,72.42,73.3,56.19,5528117
2019-09-10,72.7,74.56,72.5,74.5,57.11,7402218
2019-09-11,74.54,75.48,74.12,75.07,57.55,8443109
2019-09-12,75.21,75.4,74.05,74.9,57.42,6242903
2019-09-13,74.31,74.78,73.0,73.05,56.0,10572751
2019-09-16,72.18,72.72,71.77,72.6,55.65,10547264
2019-09-17,73.45,73.46,71.87,72.02,55.21,7767293
2019-09-18,71.87,72.33,71.06,71.56,54.86,7395432
2019-09-19,71.5,72.2,71.1,71.71,54.97,8415026
2019-09-20,71.21,72.83,71.0,71.2,54.58,16031110
2019-09-23,71.0,72.77,70.57,72.0,55.19,7079626
2019-09-24,71.16,71.88,70.9,71.56,55.76,8864762
2019-09-25,76.93,77.88,75.08,75.28,58.66,20458245
2019-09-26,74.91,75.82,74.29,75.29,58.67,5983294
2019-09-27,75.16,75.65,74.65,75.13,58.55,4159674
2019-09-30,75.16,76.18,75.03,75.93,59.17,5149215
2019-10-01,76.21,77.99,76.06,77.83,60.65,7582394
2019-10-02,77.83,78.1,76.19,76.72,59.78,7031109
2019-10-03,76.3,77.25,75.81,76.77,59.82,3606583
2019-10-04,76.43,78.37,76.32,78.28,61.0,4407498
2019-10-07,78.1,78.37,77.17,77.17,60.13,5522569
2019-10-08,76.71,77.38,76.04,76.37,59.51,5820782
2019-10-09,76.91,77.52,76.58,77.45,60.35,3847184
2019-10-10,78.04,78.29,77.01,77.75,60.59,3919257
2019-10-11,78.48,78.63,77.15,77.95,60.74,6290564
2019-10-14,76.93,78.05,76.15,78.03,60.8,4145404
2019-10-15,78.06,78.35,77.61,78.32,61.03,4089254
2019-10-16,78.43,79.79,78.43,79.1,61.64,7494451
2019-10-17,80.3,80.42,77.91,79.85,62.22,8772946
2019-10-18,79.95,81.96,79.95,80.55,62.77,8444657
2019-10-21,80.34,81.9,80.3,81.8,63.74,4374833
2019-10-22,81.54,81.97,81.17,81.17,63.25,4446947
2019-10-23,81.34,82.12,81.18,81.78,63.73,3477287
2019-10-24,81.89,82.07,81.02,81.45,63.47,3934600
2019-10-25,80.85,82.13,80.55,81.98,63.88,3452589
2019-10-28,82.0,82.38,81.68,82.09,63.97,3537582
2019-10-29,81.54,82.45,81.27,81.85,63.78,3443282
2019-10-30,82.02,82.11,80.45,81.21,63.28,3644196
2019-10-31,81.6,82.03,80.58,81.44,63.46,4689414
2019-11-01,81.83,83.04,81.83,82.97,64.65,4291839
2019-11-04,82.69,83.98,82.43,83.44,65.02,4294149
2019-11-05,83.71,84.78,83.36,84.2,65.61,4820380
2019-11-06,84.35,84.7,83.54,83.7,65.22,4604690
2019-11-07,83.87,83.91,82.17,82.25,64.09,5217919
2019-11-08,82.19,83.67,81.73,83.57,65.12,5287676
2019-11-11,83.45,84.1,83.18,83.74,65.25,2992387
2019-11-12,83.72,84.5,83.49,84.46,65.82,3671164
2019-11-13,84.21,84.84,84.14,84.73,66.03,3722887
2019-11-14,84.69,84.69,83.54,83.64,65.18,2898159
2019-11-15,83.89,84.8,83.59,84.79,66.07,4612071
2019-11-18,85.0,85.32,84.57,84.79,66.07,3236753
2019-11-19,84.39,84.74,83.42,83.46,65.04,4845225
2019-11-20,83.22,85.6,83.17,83.48,65.05,5670127
2019-11-21,83.67,84.9,83.04,83.46,65.04,4030728
2019-11-22,83.73,84.33,82.36,82.38,64.19,4764746
2019-11-25,82.5,82.77,81.55,82.37,64.19,8015369
2019-11-26,82.56,83.26,81.72,82.27,64.11,5258964
2019-11-27,82.67,83.18,81.67,82.48,64.27,4130783
2019-11-29,82.23,83.14,82.23,82.93,64.62,2927886
2019-12-02,82.55,82.81,81.72,82.6,64.37,4402348
2019-12-03,83.0,83.07,81.79,82.97,64.65,5037767
2019-12-04,82.46,83.04,81.88,82.1,63.98,5053564
2019-12-05,82.07,82.43,81.4,82.38,64.19,5209871
2019-12-06,83.16,83.68,82.61,83.25,64.87,3786991
2019-12-09,83.77,83.93,83.44,83.59,65.14,3326768
2019-12-10,83.34,84.23,83.08,83.9,65.38,3496323
2019-12-11,84.25,85.12,84.0,84.84,66.11,3719688
2019-12-12,84.84,85.0,84.0,84.05,65.5,6104500
2019-12-13,84.0,84.89,83.66,84.67,65.98,5575061
