Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,10.49,10.52,10.45,10.5,9.15,157663
2019-05-08,10.52,10.55,10.46,10.49,9.14,217348
2019-05-09,10.44,10.55,10.44,10.47,9.13,173669
2019-05-10,10.5,10.52,10.43,10.48,9.13,191822
2019-05-13,10.39,10.39,10.26,10.28,8.96,196440
2019-05-14,10.29,10.3,10.25,10.26,8.94,183949
2019-05-15,10.24,10.32,10.23,10.28,8.96,287969
2019-05-16,10.29,10.38,10.28,10.31,8.99,381950
2019-05-17,10.21,10.24,10.16,10.17,8.86,137905
2019-05-20,10.19,10.2,10.11,10.13,8.83,144971
2019-05-21,9.99,10.01,9.93,9.93,8.66,148096
2019-05-22,10.09,10.19,10.08,10.15,8.85,192921
2019-05-23,10.14,10.2,10.12,10.15,8.85,215584
2019-05-24,10.24,10.28,10.15,10.18,8.87,156623
2019-05-28,10.28,10.36,10.17,10.17,8.86,167981
2019-05-29,9.93,9.99,9.88,9.97,8.69,176767
2019-05-30,9.98,10.04,9.97,9.98,8.7,200637
2019-05-31,9.86,9.94,9.82,9.93,8.66,149357
2019-06-03,9.88,9.97,9.85,9.94,8.66,167132
2019-06-04,9.9,9.9,9.7,9.75,8.5,341202
2019-06-05,9.88,9.91,9.8,9.81,8.55,165113
2019-06-06,9.87,9.9,9.85,9.87,8.6,83785
2019-06-07,10.1,10.17,10.1,10.15,8.85,574315
2019-06-10,10.23,10.25,10.19,10.22,8.91,163300
2019-06-11,10.22,10.27,10.16,10.22,8.91,313639
2019-06-12,10.23,10.23,10.15,10.18,8.87,202075
2019-06-13,10.3,10.31,10.22,10.27,8.95,173874
2019-06-14,10.0,10.05,9.91,10.03,8.74,154236
2019-06-17,10.14,10.18,10.11,10.12,8.82,109989
2019-06-18,10.26,10.4,10.25,10.38,9.05,252857
2019-06-19,10.33,10.38,10.32,10.35,9.02,208209
2019-06-20,10.31,10.35,10.27,10.3,8.98,166829
2019-06-21,10.37,10.39,10.3,10.32,9.0,130738
2019-06-24,10.44,10.47,10.4,10.42,9.08,183187
2019-06-25,10.39,10.42,10.27,10.27,8.95,217304
2019-06-26,10.28,10.31,10.24,10.24,8.93,194789
2019-06-27,10.25,10.27,10.22,10.23,8.92,110937
2019-06-28,10.4,10.43,10.35,10.36,9.03,116595
2019-07-01,10.49,10.5,10.41,10.44,9.1,182841
2019-07-02,10.49,10.49,10.4,10.42,9.08,187254
2019-07-03,10.51,10.59,10.51,10.58,9.22,91800
2019-07-05,10.54,10.55,10.46,10.54,9.19,178073
2019-07-08,10.5,10.51,10.43,10.44,9.1,188517
