Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,40.98,41.3,40.64,41.17,32.8,276894
2019-05-10,41.06,41.5,40.62,41.39,32.98,464559
2019-05-13,40.37,40.5,39.99,40.0,31.86,307955
2019-05-14,40.44,40.88,40.42,40.61,32.35,294085
2019-05-15,40.03,40.88,39.97,40.68,32.41,267234
2019-05-16,41.26,41.84,41.24,41.51,33.07,221715
2019-05-17,41.11,41.39,40.9,40.93,32.61,186130
2019-05-20,40.42,40.69,40.28,40.62,32.36,141049
2019-05-21,40.94,41.1,40.67,41.01,32.67,255149
2019-05-22,40.34,40.71,40.34,40.56,32.31,159813
2019-05-23,39.11,39.11,38.85,39.09,31.14,288859
2019-05-24,39.34,39.68,39.25,39.62,31.56,205212
2019-05-28,39.62,39.76,39.33,39.33,31.33,196948
2019-05-29,39.05,39.43,39.01,39.37,31.36,151306
2019-05-30,39.75,39.83,39.45,39.62,31.56,195831
2019-05-31,38.58,38.89,38.49,38.69,30.82,214041
2019-06-03,38.28,38.43,38.09,38.36,30.56,258890
2019-06-04,39.65,39.89,39.39,39.89,31.78,266037
2019-06-05,40.02,40.22,39.83,39.94,31.82,214709
2019-06-06,40.15,40.18,39.81,40.0,31.86,125630
2019-06-07,40.27,40.43,40.22,40.28,32.09,119985
2019-06-10,40.25,40.66,40.23,40.43,32.21,213842
2019-06-11,40.94,40.95,40.53,40.58,32.33,145384
2019-06-12,40.3,40.33,39.92,39.96,31.83,122602
2019-06-13,40.13,40.26,40.03,40.17,32.0,146393
2019-06-14,39.45,39.62,39.31,39.5,31.47,225880
2019-06-17,39.85,39.85,39.44,39.46,31.44,142434
2019-06-18,40.17,40.85,40.15,40.6,32.34,172113
2019-06-19,41.44,41.46,40.99,40.99,32.65,145520
2019-06-20,41.95,41.98,41.46,41.88,33.36,192312
2019-06-21,41.89,42.06,41.82,41.85,33.34,140022
2019-06-24,41.74,42.01,41.66,41.72,33.24,110389
2019-06-25,41.64,41.67,41.36,41.36,32.95,118329
2019-06-26,41.7,41.73,41.46,41.59,33.13,163916
2019-06-27,41.8,42.07,41.72,42.01,33.47,129009
2019-06-28,42.38,42.57,42.33,42.47,33.83,172421
2019-07-01,42.94,43.17,42.72,43.17,34.39,290997
2019-07-02,43.18,43.25,42.88,42.99,34.25,174792
2019-07-03,43.26,43.46,43.22,43.46,34.62,158836
2019-07-05,43.34,43.45,43.04,43.28,34.48,114908
2019-07-08,42.97,43.23,42.88,43.13,34.36,174318
2019-07-09,42.67,42.86,42.52,42.85,34.13,168636
2019-07-10,42.57,42.62,42.05,42.18,33.6,213553
2019-07-11,42.14,42.42,42.06,42.42,33.79,104327
2019-07-12,42.4,42.56,42.29,42.55,33.89,115289
