Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,83.37,84.84,82.26,83.78,74.22,14515975
2019-05-10,83.38,86.33,83.35,85.84,76.05,15955603
2019-05-13,83.24,84.85,82.99,83.89,74.32,16689039
2019-05-14,84.27,86.44,84.0,86.13,76.31,14353735
2019-05-15,85.55,87.0,84.89,86.26,76.42,11784844
2019-05-16,83.79,84.8,82.13,82.81,73.36,22498836
2019-05-17,80.49,83.12,80.0,81.5,72.2,19523405
2019-05-20,77.95,78.33,76.07,76.62,67.88,32679281
2019-05-21,78.91,79.04,77.22,77.75,68.88,17282155
2019-05-22,69.13,71.74,67.97,69.31,61.4,66150725
2019-05-23,67.02,68.27,65.9,68.26,60.47,31820660
2019-05-24,68.93,69.15,65.97,66.21,58.66,21419953
2019-05-28,66.64,67.71,65.24,65.37,57.91,22667322
2019-05-29,65.36,66.15,64.76,65.76,58.26,16312638
2019-05-30,65.97,67.07,65.93,66.59,58.99,11554568
2019-05-31,65.78,67.84,65.53,66.82,59.2,15060330
2019-06-03,67.09,68.13,66.28,66.66,59.06,13620735
2019-06-04,67.61,68.5,66.7,68.45,60.64,15866732
2019-06-05,68.04,68.33,65.83,67.02,59.92,11779192
2019-06-06,66.92,67.97,66.27,67.59,60.43,10781676
2019-06-07,67.69,68.78,67.3,68.69,61.41,10495638
2019-06-10,69.0,71.46,69.0,70.54,63.06,15229196
2019-06-11,71.58,72.22,70.27,71.24,63.69,11839510
2019-06-12,69.53,70.37,69.2,69.59,62.22,9396217
2019-06-13,69.97,70.49,69.38,69.93,62.52,6790485
2019-06-14,68.35,69.12,67.9,68.72,61.44,12119481
2019-06-17,69.09,69.98,68.9,69.11,61.79,9411062
2019-06-18,69.69,72.39,69.67,71.96,64.33,14507951
2019-06-19,72.37,72.62,70.8,71.8,64.19,11999268
2019-06-20,73.19,73.67,72.23,72.74,65.03,9871805
2019-06-21,72.31,73.17,72.31,72.72,65.01,15244476
2019-06-24,72.97,73.45,72.2,73.16,65.41,8893028
2019-06-25,73.23,74.14,72.52,72.55,64.86,8953434
2019-06-26,73.76,75.69,73.65,74.95,67.01,13807972
2019-06-27,75.34,75.9,75.17,75.43,67.44,11151878
2019-06-28,75.66,76.44,74.81,76.07,68.01,29217467
2019-07-01,80.67,80.76,77.08,77.52,69.31,17705708
2019-07-02,77.28,77.48,76.62,77.01,68.85,7079400
2019-07-03,77.07,77.23,76.05,76.63,68.51,5290377
2019-07-05,74.2,76.72,74.1,76.66,68.54,9220821
2019-07-08,75.98,77.03,75.93,76.63,68.51,7924854
2019-07-09,76.44,76.84,75.84,76.55,68.44,7506644
2019-07-10,76.83,76.91,74.08,74.36,66.48,15075736
2019-07-11,74.52,75.78,73.3,73.71,65.9,14298365
2019-07-12,74.25,74.98,73.66,74.9,66.96,8028070
2019-07-15,75.15,75.9,74.79,75.43,67.44,8898617
2019-07-16,75.11,76.5,74.55,75.67,67.65,9909569
2019-07-17,78.57,79.4,75.71,75.76,67.73,20602291
2019-07-18,74.97,75.35,74.05,74.37,66.49,12585085
2019-07-19,74.42,75.71,74.42,75.0,67.05,14477780
2019-07-22,75.06,76.62,75.06,75.95,67.9,9645759
2019-07-23,75.34,75.59,73.31,74.12,66.27,14420367
2019-07-24,74.01,76.42,73.68,75.87,67.83,14012731
2019-07-25,75.84,76.14,75.1,75.35,67.37,7299472
2019-07-26,75.11,75.85,74.85,75.22,67.25,8262592
2019-07-29,75.16,76.32,74.67,74.97,67.03,8237515
2019-07-30,74.58,75.07,74.36,74.81,66.88,7397857
2019-07-31,74.83,75.28,72.76,73.16,65.41,14052752
2019-08-01,68.88,73.71,68.25,71.2,63.66,29729753
2019-08-02,70.44,71.53,70.01,71.15,63.61,12649395
2019-08-05,69.97,70.84,68.56,68.8,61.51,13071793
2019-08-06,69.52,69.93,67.38,68.17,60.95,13189857
2019-08-07,67.26,69.6,67.12,69.4,62.05,8934864
2019-08-08,69.56,71.35,69.35,71.26,63.71,8367865
2019-08-09,70.51,72.19,70.19,71.5,63.92,8702158
2019-08-12,71.0,71.48,69.73,69.8,62.4,7364325
2019-08-13,69.89,72.47,69.31,72.18,64.53,10320089
2019-08-14,70.64,71.89,70.55,70.88,63.37,10337326
2019-08-15,71.44,72.19,70.59,71.16,63.62,9122466
2019-08-16,71.85,73.41,71.73,73.28,65.51,10404364
2019-08-19,74.58,75.53,74.14,74.87,66.94,9690401
2019-08-20,74.57,76.44,74.33,76.07,68.01,9390323
2019-08-21,76.5,77.19,75.99,76.7,68.57,11005466
2019-08-22,76.91,77.95,76.6,77.15,68.97,7199830
2019-08-23,76.12,79.1,73.22,73.52,65.73,16481001
2019-08-26,74.9,75.09,72.52,72.91,65.18,11157102
2019-08-27,73.68,74.38,73.2,73.97,66.13,7305375
2019-08-28,73.79,74.88,72.91,74.35,66.47,5679043
2019-08-29,75.22,77.03,75.22,76.45,68.35,7348577
2019-08-30,77.18,78.05,77.0,77.77,69.53,8465646
2019-09-03,76.77,76.99,74.7,75.12,67.16,7580872
2019-09-04,75.99,77.12,75.63,77.09,68.92,4923888
2019-09-05,77.89,80.44,77.89,78.99,70.62,13480665
2019-09-06,78.96,79.08,78.44,78.84,70.49,5127957
2019-09-09,79.04,79.45,77.97,78.21,69.92,6885162
2019-09-10,78.03,78.88,77.34,78.71,70.37,9373881
2019-09-11,78.17,79.91,78.12,79.9,72.0,6575726
2019-09-12,80.05,80.05,78.58,79.08,71.26,5847092
2019-09-13,79.18,79.54,78.37,78.41,70.66,5343695
2019-09-16,77.58,78.49,76.91,78.04,70.32,3756484
