Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,22.54,22.59,22.45,22.59,20.19,357454
2019-05-10,22.72,22.8,22.61,22.78,20.36,373450
2019-05-13,22.73,22.79,22.52,22.54,20.14,390187
2019-05-14,22.52,22.65,22.52,22.57,20.17,228963
2019-05-15,22.53,22.85,22.53,22.75,20.33,474677
2019-05-16,22.83,23.03,22.78,22.98,20.54,308559
2019-05-17,22.96,23.08,22.94,22.99,20.55,184765
2019-05-20,22.92,23.03,22.88,23.01,20.56,201151
2019-05-21,23.11,23.13,22.93,22.97,20.53,508360
2019-05-22,23.15,23.36,23.14,23.26,20.79,293567
2019-05-23,23.0,23.16,22.97,23.08,20.63,221502
2019-05-24,23.32,23.34,23.17,23.24,20.77,230486
2019-05-28,23.28,23.37,23.16,23.17,20.71,206230
2019-05-29,22.93,23.05,22.84,22.98,20.54,730965
2019-05-30,23.32,23.51,23.31,23.48,20.98,677997
2019-05-31,23.27,23.42,23.19,23.37,20.89,603961
2019-06-03,23.4,23.52,23.27,23.44,20.95,547634
2019-06-04,23.27,23.3,23.03,23.29,20.81,443049
2019-06-05,23.44,23.58,23.42,23.54,21.04,518532
2019-06-06,23.69,23.78,23.65,23.68,21.16,327947
2019-06-07,24.09,24.18,23.85,23.88,21.34,450706
2019-06-10,23.94,23.97,23.85,23.88,21.34,474220
2019-06-11,23.94,23.96,23.86,23.89,21.35,676103
2019-06-12,24.1,24.26,24.1,24.19,21.62,845893
2019-06-13,24.02,24.08,23.97,24.04,21.48,944706
2019-06-14,24.11,24.22,24.08,24.21,21.64,535516
2019-06-17,24.25,24.37,24.23,24.35,21.76,366069
2019-06-18,24.62,24.62,24.36,24.44,21.84,372568
2019-06-19,24.29,24.44,24.22,24.43,21.83,318531
2019-06-20,24.77,24.83,24.69,24.74,22.11,251018
2019-06-21,24.47,24.64,24.38,24.54,21.93,593242
2019-06-24,24.91,24.93,24.8,24.89,22.24,684820
2019-06-25,24.85,24.88,24.65,24.65,22.03,226383
2019-06-26,24.66,24.69,24.48,24.53,21.92,277367
2019-06-27,24.37,24.49,24.33,24.48,21.88,350954
2019-06-28,24.33,24.44,24.29,24.41,21.81,338836
2019-07-01,24.65,24.66,24.48,24.57,21.96,300761
2019-07-02,24.62,24.9,24.61,24.84,22.2,317654
2019-07-03,24.92,24.99,24.87,24.95,22.3,179776
2019-07-05,24.47,24.58,24.28,24.57,21.96,451204
2019-07-08,24.58,24.63,24.47,24.5,21.9,252074
2019-07-09,24.43,24.6,24.42,24.6,21.98,261686
2019-07-10,24.44,24.58,24.44,24.57,21.96,255880
2019-07-11,24.66,24.66,24.49,24.59,21.98,178722
2019-07-12,24.42,24.55,24.39,24.54,21.93,246024
2019-07-15,24.69,24.88,24.67,24.83,22.19,339734
2019-07-16,24.46,24.6,24.42,24.55,21.94,420280
2019-07-17,24.41,24.61,24.4,24.54,21.93,321742
2019-07-18,24.36,24.42,24.22,24.41,21.81,330611
2019-07-19,24.45,24.49,24.27,24.34,21.75,306901
2019-07-22,24.27,24.36,24.2,24.3,21.72,345722
2019-07-23,24.46,24.46,24.31,24.37,21.78,307869
2019-07-24,24.27,24.43,24.24,24.27,21.69,435209
2019-07-25,23.5,23.62,23.26,23.27,20.8,567560
2019-07-26,23.9,24.06,23.9,24.0,21.45,329089
2019-07-29,24.29,24.31,24.15,24.15,21.58,275689
2019-07-30,24.17,24.21,24.01,24.03,21.48,348046
2019-07-31,23.78,24.02,23.67,23.73,21.21,407021
2019-08-01,23.7,23.95,23.7,23.8,21.42,417990
