Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,111.92,112.99,111.68,112.34,107.45,830500
2019-05-08,111.93,112.21,110.45,111.42,106.93,631200
2019-05-09,110.6,112.19,109.52,112.05,107.53,504400
2019-05-10,111.49,112.51,109.06,112.09,107.57,475200
2019-05-13,110.42,111.28,109.1,110.85,106.38,661100
2019-05-14,111.23,112.76,110.76,112.06,107.54,404700
2019-05-15,111.7,113.04,110.97,112.82,108.27,520100
2019-05-16,112.89,114.65,112.68,113.43,108.86,521200
2019-05-17,112.14,114.16,112.14,112.78,108.23,627200
2019-05-20,112.52,112.8,111.65,112.06,107.54,379700
2019-05-21,112.71,113.38,112.0,112.49,107.95,265300
2019-05-22,112.46,113.29,112.09,113.12,108.56,378500
2019-05-23,112.25,112.88,111.27,112.74,108.19,698600
2019-05-24,112.85,114.36,112.56,113.89,109.3,396300
2019-05-28,114.49,115.56,113.35,113.38,108.81,1266100
2019-05-29,113.07,113.33,111.58,112.17,107.65,439700
2019-05-30,112.34,113.65,112.19,113.3,108.73,344600
2019-05-31,112.86,114.5,111.91,114.12,109.52,520100
2019-06-03,114.01,114.81,112.46,112.76,108.21,607600
2019-06-04,113.42,114.56,112.43,114.07,109.47,502200
2019-06-05,115.0,115.53,114.49,115.13,110.49,480400
2019-06-06,115.37,117.57,115.02,116.89,112.18,540100
2019-06-07,116.46,117.98,116.38,117.4,112.67,438800
2019-06-10,117.49,118.93,116.84,118.33,113.56,453900
2019-06-11,119.06,120.0,117.35,118.19,113.42,323500
2019-06-12,118.18,119.65,118.12,119.53,114.71,465600
2019-06-13,119.5,119.98,118.6,119.44,114.62,285700
2019-06-14,119.28,119.58,117.77,118.09,113.33,597600
2019-06-17,118.44,119.28,118.21,118.5,113.72,479800
2019-06-18,119.5,119.81,118.98,119.63,114.81,484000
2019-06-19,119.85,121.0,119.78,120.54,115.68,654000
2019-06-20,121.86,123.33,121.4,123.27,118.3,632300
2019-06-21,122.36,122.41,119.91,120.07,115.23,1102400
2019-06-24,120.0,121.25,119.7,121.17,116.28,455100
2019-06-25,120.86,121.39,119.61,119.89,115.06,692900
2019-06-26,120.06,120.4,118.0,119.5,114.68,427100
2019-06-27,119.91,120.78,119.45,120.6,115.74,303200
