Date,Open,High,Low,Close,AdjClose,Volume
2020-12-08,10.5,10.5,10.216,10.4,10.4,1800
2020-12-09,10.01,10.01,9.96,9.96,9.96,1300
2020-12-10,10.1,10.1,9.75,9.9,9.9,40200
2020-12-11,9.879,9.92,9.85,9.919,9.919,24800
2020-12-14,10.0,10.061,9.86,10.0,10.0,31300
2020-12-15,10.0,10.076,9.9,10.025,10.025,129200
2020-12-16,9.92,10.1,9.9,10.0,10.0,265900
2020-12-17,10.01,10.02,10.0,10.0,10.0,238900
2020-12-18,10.09,10.09,10.0,10.0,10.0,3300
2020-12-21,9.99,10.11,9.99,10.0,10.0,81200
2020-12-22,10.05,10.055,10.0,10.05,10.05,69800
2020-12-23,10.1,10.12,10.0,10.05,10.05,17000
2020-12-24,10.1,10.28,10.0,10.1,10.1,41200
2020-12-28,10.38,10.4,10.05,10.2,10.2,122500
2020-12-29,10.2,10.25,10.09,10.25,10.25,64900
2020-12-30,10.13,10.425,10.13,10.14,10.14,268400
2020-12-31,10.2,10.3,10.14,10.17,10.17,80300
2021-01-04,10.18,10.28,10.1,10.17,10.17,322700
2021-01-05,10.17,10.27,10.0,10.13,10.13,441800
2021-01-06,10.15,10.18,10.05,10.1,10.1,41200
2021-01-07,10.11,10.11,10.01,10.05,10.05,380400
2021-01-08,10.06,10.2,10.06,10.18,10.18,127600
2021-01-11,10.205,10.29,10.04,10.27,10.27,35100
2021-01-12,10.21,10.295,10.15,10.28,10.28,188500
2021-01-13,10.32,10.72,10.3,10.47,10.47,635600
2021-01-14,10.5,10.5,10.2,10.28,10.28,420500
2021-01-15,10.3,10.34,10.2,10.245,10.245,215600
2021-01-19,10.3,10.34,10.25,10.32,10.32,461500
2021-01-20,10.33,10.44,10.29,10.34,10.34,256400
2021-01-21,10.44,10.47,10.315,10.36,10.36,137600
2021-01-22,10.37,10.4,10.22,10.4,10.4,180900
2021-01-25,10.55,10.87,10.4,10.44,10.44,506300
2021-01-26,10.4,10.47,10.27,10.34,10.34,103300
2021-01-27,10.29,10.319,10.15,10.23,10.23,327700
2021-01-28,10.27,10.47,10.2,10.34,10.34,51400
2021-01-29,10.33,10.46,10.24,10.32,10.32,76000
2021-02-01,10.35,10.5,10.28,10.32,10.32,72100
2021-02-02,10.4,10.4,10.32,10.4,10.4,60300
2021-02-03,10.43,10.58,10.36,10.4,10.4,54400
2021-02-04,10.52,10.52,10.27,10.35,10.35,78100
2021-02-05,10.46,10.49,10.25,10.32,10.32,177300
2021-02-08,10.3,10.386,10.22,10.3,10.3,126800
2021-02-09,10.35,10.39,10.3,10.38,10.38,41900
2021-02-10,10.46,10.49,10.21,10.35,10.35,166100
2021-02-11,10.43,10.5,10.36,10.45,10.45,188900
2021-02-12,10.38,10.46,10.37,10.44,10.44,139300
2021-02-16,10.46,10.5,10.34,10.39,10.39,188700
2021-02-17,10.48,10.5,10.36,10.39,10.39,204400
2021-02-18,10.36,10.5,10.36,10.44,10.44,127500
2021-02-19,10.5,10.73,10.41,10.59,10.59,869700
2021-02-22,10.7,10.7,10.44,10.5,10.5,440200
2021-02-23,10.47,10.49,10.25,10.3,10.3,357400
2021-02-24,10.35,10.459,10.276,10.32,10.32,306600
2021-02-25,10.24,10.36,10.15,10.2,10.2,295500
2021-02-26,10.2,10.31,10.1,10.2,10.2,461600
2021-03-01,10.3,10.32,10.12,10.17,10.17,251600
2021-03-02,10.25,10.25,10.1,10.15,10.15,217400
2021-03-03,10.15,10.15,10.0,10.0,10.0,192500
2021-03-04,10.0,10.04,9.8,9.93,9.93,1406500
2021-03-05,9.98,10.09,9.9,9.92,9.92,325200
2021-03-08,9.93,10.0,9.9,9.905,9.905,259700
2021-03-09,9.91,10.0,9.85,9.87,9.87,558800
2021-03-10,9.945,9.98,9.9,9.91,9.91,159100
2021-03-11,9.94,10.02,9.9,9.97,9.97,73300
2021-03-12,9.97,10.0,9.92,9.935,9.935,183200
2021-03-15,9.91,9.982,9.82,9.82,9.82,201600
2021-03-16,9.9,9.9,9.85,9.89,9.89,72500
2021-03-17,9.87,9.895,9.82,9.85,9.85,52200
2021-03-18,9.88,9.88,9.8,9.81,9.81,74800
2021-03-19,9.84,9.85,9.76,9.77,9.77,100200
2021-03-22,9.81,9.88,9.725,9.75,9.75,130400
2021-03-23,9.806,9.83,9.61,9.65,9.65,143700
2021-03-24,9.73,9.88,9.65,9.68,9.68,251600
2021-03-25,9.74,9.75,9.65,9.7,9.7,192600
2021-03-26,9.67,9.88,9.67,9.79,9.79,139100
2021-03-29,9.8,9.91,9.8,9.86,9.86,40500
2021-03-30,9.89,9.9,9.766,9.83,9.83,159200
2021-03-31,9.81,9.84,9.78,9.78,9.78,31100
2021-04-01,9.815,9.85,9.77,9.78,9.78,36500
2021-04-05,9.843,9.85,9.78,9.79,9.79,7700
2021-04-06,9.78,9.87,9.77,9.8,9.8,40000
2021-04-07,9.82,9.85,9.82,9.85,9.85,1200
2021-04-08,9.85,9.85,9.82,9.83,9.83,72800
2021-04-09,9.85,9.87,9.82,9.83,9.83,199100
2021-04-12,9.857,9.89,9.81,9.81,9.81,116800
2021-04-13,9.82,9.95,9.82,9.845,9.845,115200
2021-04-14,9.9,9.93,9.85,9.92,9.92,71100
2021-04-15,9.92,9.92,9.85,9.9,9.9,28800
2021-04-16,9.91,9.91,9.83,9.85,9.85,139600
2021-04-19,9.85,9.9,9.82,9.83,9.83,21500
2021-04-20,9.81,9.85,9.8,9.83,9.83,21900
2021-04-21,9.8,9.84,9.8,9.82,9.82,117800
2021-04-22,9.8,9.82,9.7,9.77,9.77,117100
2021-04-23,9.79,9.9,9.76,9.87,9.87,77800
2021-04-26,9.85,9.91,9.79,9.81,9.81,101900
2021-04-27,9.94,9.94,9.81,9.81,9.81,69700
2021-04-28,9.81,9.87,9.81,9.82,9.82,39700
2021-04-29,9.865,9.91,9.82,9.82,9.82,48100
2021-04-30,9.85,9.9,9.84,9.86,9.86,52000
2021-05-03,10.0,10.01,9.94,9.95,9.95,8111500
2021-05-04,9.96,9.98,9.89,9.9,9.9,3026600
2021-05-05,9.93,9.93,9.89,9.9,9.9,2247800
2021-05-06,9.92,9.94,9.89,9.91,9.91,678100
2021-05-07,9.93,9.93,9.89,9.91,9.91,160100
2021-05-10,9.9,9.94,9.88,9.93,9.93,1085200
2021-05-11,9.94,9.95,9.88,9.9,9.9,153700
2021-05-12,9.88,9.93,9.88,9.89,9.89,373400
2021-05-13,9.87,9.89,9.86,9.88,9.88,227100
2021-05-14,9.87,9.9,9.86,9.86,9.86,13900
2021-05-17,9.85,9.9,9.845,9.87,9.87,78200
2021-05-18,9.84,9.93,9.84,9.92,9.92,435600
2021-05-19,9.89,9.91,9.85,9.85,9.85,163700
2021-05-20,9.86,9.86,9.85,9.85,9.85,127500
2021-05-21,9.85,9.87,9.845,9.86,9.86,506500
2021-05-24,9.87,9.871,9.8,9.83,9.83,664400
2021-05-25,9.83,9.87,9.82,9.83,9.83,494200
2021-05-26,9.86,9.86,9.84,9.86,9.86,51600
2021-05-27,9.85,9.87,9.85,9.85,9.85,65600
2021-05-28,9.85,9.9,9.85,9.85,9.85,169400
2021-06-01,9.87,9.878,9.85,9.86,9.86,94200
2021-06-02,9.86,9.87,9.845,9.86,9.86,371400
2021-06-03,9.84,9.88,9.84,9.87,9.87,83500
2021-06-04,9.87,9.89,9.86,9.87,9.87,308800
2021-06-07,9.88,9.88,9.86,9.86,9.86,154700
2021-06-08,9.87,9.89,9.86,9.86,9.86,865300
2021-06-09,9.88,9.94,9.87,9.935,9.935,1555800
2021-06-10,9.95,9.95,9.925,9.94,9.94,307800
2021-06-11,9.95,9.96,9.93,9.96,9.96,1131900
2021-06-14,9.94,9.95,9.92,9.92,9.92,150800
2021-06-15,9.86,9.89,9.86,9.89,9.89,121500
2021-06-16,9.885,9.9,9.88,9.89,9.89,45300
2021-06-17,9.89,9.9,9.88,9.9,9.9,22600
2021-06-18,9.88,9.9,9.88,9.9,9.9,84600
2021-06-21,9.93,9.93,9.88,9.89,9.89,86700
2021-06-22,9.87,9.9,9.87,9.9,9.9,241500
2021-06-23,9.9,9.9,9.88,9.89,9.89,107300
2021-06-24,9.88,9.915,9.88,9.89,9.89,1594000
2021-06-25,9.91,9.91,9.89,9.89,9.89,245300
2021-06-28,9.91,9.96,9.89,9.9,9.9,362200
2021-06-29,9.93,9.94,9.9,9.9,9.9,108600
2021-06-30,9.92,9.92,9.89,9.89,9.89,110300
2021-07-01,9.9,9.9,9.89,9.89,9.89,31800
2021-07-02,9.91,9.91,9.89,9.9,9.9,46500
2021-07-06,9.91,9.92,9.89,9.9,9.9,107400
2021-07-07,9.91,9.91,9.9,9.9,9.9,71200
2021-07-08,9.9,9.91,9.9,9.91,9.91,10800
2021-07-09,9.905,9.91,9.9,9.9,9.9,25600
2021-07-12,9.905,9.91,9.9,9.91,9.91,20900
2021-07-13,9.91,9.91,9.9,9.9,9.9,9800
2021-07-14,9.91,9.92,9.9,9.91,9.91,46600
2021-07-15,9.9,9.92,9.9,9.91,9.91,67400
2021-07-16,9.92,9.92,9.9,9.9,9.9,12000
2021-07-19,9.9,9.92,9.9,9.915,9.915,23500
2021-07-20,9.91,9.92,9.9,9.92,9.92,12900
2021-07-21,9.91,9.92,9.9,9.9,9.9,116400
2021-07-22,9.9,9.92,9.9,9.9,9.9,16500
2021-07-23,9.92,9.92,9.9,9.91,9.91,24000
2021-07-26,9.9,9.91,9.89,9.91,9.91,175800
2021-07-27,9.91,9.92,9.89,9.91,9.91,251200
2021-07-28,9.89,9.91,9.89,9.9,9.9,17000
2021-07-29,9.89,9.909,9.89,9.89,9.89,6100
2021-07-30,9.897,9.91,9.897,9.91,9.91,10400
2021-08-02,9.9,9.905,9.89,9.89,9.89,37400
2021-08-03,9.89,9.91,9.89,9.9,9.9,33400
2021-08-04,9.9,9.9,9.88,9.9,9.9,80900
2021-08-05,9.89,9.902,9.89,9.9,9.9,46300
2021-08-06,9.91,9.93,9.89,9.89,9.89,593600
2021-08-09,9.9,9.92,9.88,9.905,9.905,879400
2021-08-10,9.91,9.91,9.9,9.9,9.9,46800
2021-08-11,9.94,9.94,9.92,9.94,9.94,382700
2021-08-12,9.94,9.94,9.931,9.94,9.94,59100
2021-08-13,9.94,9.94,9.93,9.93,9.93,13500
2021-08-16,9.93,9.94,9.93,9.94,9.94,144000
2021-08-17,9.94,9.946,9.93,9.94,9.94,494100
2021-08-18,9.95,9.95,9.93,9.93,9.93,26300
2021-08-19,9.94,9.95,9.93,9.93,9.93,22000
2021-08-20,9.94,9.94,9.91,9.91,9.91,58700
2021-08-23,9.93,9.94,9.91,9.92,9.92,418700
2021-08-24,9.92,9.93,9.84,9.89,9.89,749400
2021-08-25,9.9,9.92,9.88,9.92,9.92,67500
2021-08-26,9.92,9.93,9.9,9.93,9.93,77500
2021-08-27,9.92,9.94,9.9,9.94,9.94,77500
2021-08-30,9.94,9.95,9.93,9.94,9.94,198900
2021-08-31,9.94,9.95,9.93,9.95,9.95,273400
2021-09-01,9.95,9.95,9.94,9.95,9.95,104300
2021-09-02,9.945,9.95,9.93,9.95,9.95,45700
2021-09-03,9.96,9.96,9.95,9.96,9.96,20700
2021-09-07,9.96,9.97,9.94,9.97,9.97,140800
2021-09-08,9.95,9.97,9.95,9.96,9.96,22800
2021-09-09,9.96,9.97,9.95,9.96,9.96,143300
2021-09-10,9.97,10.0,9.95,9.96,9.96,1644700
2021-09-13,9.99,9.99,9.955,9.97,9.97,899700
2021-09-14,9.97,9.975,9.96,9.97,9.97,606600
2021-09-15,9.99,9.99,9.96,9.97,9.97,780600
2021-09-16,9.96,9.98,9.96,9.97,9.97,840100
2021-09-17,9.99,9.99,9.96,9.96,9.96,944600
2021-09-20,9.97,9.98,9.96,9.98,9.98,468000
2021-09-21,9.98,9.99,9.97,9.99,9.99,861400
2021-09-22,9.98,10.0,9.97,9.98,9.98,724900
2021-09-23,9.99,9.99,9.97,9.97,9.97,201100
2021-09-24,9.96,10.05,9.96,10.05,10.05,455400
2021-09-27,10.28,10.293,9.98,10.0,10.0,253700
2021-09-28,10.05,10.48,9.855,10.41,10.41,376700
2021-09-29,10.45,10.58,9.75,9.89,9.89,894700
2021-09-30,10.13,10.26,9.32,9.35,9.35,365300
2021-10-01,9.5,9.9899,9.1,9.35,9.35,369828
2021-10-04,9.12,9.35,8.0,8.13,8.13,319469
2021-10-05,7.94,7.97,6.6,6.82,6.82,850385
2021-10-06,6.79,6.79,6.085,6.32,6.32,731668
2021-10-07,6.43,6.71,6.16,6.18,6.18,385204
2021-10-08,6.1,6.5,5.8,6.41,6.41,549205
2021-10-11,6.49,6.89,6.0,6.85,6.85,700168
2021-10-12,6.86,6.942,6.095,6.4,6.4,503813
2021-10-13,6.25,6.445,6.12,6.25,6.25,289240
2021-10-14,6.25,6.4,6.0305,6.11,6.11,181219
2021-10-15,6.24,6.28,6.01,6.02,6.02,300945
2021-10-18,6.0,6.13,5.85,5.86,5.86,230719
2021-10-19,5.8,6.34,5.8,6.27,6.27,256975
2021-10-20,6.14,6.2222,5.95,6.0,6.0,179828
2021-10-21,6.28,6.3,6.05,6.12,6.12,281817
2021-10-22,6.39,6.99,6.36,6.8,6.8,683809
2021-10-25,6.75,7.12,6.75,7.04,7.04,269185
2021-10-26,9.0766,9.4,7.75,8.41,8.41,2422322
2021-10-27,8.32,8.7683,7.53,7.74,7.74,617335
2021-10-28,7.51,8.0,7.4,7.96,7.96,286620
2021-10-29,8.18,8.29,7.52,7.94,7.94,372021
2021-11-01,8.29,8.29,7.7,7.81,7.81,304105
2021-11-02,7.87,8.01,7.45,7.5,7.5,220611
2021-11-03,7.49,7.95,7.49,7.94,7.94,121718
2021-11-04,7.93,7.995,7.71,7.83,7.83,355697
2021-11-05,7.8,8.05,7.64,7.74,7.74,263143
2021-11-08,8.13,8.13,7.485,7.6,7.6,200394
2021-11-09,7.63,8.49,7.42,8.49,8.49,254878
2021-11-10,8.18,8.18,7.42,7.9,7.9,1376397
2021-11-11,8.02,8.24,7.7624,7.82,7.82,162537
2021-11-12,7.79,8.5,7.79,8.4,8.4,391104
2021-11-15,8.23,8.41,7.6,8.08,8.08,557609
2021-11-16,8.41,8.41,7.97,8.2,8.2,784474
2021-11-17,8.1,8.45,7.99,8.14,8.14,402859
2021-11-18,8.26,8.46,8.04,8.12,8.12,215124
2021-11-19,8.02,8.385,7.91,8.0,8.0,253806
2021-11-22,8.05,8.12,7.6,7.87,7.87,341196
2021-11-23,7.82,7.8903,7.35,7.5,7.5,515175
2021-11-24,7.52,7.57,6.86,6.99,6.99,601783
2021-11-26,7.01,7.19,6.86,7.0,7.0,190101
2021-11-29,7.08,7.0818,6.86,7.0,7.0,635212
2021-11-30,7.0,7.0,6.55,6.63,6.63,250899
2021-12-01,7.52,9.77,7.1,8.89,8.89,6940368
2021-12-02,8.71,9.0,7.86,8.84,8.84,1120723
2021-12-03,8.89,9.15,8.1101,8.98,8.98,707399
2021-12-06,9.1,9.28,8.77,9.0,9.0,1361602
2021-12-07,8.85,10.5064,8.82,9.67,9.67,860768
2021-12-08,9.46,10.5,9.3,9.96,9.96,660337
2021-12-09,9.76,10.99,9.76,10.33,10.33,767690
2021-12-10,10.25,10.82,8.845,8.93,8.93,1043891
2021-12-13,9.15,9.9934,8.02,8.26,8.26,625296
2021-12-14,8.25,9.18,8.25,8.36,8.36,462272
2021-12-15,8.53,9.08,8.38,8.97,8.97,487873
2021-12-16,8.78,9.52,8.52,9.26,9.26,473695
2021-12-17,9.25,11.49,9.0,10.95,10.95,9288576
2021-12-20,10.6,16.76,10.5,13.52,13.52,4311739
2021-12-21,13.18,13.45,11.9184,12.46,12.46,628624
2021-12-22,12.46,13.6599,11.51,11.85,11.85,867147
2021-12-23,11.47,12.19,11.09,11.96,11.96,549370
2021-12-27,12.19,12.2,11.26,11.82,11.82,210940
2021-12-28,11.8198,12.16,11.45,11.45,11.45,190493
2021-12-29,11.3,11.4784,10.48,10.67,10.67,312952
2021-12-30,10.57,10.92,10.41,10.64,10.64,185283
2021-12-31,10.61,10.71,9.93,10.08,10.08,309401
2022-01-03,10.31,10.31,9.58,9.91,9.91,288789
2022-01-04,10.16,10.16,9.22,9.51,9.51,233326
2022-01-05,9.58,9.68,8.65,8.89,8.89,485322
2022-01-06,8.88,8.9486,8.44,8.7,8.7,388202
2022-01-07,8.53,8.87,8.49,8.55,8.55,228075
2022-01-10,8.65,8.6985,7.74,8.2,8.2,323203
2022-01-11,8.04,8.25,7.8,8.02,8.02,299499
2022-01-12,8.17,8.17,7.76,7.88,7.88,278782
2022-01-13,7.95,7.95,7.42,7.58,7.58,527609
2022-01-14,7.41,7.99,7.41,7.95,7.95,277373
2022-01-18,7.88,7.981,6.83,6.94,6.94,551751
2022-01-19,7.01,7.2599,6.83,6.92,6.92,297286
2022-01-20,6.92,7.47,6.92,7.14,7.14,218432
2022-01-21,7.2,7.36,6.95,7.25,7.25,255037
2022-01-24,7.1,7.3,6.76,7.28,7.28,369357
2022-01-25,7.1,7.3,6.96,7.25,7.25,252199
2022-01-26,7.33,7.67,7.22,7.53,7.53,310536
2022-01-27,8.13,8.13,6.81,6.95,6.95,402078
