Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,45.67,46.15,45.3,45.68,42.47,7113900
2019-05-08,45.55,46.15,45.52,45.58,42.37,3600700
2019-05-09,44.9,45.86,44.49,45.82,42.6,6288800
2019-05-10,45.59,46.15,44.72,45.85,42.63,6131900
2019-05-13,44.82,44.96,43.62,43.81,40.73,7829000
2019-05-14,43.71,44.79,43.62,44.34,41.38,5098200
2019-05-15,43.66,43.77,42.73,42.74,39.89,10343600
2019-05-16,43.01,44.11,42.96,43.74,40.82,8458500
2019-05-17,43.26,43.9,43.04,43.21,40.33,8971000
2019-05-20,43.13,43.78,43.08,43.55,40.64,7055000
2019-05-21,43.82,44.26,43.7,44.02,41.08,5868400
2019-05-22,43.74,43.84,43.41,43.57,40.66,5378600
2019-05-23,43.06,43.06,42.22,42.54,39.7,9351700
2019-05-24,42.72,43.34,42.72,43.25,40.36,4153200
2019-05-28,43.18,43.36,42.76,42.79,39.94,5174800
2019-05-29,42.42,42.92,41.95,42.77,39.92,6469800
2019-05-30,42.96,43.29,42.36,42.55,39.71,6270000
2019-05-31,41.91,42.14,41.45,41.61,38.83,9217900
2019-06-03,41.44,42.25,41.35,41.63,38.85,7054500
2019-06-04,42.36,43.95,42.34,43.84,40.92,8709600
2019-06-05,43.86,44.05,43.31,43.78,40.86,6189700
2019-06-06,43.72,44.15,43.48,43.93,41.0,5798700
2019-06-07,43.89,43.98,42.86,43.0,40.13,7468400
2019-06-10,43.45,44.04,43.19,43.31,40.42,7054700
2019-06-11,43.75,43.88,42.7,42.85,39.99,7601300
2019-06-12,42.73,42.88,41.68,42.1,39.29,7755400
2019-06-13,42.18,42.67,42.18,42.36,39.53,7258000
2019-06-14,42.33,42.46,40.62,41.01,38.27,14013400
2019-06-17,41.03,41.46,40.49,40.61,37.9,9341700
2019-06-18,40.16,41.44,40.06,40.91,38.18,10194200
2019-06-19,41.03,41.26,39.76,39.89,37.23,12627600
2019-06-20,40.18,40.32,39.36,40.03,37.36,12498800
2019-06-21,40.29,40.79,40.12,40.63,37.92,11441300
2019-06-24,40.19,40.34,39.13,39.15,36.54,9905500
2019-06-25,39.01,39.53,38.33,39.23,36.61,14207500
2019-06-26,39.37,39.99,39.31,39.67,37.02,8437800
2019-06-27,39.71,40.74,39.71,40.2,37.52,10128100
2019-06-28,40.66,41.21,40.12,40.19,37.51,15515700
2019-07-01,40.88,41.18,40.42,40.76,38.04,21507800
2019-07-02,40.46,40.74,40.13,40.19,37.51,6426900
2019-07-03,40.41,40.59,40.15,40.45,37.75,3019500
2019-07-05,40.82,41.48,40.73,40.86,38.13,6522300
2019-07-08,40.38,40.83,39.91,39.99,37.32,7209400
2019-07-09,39.75,40.31,39.61,40.27,37.58,7138800
2019-07-10,39.89,40.42,39.3,39.66,37.01,8562400
2019-07-11,39.85,40.54,39.66,40.46,37.76,6566100
2019-07-12,40.25,40.37,39.9,40.13,37.45,9983700
2019-07-15,40.2,42.13,39.87,40.3,37.61,8655000
2019-07-16,41.0,42.14,40.9,41.63,38.85,16155400
2019-07-17,41.46,41.61,40.81,41.21,38.46,7673800
2019-07-18,41.31,42.09,41.15,41.48,38.71,10955600
2019-07-19,41.75,43.04,41.63,42.72,39.87,12138900
2019-07-22,42.76,43.45,42.56,43.16,40.28,8774200
2019-07-23,43.26,43.75,43.22,43.53,40.63,10277000
2019-07-24,43.49,44.28,43.46,44.28,41.33,11347300
2019-07-25,44.45,44.55,43.76,44.07,41.13,8571800
