Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,42.09,42.52,41.96,42.5,37.73,545176
2019-05-10,42.49,42.76,42.17,42.69,37.9,673454
2019-05-13,42.1,42.35,42.05,42.11,37.39,514475
2019-05-14,42.34,42.5,42.19,42.3,37.55,473290
2019-05-15,42.11,42.31,42.04,42.15,37.42,309278
2019-05-16,42.37,42.63,42.07,42.15,37.42,384331
2019-05-17,41.85,42.07,41.68,41.72,37.04,258415
2019-05-20,41.83,42.02,41.69,41.81,37.12,321399
2019-05-21,41.91,42.05,41.81,41.9,37.2,326103
2019-05-22,41.87,42.21,41.87,42.17,37.44,207192
2019-05-23,41.72,42.1,41.71,42.03,37.31,359728
2019-05-24,42.36,42.57,42.29,42.34,37.59,229345
2019-05-28,42.77,42.89,42.37,42.4,37.64,356147
2019-05-29,42.16,42.18,41.9,42.02,37.31,385354
2019-05-30,42.44,42.49,42.21,42.34,37.59,256598
2019-05-31,42.19,42.34,41.96,42.27,37.53,244598
2019-06-03,42.52,42.63,42.32,42.43,37.67,403654
2019-06-04,42.5,42.5,41.94,42.23,37.49,497954
2019-06-05,42.52,42.74,42.39,42.45,37.69,623600
2019-06-06,42.6,42.95,42.51,42.62,37.84,371405
2019-06-07,43.21,43.43,43.17,43.3,38.44,673202
2019-06-10,42.98,43.11,42.89,43.07,38.24,384935
2019-06-11,43.26,43.26,42.82,42.91,38.1,517778
2019-06-12,43.04,43.34,43.04,43.12,38.28,214689
2019-06-13,43.23,43.23,42.94,43.17,38.33,368755
2019-06-14,42.98,43.2,42.78,42.78,37.98,476511
2019-06-17,43.03,43.34,43.01,43.22,38.37,384542
2019-06-18,43.24,43.42,43.04,43.3,38.44,433597
2019-06-19,43.13,43.58,43.1,43.57,38.68,274099
2019-06-20,43.9,44.07,43.67,43.93,39.0,375473
2019-06-21,43.72,43.89,43.54,43.8,38.89,303126
2019-06-24,43.78,44.04,43.69,43.83,38.91,318341
2019-06-25,43.72,43.91,43.42,43.42,38.55,376014
2019-06-26,43.09,43.15,42.69,42.88,38.07,344632
2019-06-27,42.98,43.21,42.88,43.16,38.32,313051
2019-06-28,43.44,43.6,43.27,43.54,38.65,436797
2019-07-01,43.48,43.74,43.24,43.72,38.81,356689
2019-07-02,43.75,43.86,43.68,43.74,38.83,329591
2019-07-03,44.54,44.55,44.34,44.38,39.4,303642
2019-07-05,42.99,43.26,42.85,43.17,38.33,561320
2019-07-08,43.49,43.56,43.3,43.36,38.5,327059
2019-07-09,43.78,43.82,43.56,43.67,38.77,384805
2019-07-10,43.68,43.83,43.59,43.69,38.79,388659
2019-07-11,43.96,43.99,43.69,43.82,38.9,376963
2019-07-12,43.67,43.74,43.25,43.45,38.57,304966
2019-07-15,43.98,44.14,43.86,44.07,39.13,543497
2019-07-16,44.03,44.03,43.5,43.61,38.72,704659
2019-07-17,43.76,43.86,43.63,43.7,38.8,290420
2019-07-18,43.28,43.7,43.19,43.69,38.79,1123154
2019-07-19,43.65,43.69,43.16,43.17,38.33,437533
2019-07-22,43.63,43.75,43.42,43.45,38.57,580643
2019-07-23,43.98,44.0,43.68,43.84,38.92,507752
2019-07-24,43.97,44.13,43.79,44.13,39.18,339319
2019-07-25,44.12,44.34,44.0,44.08,39.13,303769
2019-07-26,44.49,44.73,44.42,44.46,39.47,584323
2019-07-29,45.03,45.38,44.91,45.33,40.24,518553
2019-07-30,45.2,45.55,44.81,44.89,39.85,962298
2019-07-31,44.97,46.16,44.95,45.44,40.34,744576
2019-08-01,46.15,47.05,46.13,46.71,41.47,966058
2019-08-02,46.31,46.38,45.5,45.59,40.47,535068
2019-08-05,45.16,45.27,44.5,44.68,39.67,409847
2019-08-06,44.25,44.65,44.17,44.55,39.55,518618
2019-08-07,44.58,45.16,44.32,45.1,40.04,464755
2019-08-08,45.26,45.85,45.15,45.77,40.63,372473
2019-08-09,45.63,45.76,45.33,45.71,40.58,427287
2019-08-12,45.74,46.14,45.73,45.98,40.82,414790
2019-08-13,45.45,46.08,45.4,46.06,40.89,415333
2019-08-14,45.74,45.9,45.51,45.55,40.44,374224
2019-08-15,45.26,45.8,45.21,45.7,40.57,495302
2019-08-16,46.11,46.41,46.04,46.34,41.14,345850
2019-08-19,46.68,46.82,46.52,46.76,41.51,247150
2019-08-20,46.8,47.03,46.58,46.62,41.39,425282
2019-08-21,47.2,47.36,47.06,47.2,41.9,327891
2019-08-22,47.4,47.46,47.25,47.41,42.09,523643
2019-08-23,47.51,47.67,46.94,47.01,41.74,664951
2019-08-26,47.11,47.15,46.73,47.03,41.75,341406
2019-08-27,47.32,47.68,47.2,47.61,42.27,663214
2019-08-28,47.92,48.36,47.68,48.2,42.79,651189
2019-08-29,48.06,48.21,47.86,47.97,42.59,496723
2019-08-30,47.8,47.98,47.75,47.96,42.58,344666
2019-09-03,47.79,48.03,47.7,47.89,42.52,492731
2019-09-04,48.04,48.2,47.93,48.09,42.69,452857
2019-09-05,47.96,48.1,47.77,48.1,42.7,453981
2019-09-06,48.5,48.68,48.47,48.57,43.12,406384
2019-09-09,48.01,48.05,47.46,47.57,42.23,365255
2019-09-10,46.17,46.78,45.93,46.7,41.46,759688
2019-09-11,46.37,47.15,46.36,46.86,41.6,677094
2019-09-12,46.78,47.23,46.78,47.02,41.74,481160
2019-09-13,46.53,47.19,46.48,46.66,41.42,705266
2019-09-16,46.78,46.93,46.59,46.63,41.4,655336
2019-09-17,47.02,47.62,47.02,47.58,42.24,570269
2019-09-18,47.64,47.74,47.25,47.54,42.21,401844
2019-09-19,47.63,47.99,47.62,47.8,42.44,368218
2019-09-20,47.86,48.09,47.71,47.77,42.41,491597
2019-09-23,47.82,48.02,47.71,47.94,42.56,592589
2019-09-24,48.02,48.58,48.02,48.34,42.92,536657
2019-09-25,47.7,48.0,47.52,47.94,42.56,405880
2019-09-26,48.76,48.93,48.33,48.59,43.14,700718
2019-09-27,48.62,48.62,47.86,47.96,42.58,393098
2019-09-30,48.19,48.52,48.05,48.13,42.73,375191
2019-10-01,47.4,47.52,47.19,47.3,41.99,576624
2019-10-02,46.08,46.26,45.57,45.76,40.63,856867
2019-10-03,45.56,46.24,45.5,46.19,41.26,603401
2019-10-04,46.37,46.87,46.32,46.86,41.86,467772
2019-10-07,47.11,47.37,47.01,47.15,42.12,377929
2019-10-08,47.47,47.47,46.62,46.71,41.72,787892
2019-10-09,46.68,46.86,46.62,46.8,41.8,575771
2019-10-10,46.27,46.89,46.1,46.76,41.77,1035057
2019-10-11,46.99,47.39,46.82,46.97,41.95,713613
2019-10-14,46.91,47.18,46.68,46.75,41.76,660495
2019-10-15,47.0,47.35,46.95,47.0,41.98,830651
2019-10-16,47.1,47.52,46.85,47.46,42.39,455922
2019-10-17,47.46,47.88,47.38,47.85,42.74,674249
2019-10-18,47.33,47.81,47.32,47.78,42.68,718747
2019-10-21,43.84,44.09,43.19,43.65,38.99,4327134
2019-10-22,43.95,44.28,43.56,43.57,38.92,2646170
2019-10-23,43.41,43.64,43.23,43.25,38.63,1363042
2019-10-24,43.78,44.15,43.65,43.79,39.11,1022211
2019-10-25,43.72,43.81,43.46,43.49,38.85,687519
2019-10-28,43.41,43.81,43.32,43.48,38.84,495083
2019-10-29,43.23,43.8,43.17,43.71,39.04,552386
2019-10-30,44.12,44.48,43.99,44.42,39.68,589329
2019-10-31,43.69,43.81,42.52,43.22,38.61,1571427
2019-11-01,43.15,43.44,43.01,43.01,38.42,638406
2019-11-04,43.17,43.19,42.92,42.93,38.35,419810
2019-11-05,42.84,42.97,42.67,42.85,38.27,482034
2019-11-06,42.96,43.02,42.84,42.94,38.36,459122
2019-11-07,43.17,43.18,42.65,42.7,38.14,387176
2019-11-08,42.61,42.81,42.34,42.5,37.96,477120
2019-11-11,41.89,42.5,41.84,42.31,37.79,870506
2019-11-12,42.26,42.45,42.1,42.26,37.75,622640
2019-11-13,42.63,43.18,42.55,43.07,38.47,402779
2019-11-14,43.07,43.07,42.74,42.89,38.31,323982
2019-11-15,43.14,43.22,42.9,43.21,38.6,296120
2019-11-18,43.58,43.71,43.4,43.47,38.83,488385
2019-11-19,43.57,43.58,43.28,43.32,38.69,461183
2019-11-20,43.0,43.32,42.85,43.05,38.45,302365
2019-11-21,43.52,43.52,43.19,43.45,38.81,531297
2019-11-22,44.19,44.25,43.7,44.07,39.36,775211
2019-11-25,45.01,45.09,44.64,44.81,40.03,641028
2019-11-26,44.53,44.78,44.5,44.62,39.86,382697
2019-11-27,45.1,45.4,44.97,45.39,40.54,436285
2019-11-29,44.81,45.03,44.68,44.78,40.0,203442
2019-12-02,44.61,44.86,44.23,44.47,39.72,380551
2019-12-03,43.69,43.99,43.65,43.85,39.17,541505
2019-12-04,43.37,43.85,43.34,43.8,39.12,420639
2019-12-05,44.34,44.35,43.92,44.22,39.5,289753
2019-12-06,44.17,44.25,43.99,44.08,39.37,415617
2019-12-09,44.27,44.34,44.04,44.06,39.36,300865
2019-12-10,44.41,44.65,44.35,44.37,39.63,449883
2019-12-11,44.5,44.89,44.29,44.83,40.04,529508
2019-12-12,44.71,44.9,44.53,44.89,40.1,612642
2019-12-13,46.36,46.58,46.12,46.25,41.31,1054177
2019-12-16,47.05,48.35,46.99,47.51,42.44,1573241
2019-12-17,47.02,47.55,46.91,47.55,42.47,828691
2019-12-18,47.38,47.53,47.12,47.37,42.31,1217678
2019-12-19,47.66,47.9,46.73,46.9,41.89,1281550
2019-12-20,47.96,48.08,47.67,47.85,42.74,1507580
2019-12-23,48.1,48.34,47.93,48.16,43.02,618443
2019-12-24,48.24,48.27,47.87,47.92,42.8,274181
2019-12-26,47.69,48.05,47.6,48.01,42.88,568980
2019-12-27,48.63,48.73,48.42,48.5,43.32,668094
2019-12-30,48.82,48.83,48.14,48.17,43.03,737900
2019-12-31,47.94,48.16,47.78,48.07,42.94,370768
2020-01-02,48.37,48.45,48.02,48.27,43.12,657735
2020-01-03,47.99,48.31,47.91,48.07,42.94,403956
2020-01-06,47.73,47.92,47.58,47.89,42.78,527223
2020-01-07,48.06,48.1,47.76,47.85,42.74,407323
2020-01-08,47.88,48.14,47.83,48.01,42.88,840593
2020-01-09,48.18,48.46,48.13,48.25,43.1,395626
2020-01-10,48.63,48.84,48.55,48.74,43.54,511208
2020-01-13,48.59,48.74,48.34,48.51,43.33,389638
2020-01-14,48.57,49.1,48.48,49.09,43.85,438786
2020-01-15,49.0,49.28,49.0,49.1,43.86,522492
2020-01-16,49.06,49.25,48.93,49.24,43.98,353025
2020-01-17,49.4,49.44,49.14,49.29,44.03,174642
2020-01-21,49.34,49.62,49.26,49.48,44.2,289416
2020-01-22,49.86,50.0,49.72,49.82,44.5,366904
2020-01-23,49.7,49.73,49.25,49.4,44.13,364600
2020-01-24,50.36,50.69,50.15,50.57,45.17,876546
2020-01-27,49.5,49.63,49.22,49.45,44.17,451680
2020-01-28,49.14,49.6,49.11,49.53,44.24,487916
2020-01-29,49.74,50.16,49.69,49.97,44.63,288932
2020-01-30,49.61,49.72,49.24,49.34,44.07,577867
2020-01-31,48.5,48.66,47.91,48.01,42.88,676122
2020-02-03,48.05,48.23,47.77,47.83,42.72,459611
2020-02-04,48.36,48.71,48.36,48.49,43.31,393339
2020-02-05,48.91,48.93,48.64,48.79,43.58,434672
2020-02-06,48.43,48.99,48.39,48.81,43.6,343537
2020-02-07,48.59,48.67,48.02,48.25,43.1,340103
2020-02-10,48.31,48.49,48.27,48.45,43.28,285053
2020-02-11,48.42,48.55,48.19,48.47,43.29,480483
2020-02-12,47.62,48.03,47.37,47.81,42.71,561209
2020-02-13,47.33,48.02,47.27,47.85,42.74,488910
2020-02-14,47.24,47.91,47.16,47.88,42.77,557296
2020-02-18,47.83,48.15,47.82,47.97,42.85,463835
2020-02-19,47.25,48.29,47.25,48.22,43.07,898646
2020-02-20,51.69,52.26,51.14,51.64,46.13,1018528
2020-02-21,50.48,50.63,50.19,50.45,45.06,568818
2020-02-24,48.81,49.29,48.68,48.94,43.71,1233255
2020-02-25,48.75,48.77,47.58,47.58,42.5,915065
2020-02-26,47.71,48.17,47.42,47.54,42.46,1312270
2020-02-27,46.8,47.74,46.32,46.32,41.37,902493
2020-02-28,44.4,45.49,43.8,45.08,40.27,1436312
2020-03-02,45.15,46.24,45.06,46.22,41.29,1241563
2020-03-03,46.49,46.9,44.94,45.14,40.32,1352527
2020-03-04,45.82,46.15,45.19,46.14,41.21,830470
2020-03-05,45.62,45.91,44.77,45.2,40.37,1260076
2020-03-06,42.9,44.33,42.68,44.26,39.53,1055110
2020-03-09,41.04,42.38,40.65,40.67,36.33,1377854
2020-03-10,40.94,41.62,40.06,41.53,37.1,1754389
2020-03-11,39.61,40.11,38.3,38.73,34.59,1573999
2020-03-12,34.85,35.18,33.54,34.16,30.51,1337275
2020-03-13,33.82,34.47,32.41,34.4,30.73,1093954
2020-03-16,28.7,30.57,28.51,29.67,26.5,1550993
2020-03-17,28.84,29.89,27.6,29.23,26.11,1845279
2020-03-18,26.29,28.86,26.07,27.78,24.81,2119558
2020-03-19,26.53,31.37,26.52,29.85,26.66,2875976
2020-03-20,31.59,32.53,30.56,30.71,27.43,2569174
2020-03-23,29.84,30.61,28.19,28.8,25.72,2435545
2020-03-24,31.14,33.54,29.5,33.23,29.68,2490211
2020-03-25,33.97,34.97,33.44,34.13,30.49,1069525
2020-03-26,33.47,34.71,33.23,34.54,30.85,1620333
2020-03-27,33.98,36.05,33.94,35.2,31.44,1079114
2020-03-30,36.16,36.6,35.64,36.24,32.37,1692285
2020-03-31,35.65,36.52,35.4,35.87,32.04,906723
2020-04-01,35.53,35.83,33.66,33.79,30.18,1098398
2020-04-02,33.63,34.22,33.24,34.1,30.87,686638
2020-04-03,34.14,34.37,33.47,33.99,30.77,451636
2020-04-06,35.27,36.47,35.19,36.43,32.98,1061681
2020-04-07,37.69,37.84,36.67,36.79,33.31,1159752
2020-04-08,37.63,38.87,37.45,38.55,34.9,878763
2020-04-09,38.78,40.47,38.73,40.42,36.59,1009321
2020-04-13,39.83,40.21,39.11,39.24,35.53,434879
