Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,1.49,1.5,1.46,1.46,1.46,12703
2019-05-08,1.46,1.5,1.46,1.4905,1.49,16660
2019-05-09,1.48,1.52,1.45,1.46,1.46,15817
2019-05-10,1.48,1.48,1.45,1.48,1.48,17633
2019-05-13,1.46,1.4668,1.45,1.46,1.46,19017
2019-05-14,1.47,1.4823,1.45,1.48,1.48,9439
2019-05-15,1.5,1.5071,1.49,1.49,1.49,6878
2019-05-16,1.45,1.5095,1.45,1.45,1.45,17472
2019-05-17,1.45,1.47,1.45,1.46,1.46,11752
2019-05-20,1.46,1.4706,1.445,1.45,1.45,51371
2019-05-21,1.45,1.48,1.4,1.47,1.47,46829
2019-05-22,1.47,1.47,1.4,1.4199,1.42,32235
2019-05-23,1.41,1.43,1.39,1.4,1.4,13700
2019-05-24,1.4,1.43,1.35,1.35,1.35,24901
2019-05-28,1.34,1.36,1.28,1.28,1.28,48200
2019-05-29,1.29,1.29,1.25,1.269,1.27,38952
2019-05-30,1.25,1.3,1.25,1.27,1.27,39110
2019-05-31,1.26,1.2708,1.26,1.265,1.26,1658
2019-06-03,1.26,1.2987,1.26,1.2817,1.28,2888
2019-06-04,1.28,1.32,1.2782,1.32,1.32,13167
2019-06-05,1.3,1.38,1.3,1.31,1.31,19801
2019-06-06,1.31,1.3144,1.2853,1.31,1.31,7054
2019-06-07,1.28,1.2899,1.27,1.27,1.27,17365
2019-06-10,1.27,1.29,1.27,1.27,1.27,17343
2019-06-11,1.3,1.3297,1.3,1.31,1.31,3183
2019-06-12,1.3,1.3,1.25,1.26,1.26,17709
2019-06-13,1.26,1.27,1.26,1.27,1.27,12340
2019-06-14,1.28,1.32,1.28,1.3,1.3,6616
2019-06-17,1.29,1.29,1.29,1.29,1.29,455
2019-06-18,1.3,1.34,1.28,1.29,1.29,20346
2019-06-19,1.31,1.31,1.27,1.28,1.28,10253
2019-06-20,1.27,1.32,1.26,1.27,1.27,7033
2019-06-21,1.26,1.2934,1.25,1.26,1.26,1427
2019-06-24,1.26,1.3,1.26,1.28,1.28,11508
2019-06-25,1.27,1.28,1.27,1.27,1.27,3927
2019-06-26,1.27,1.4033,1.27,1.39,1.39,46647
2019-06-27,1.4,1.4,1.25,1.27,1.27,60235
2019-06-28,1.27,1.2889,1.26,1.28,1.28,8574
2019-07-01,1.27,1.27,1.26,1.26,1.26,7039
2019-07-02,1.27,1.2973,1.27,1.27,1.27,13811
2019-07-03,1.28,1.3,1.27,1.3,1.3,23075
2019-07-05,1.3,1.3,1.29,1.29,1.29,2463
2019-07-08,1.31,1.41,1.25,1.41,1.41,118670
2019-07-09,1.37,1.3881,1.33,1.33,1.33,13852
2019-07-10,1.32,1.32,1.22,1.24,1.24,72365
2019-07-11,1.26,1.3261,1.26,1.29,1.29,18801
2019-07-12,1.28,1.28,1.25,1.25,1.25,22882
2019-07-15,1.33,1.33,1.27,1.29,1.29,32754
2019-07-16,1.26,1.2799,1.25,1.2535,1.25,32010
2019-07-17,1.33,1.33,1.25,1.26,1.26,14713
2019-07-18,1.27,1.27,1.16,1.18,1.18,90337
2019-07-19,1.17,1.19,1.17,1.18,1.18,16872
2019-07-22,1.18,1.18,1.08,1.1201,1.12,50224
2019-07-23,1.12,1.13,1.09,1.1,1.1,32147
2019-07-24,1.1,1.1,1.05,1.09,1.09,18835
2019-07-25,1.09,1.09,1.0501,1.06,1.06,26253
2019-07-26,1.04,1.1,1.04,1.08,1.08,33811
2019-07-29,1.09,1.09,1.04,1.05,1.05,28326
2019-07-30,1.06,1.1271,1.039,1.07,1.07,115186
2019-07-31,1.1,1.1,1.04,1.08,1.08,28244
2019-08-01,1.1,1.1133,1.09,1.1,1.1,48478
2019-08-02,1.11,1.11,1.05,1.06,1.06,17519
2019-08-05,1.06,1.06,1.0,1.0104,1.01,29930
2019-08-06,1.02,1.02,0.9801,0.9802,0.98,29507
2019-08-07,0.859,0.94,0.859,0.8953,0.9,61394
2019-08-08,0.9,0.99,0.9,0.957,0.96,29495
2019-08-09,0.98,1.1,0.98,0.98,0.98,39110
2019-08-12,1.05,1.05,0.95,1.0,1.0,48908
2019-08-13,1.0,1.0,0.9457,0.9812,0.98,59465
2019-08-14,1.0,1.0,0.9101,0.957,0.96,30270
2019-08-15,0.92,0.92,0.8615,0.8623,0.86,43869
2019-08-16,0.87,0.96,0.87,0.9,0.9,20445
2019-08-19,0.936,0.98,0.8916,0.9311,0.93,41285
2019-08-20,0.9599,0.96,0.9339,0.96,0.96,10356
2019-08-21,0.96,0.98,0.87,0.9398,0.94,38258
2019-08-22,0.9118,0.9473,0.9118,0.9248,0.92,6439
2019-08-23,0.93895,0.945817,0.9118,0.9118,0.91,8646
2019-08-26,0.9482,0.95,0.92,0.95,0.95,8453
2019-08-27,0.95,0.95,0.9101,0.93998,0.94,8494
2019-08-28,0.92,0.9473,0.92,0.939145,0.94,7930
2019-08-29,0.93,0.95,0.929,0.9479,0.95,11349
2019-08-30,0.98,0.98,0.95,0.9629,0.96,15827
2019-09-03,0.98,1.04,0.964031,1.03,1.03,80596
2019-09-04,0.999,1.0344,0.985,0.985,0.99,29639
2019-09-05,1.0,1.06,1.0,1.05,1.05,44272
2019-09-06,1.04,1.05,0.95,1.01,1.01,51969
2019-09-09,1.0,1.04,1.0,1.03,1.03,17155
2019-09-10,1.03,1.05,1.03,1.04,1.04,7036
2019-09-11,1.03,1.0528,1.0,1.0,1.0,29541
2019-09-12,1.03,1.05,1.02,1.0418,1.04,14824
2019-09-13,1.07,1.07,1.03,1.06,1.06,35200
2019-09-16,1.2,1.353,1.11,1.22,1.22,397633
2019-09-17,1.26,1.26,1.1,1.17,1.17,97853
2019-09-18,1.21,1.29,1.2,1.29,1.29,126637
2019-09-19,1.3,1.6828,1.3,1.56,1.56,1034497
2019-09-20,1.6,1.89,1.6,1.88,1.88,808966
2019-09-23,1.82,2.09,1.7033,1.9,1.9,643083
2019-09-24,1.85,1.989,1.71,1.8,1.8,354441
2019-09-25,1.79,1.88,1.75,1.8,1.8,109499
2019-09-26,1.77,1.82,1.69,1.74,1.74,140733
2019-09-27,1.74,1.8,1.55,1.58,1.58,242417
2019-09-30,1.52,1.57,1.47,1.49,1.49,117575
2019-10-01,1.45,1.6,1.45,1.51,1.51,90092
2019-10-02,1.54,1.5604,1.48,1.55,1.55,103979
2019-10-03,1.52,1.57,1.4596,1.5,1.5,58063
2019-10-04,1.49,1.4968,1.29,1.4,1.4,191394
2019-10-07,1.35,1.4,1.29,1.29,1.29,94552
2019-10-08,1.24,1.3968,1.23,1.35,1.35,81921
2019-10-09,1.37,1.46,1.35,1.44,1.44,37446
2019-10-10,1.42,1.45,1.36,1.41,1.41,38566
2019-10-11,1.42,1.47,1.35,1.43,1.43,59067
2019-10-14,1.46,1.5,1.44,1.46,1.46,50961
2019-10-15,1.51,1.77,1.51,1.62,1.62,208246
2019-10-16,1.68,1.75,1.56,1.59,1.59,102384
2019-10-17,1.65,1.65,1.5239,1.58,1.58,80184
2019-10-18,1.59,1.67,1.51,1.5352,1.54,72717
2019-10-21,1.54,1.5658,1.42,1.44,1.44,56916
2019-10-22,1.44,1.58,1.44,1.56,1.56,64501
2019-10-23,1.56,1.58,1.5111,1.5661,1.57,28018
2019-10-24,1.57,1.5846,1.525,1.5405,1.54,47171
2019-10-25,1.55,1.5787,1.5,1.51,1.51,25465
2019-10-28,1.5,1.5069,1.4303,1.47,1.47,50562
2019-10-29,1.44,1.4701,1.41,1.43,1.43,50823
2019-10-30,1.4,1.43,1.35,1.36,1.36,46818
2019-10-31,1.36,1.37,1.25,1.3149,1.31,51195
2019-11-01,1.31,1.37,1.3,1.34,1.34,35596
2019-11-04,1.34,1.43,1.34,1.4196,1.42,47141
2019-11-05,1.45,1.54,1.4401,1.54,1.54,96777
2019-11-06,1.5,1.62,1.5,1.53,1.53,66144
2019-11-07,1.54,1.5903,1.48,1.53,1.53,16164
2019-11-08,1.53,1.54,1.5,1.52,1.52,6693
2019-11-11,1.46,1.54,1.46,1.526,1.53,20539
2019-11-12,1.5,1.54,1.5,1.515,1.52,38657
2019-11-13,1.52,1.54,1.5001,1.52,1.52,15562
2019-11-14,1.52,1.55,1.5,1.55,1.55,25635
2019-11-15,1.55,1.55,1.4748,1.49,1.49,18558
2019-11-18,1.4913,1.54,1.41,1.42,1.42,28012
