Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,14.69,14.84,14.59,14.76,9.0,6344013
2019-05-10,14.58,14.76,14.44,14.72,8.97,4477643
2019-05-13,14.28,14.47,14.24,14.34,8.74,3530623
2019-05-14,14.41,14.58,14.32,14.48,8.83,2892669
2019-05-15,14.17,14.81,14.12,14.75,8.99,6649761
2019-05-16,14.64,14.91,14.59,14.81,9.03,7314902
2019-05-17,14.72,15.0,14.7,14.83,9.04,6372063
2019-05-20,13.21,13.4,13.14,13.37,9.03,4897964
2019-05-21,13.27,13.34,13.18,13.26,8.96,3815063
2019-05-22,13.22,13.26,13.02,13.03,8.8,3364658
2019-05-23,12.75,12.81,12.61,12.73,8.6,5028989
2019-05-24,12.9,12.93,12.82,12.85,8.68,3965529
2019-05-28,13.89,13.99,13.67,13.78,9.31,9642560
2019-05-29,13.52,13.61,13.43,13.55,9.15,3854559
2019-05-30,13.35,13.46,13.31,13.4,9.05,2504431
2019-05-31,12.73,12.87,12.58,12.62,8.53,5583172
2019-06-03,12.62,12.91,12.62,12.82,8.66,5427584
2019-06-04,13.22,13.38,13.17,13.33,9.01,4102139
2019-06-05,13.19,13.38,13.03,13.19,8.91,4385860
2019-06-06,13.17,13.36,13.07,13.3,8.99,5435612
2019-06-07,13.21,13.34,13.16,13.2,8.92,3431798
2019-06-10,13.48,13.55,13.38,13.43,9.07,2827835
2019-06-11,13.61,13.68,13.52,13.53,9.14,3281475
2019-06-12,13.41,13.41,13.28,13.31,8.99,1614133
2019-06-13,13.43,13.47,13.29,13.37,9.03,2730762
2019-06-14,13.32,13.33,13.23,13.27,8.97,1808493
2019-06-17,13.46,13.52,13.38,13.39,9.05,2228426
2019-06-18,13.45,13.58,13.42,13.5,9.12,2129013
2019-06-19,13.63,13.76,13.6,13.64,9.22,2602923
2019-06-20,13.94,14.0,13.86,14.0,9.46,2613843
2019-06-21,13.97,14.04,13.83,13.9,9.39,1744323
2019-06-24,13.94,14.05,13.92,13.99,9.45,1174955
2019-06-25,13.88,13.9,13.74,13.77,9.3,1691833
2019-06-26,13.73,13.86,13.73,13.81,9.33,3006822
2019-06-27,13.87,13.95,13.83,13.91,9.4,2092629
2019-06-28,13.92,13.98,13.82,13.82,9.34,2733739
2019-07-01,14.05,14.1,13.86,13.91,9.4,2814211
2019-07-02,13.92,14.0,13.85,13.99,9.45,4016846
2019-07-03,14.28,14.37,14.21,14.28,9.65,1775726
2019-07-05,14.16,14.24,14.07,14.12,9.54,1248415
2019-07-08,14.17,14.19,13.98,14.01,9.47,1838485
2019-07-09,13.94,13.97,13.9,13.93,9.41,2241076
2019-07-10,14.1,14.11,13.92,14.01,9.47,2331002
2019-07-11,13.95,13.99,13.87,13.95,9.42,2339713
2019-07-12,14.16,14.22,14.1,14.13,9.55,2299737
