Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,29.77,30.2,29.5,30.13,19.71,247400
2019-05-10,30.16,30.63,30.07,30.6,20.02,229200
2019-05-13,30.36,30.73,30.31,30.46,19.93,249600
2019-05-14,30.58,31.04,30.35,30.73,20.11,234800
2019-05-15,30.75,30.79,30.25,30.31,19.83,304900
2019-05-16,30.49,30.82,30.26,30.35,19.86,253200
2019-05-17,30.31,30.64,30.3,30.44,19.92,186900
2019-05-20,30.44,30.62,30.3,30.35,19.86,123600
2019-05-21,30.48,30.74,30.35,30.68,20.07,157100
2019-05-22,30.7,30.7,30.36,30.61,20.03,98500
2019-05-23,30.29,30.39,29.96,30.19,19.75,183300
2019-05-24,30.29,30.4,29.93,30.09,19.69,95900
2019-05-28,30.15,30.23,29.85,29.94,19.59,120400
2019-05-29,29.8,29.85,29.3,29.78,19.48,288200
2019-05-30,29.88,30.09,29.82,30.0,19.63,197500
2019-05-31,29.8,30.2,29.8,29.96,19.6,150000
2019-06-03,30.05,30.32,29.95,30.31,19.83,174700
2019-06-04,30.5,30.99,30.36,30.91,20.22,330700
2019-06-05,30.82,30.82,30.44,30.59,20.01,87500
2019-06-06,30.6,31.0,30.6,30.89,20.21,152100
2019-06-07,31.0,31.09,30.82,30.87,20.2,148800
2019-06-10,31.0,31.14,30.74,31.05,20.31,153500
2019-06-11,31.2,31.2,30.76,30.9,20.22,147800
2019-06-12,30.8,30.81,30.52,30.62,20.03,98300
2019-06-13,30.93,31.06,30.63,30.87,20.2,136800
2019-06-14,30.98,31.15,30.79,31.15,20.38,100000
2019-06-17,31.15,31.15,30.82,30.93,20.24,167000
2019-06-18,30.92,31.12,30.69,30.81,20.16,193300
2019-06-19,30.71,31.1,30.43,30.97,20.26,249600
2019-06-20,31.17,31.24,30.8,30.81,20.16,157700
2019-06-21,30.67,31.26,30.65,31.1,20.35,234600
2019-06-24,31.24,31.25,30.81,31.12,20.36,104800
2019-06-25,31.25,31.25,30.75,30.78,20.14,111400
2019-06-26,31.05,31.18,30.9,30.91,20.22,229700
2019-06-27,31.19,31.45,30.95,31.44,20.57,316200
2019-06-28,31.42,31.56,31.25,31.28,20.46,303300
2019-07-01,31.61,31.74,31.31,31.43,20.56,255700
2019-07-02,31.58,31.88,31.49,31.88,20.86,211400
2019-07-03,31.85,32.15,31.85,32.04,20.96,207100
2019-07-05,32.04,32.44,31.98,32.4,21.2,253500
2019-07-08,32.5,32.62,32.35,32.39,21.19,301100
2019-07-09,32.48,32.58,32.12,32.33,21.15,220500
2019-07-10,32.44,32.56,32.3,32.33,21.15,192200
2019-07-11,32.57,32.71,32.37,32.45,21.23,166400
2019-07-12,32.5,32.93,32.5,32.66,21.37,369300
2019-07-15,32.83,33.25,32.78,33.22,21.73,412500
2019-07-16,33.24,33.96,33.08,33.55,21.95,354400
2019-07-17,33.61,33.93,33.09,33.18,21.71,450900
2019-07-18,33.27,33.48,32.83,32.92,21.54,288200
2019-07-19,32.92,33.46,32.72,33.39,21.85,257700
2019-07-22,33.65,33.87,33.5,33.66,22.02,391400
2019-07-23,33.81,33.86,33.6,33.67,22.03,239300
2019-07-24,33.71,33.83,33.5,33.62,22.0,201400
2019-07-25,33.64,33.75,33.47,33.73,22.07,227600
2019-07-26,33.78,33.95,33.64,33.83,22.13,180600
2019-07-29,33.97,33.98,33.7,33.97,22.22,259600
2019-07-30,33.98,34.09,33.7,33.78,22.1,243500
2019-07-31,34.08,34.09,33.66,33.79,22.11,410600
2019-08-01,33.78,33.92,33.49,33.52,21.93,602800
2019-08-02,33.52,33.73,33.16,33.39,21.85,786200
2019-08-05,32.41,32.58,31.27,31.64,21.23,580400
2019-08-06,31.91,32.5,31.77,32.45,21.77,275400
2019-08-07,32.22,32.24,31.3,31.68,21.25,396000
2019-08-08,31.17,31.2,29.76,31.08,20.85,670100
2019-08-09,30.93,31.08,30.59,30.63,20.55,300000
2019-08-12,30.71,30.83,30.54,30.63,20.55,162100
2019-08-13,30.51,31.3,30.51,30.91,20.74,365400
2019-08-14,30.97,30.97,30.28,30.52,20.47,403300
2019-08-15,30.34,30.56,29.8,29.94,20.09,631700
2019-08-16,30.1,30.58,29.87,30.43,20.41,285100
2019-08-19,30.72,30.78,30.21,30.6,20.53,409100
2019-08-20,30.51,30.98,30.51,30.59,20.52,233500
2019-08-21,30.75,31.25,30.6,31.08,20.85,209200
2019-08-22,31.21,31.21,30.71,31.0,20.8,220300
2019-08-23,30.78,31.15,30.6,30.86,20.7,396700
2019-08-26,30.97,31.08,30.69,30.94,20.76,250400
2019-08-27,31.06,31.15,30.46,30.75,20.63,295800
2019-08-28,30.9,31.1,30.64,31.05,20.83,223000
2019-08-29,31.19,31.75,31.08,31.72,21.28,216300
2019-08-30,31.77,31.77,31.1,31.37,21.04,178400
2019-09-03,31.25,31.25,30.85,30.91,20.74,227000
2019-09-04,31.2,31.24,30.81,30.84,20.69,376800
2019-09-05,30.94,31.16,30.74,30.74,20.62,133200
2019-09-06,30.7,31.11,30.7,31.1,20.86,143600
2019-09-09,31.22,31.6,31.17,31.32,21.01,158600
2019-09-10,31.35,31.5,31.17,31.43,21.08,102500
2019-09-11,31.48,31.55,31.03,31.26,20.97,175900
2019-09-12,31.22,31.43,30.98,31.35,21.03,139300
2019-09-13,31.49,31.55,31.22,31.42,21.08,145700
2019-09-16,31.81,31.86,31.04,31.16,20.9,288700
2019-09-17,31.23,31.78,31.16,31.47,21.11,197800
2019-09-18,31.42,31.68,31.35,31.45,21.1,79300
2019-09-19,31.6,31.68,31.47,31.54,21.16,119600
2019-09-20,31.6,31.95,31.55,31.94,21.43,164400
2019-09-23,32.0,32.11,31.81,31.98,21.45,127200
2019-09-24,31.96,32.0,31.39,31.66,21.24,146900
2019-09-25,31.51,31.63,31.11,31.3,21.0,260700
2019-09-26,31.23,31.3,31.05,31.09,20.86,207700
2019-09-27,31.39,31.57,31.24,31.57,21.18,160200
2019-09-30,31.64,31.82,31.45,31.45,21.1,143800
2019-10-01,31.44,31.58,31.08,31.13,20.88,251400
2019-10-02,31.05,31.19,30.8,31.0,20.8,159200
2019-10-03,30.99,31.32,30.86,31.1,20.86,130600
2019-10-04,31.1,31.33,31.1,31.25,20.96,102300
2019-10-07,31.3,31.48,31.23,31.31,21.0,117900
2019-10-08,31.31,31.53,31.17,31.53,21.15,122700
2019-10-09,31.55,31.71,31.01,31.12,20.88,145600
2019-10-10,31.09,31.29,31.05,31.23,20.95,103800
2019-10-11,31.36,31.66,31.28,31.52,21.15,142900
2019-10-14,31.54,31.62,31.35,31.61,21.21,101700
2019-10-15,31.7,31.96,31.5,31.84,21.36,158600
2019-10-16,31.85,32.15,31.74,31.76,21.31,153700
2019-10-17,31.78,32.17,31.78,32.14,21.56,102700
2019-10-18,32.19,32.5,32.1,32.5,21.8,155100
2019-10-21,32.67,32.67,32.34,32.38,21.72,184700
2019-10-22,32.33,32.63,32.25,32.31,21.68,218600
2019-10-23,32.3,32.82,32.23,32.74,21.96,173200
2019-10-24,32.75,32.89,32.51,32.68,21.92,167900
2019-10-25,32.69,32.88,32.5,32.74,21.96,143100
2019-10-28,32.85,32.99,32.71,32.78,21.99,229100
2019-10-29,32.88,33.25,32.7,33.09,22.2,222100
2019-10-30,33.35,33.54,33.08,33.38,22.39,259000
2019-10-31,33.44,33.61,33.16,33.61,22.55,367900
2019-11-01,33.74,34.09,33.62,33.87,22.72,630200
2019-11-04,33.54,33.54,32.78,33.0,22.69,583400
2019-11-05,33.0,33.0,31.91,32.27,22.19,363000
2019-11-06,32.3,32.8,31.81,32.8,22.55,210200
2019-11-07,32.45,32.99,31.9,32.41,22.29,360200
