Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,5.6527,5.75,5.6527,5.7217,5.7217,1468
2019-05-08,5.7999,5.8,5.6883,5.8,5.8,5280
2019-05-09,5.7516,5.7516,5.65,5.7,5.7,11379
2019-05-10,5.61,5.61,5.61,5.61,5.61,150
2019-05-13,5.5101,5.7624,5.28,5.28,5.28,2304
2019-05-14,5.79,5.79,5.31,5.31,5.31,300
2019-05-15,5.7737,5.7737,5.31,5.31,5.31,305
2019-05-16,5.5952,5.5952,5.33,5.33,5.33,300
2019-05-17,5.5687,5.59,5.31,5.31,5.31,1236
2019-05-20,5.4,5.6549,5.3,5.3,5.3,680
2019-05-21,5.58,5.66,5.25,5.45,5.45,7418
2019-05-22,5.58,5.6,5.26,5.4,5.4,6200
2019-05-23,5.35,5.427,5.35,5.427,5.427,1000
2019-05-24,5.4,5.43,5.36,5.36,5.36,500
2019-05-28,5.5,5.7,5.32,5.62,5.62,4815
2019-05-29,5.55,5.5538,5.55,5.55,5.55,1200
2019-05-30,5.61,5.61,5.25,5.46,5.46,6496
2019-05-31,5.36,5.4,5.26,5.4,5.4,1200
2019-06-03,5.4327,5.516,5.4,5.4,5.4,551
2019-06-05,5.6,5.8,5.3,5.8,5.8,6707
2019-06-06,5.79,5.79,5.35,5.35,5.35,3902
2019-06-07,5.31,5.6,5.31,5.45,5.45,8501
2019-06-10,5.31,5.66,5.31,5.5,5.5,8855
2019-06-11,5.7,5.72,5.4773,5.55,5.55,2300
2019-06-12,5.51,5.52,5.36,5.36,5.36,3709
2019-06-13,5.65,5.65,5.65,5.65,5.65,600
2019-06-14,5.368,5.5,5.368,5.5,5.5,1290
2019-06-17,5.5,5.67,5.39,5.4742,5.4742,11120
2019-06-18,5.5925,5.5925,5.4999,5.4999,5.4999,1533
2019-06-19,5.44,5.44,5.4,5.4,5.4,950
2019-06-20,5.35,5.4,5.301,5.301,5.301,1150
2019-06-21,5.41,5.74,5.25,5.25,5.25,2401
2019-06-24,5.3,5.3,5.3,5.3,5.3,178
2019-06-25,5.4,5.4,5.4,5.4,5.4,150
2019-06-26,5.4,5.4,5.4,5.4,5.4,200
2019-06-27,5.5,5.5,5.3,5.3,5.3,330
2019-06-28,5.3,5.3,5.3,5.3,5.3,200
2019-07-01,5.7112,5.7112,5.06,5.362,5.362,2100
2019-07-02,5.74,5.74,5.4641,5.4641,5.4641,400
2019-07-03,5.47,5.4717,5.05,5.05,5.05,700
2019-07-05,5.05,5.28,5.05,5.07,5.07,800
2019-07-09,5.17,5.74,5.17,5.3,5.3,2250
2019-07-10,5.32,5.32,5.1001,5.1009,5.1009,2010
2019-07-11,5.44,5.44,5.06,5.2678,5.2678,606
2019-07-12,5.06,5.06,5.06,5.06,5.06,540
2019-07-15,5.06,5.18,5.06,5.15,5.15,322
2019-07-16,5.2,5.2,5.2,5.2,5.2,100
2019-07-18,5.3923,5.3923,5.06,5.06,5.06,206
2019-07-19,5.07,5.2283,5.06,5.1,5.1,700
2019-07-22,5.2436,5.2436,5.2144,5.2144,5.2144,638
2019-07-23,5.275,5.275,5.275,5.275,5.275,200
2019-07-24,5.06,5.5,5.06,5.1,5.1,1000
2019-07-26,5.2086,5.2086,5.2086,5.2086,5.2086,170
2019-07-29,5.2,5.2,5.2,5.2,5.2,579
