Date,Open,High,Low,Close,AdjClose,Volume
2020-11-19,21.9,22.2,18.08,20.29,20.29,9854500
2020-11-20,20.7,21.07,19.06,19.06,19.06,1712400
2020-11-23,19.74,20.7,19.5,20.39,20.39,1035000
2020-11-24,20.73,20.89,20.0,20.1,20.1,649000
2020-11-25,20.15,20.35,19.8,20.06,20.06,587700
2020-11-27,20.58,20.95,19.91,20.0,20.0,612200
2020-11-30,20.59,20.66,19.95,20.07,20.07,1037700
2020-12-01,20.07,24.83,20.02,23.35,23.35,3179300
2020-12-02,22.8,23.75,21.3,22.13,22.13,1039600
2020-12-03,22.39,23.09,22.03,22.51,22.51,542100
2020-12-04,22.82,24.0,22.22,22.43,22.43,990500
2020-12-07,21.69,21.95,19.9,20.35,20.35,1989700
2020-12-08,20.4,20.81,20.21,20.34,20.34,708000
2020-12-09,20.31,20.5,19.5,19.8,19.8,983400
2020-12-10,19.85,20.2,19.26,19.55,19.55,741800
2020-12-11,19.3,20.4,19.06,20.19,20.19,690800
2020-12-14,21.0,21.73,20.29,21.02,21.02,1102800
2020-12-15,21.09,22.84,20.85,22.11,22.11,863000
2020-12-16,22.46,23.63,22.45,23.5,23.5,1771300
2020-12-17,23.59,24.83,23.57,24.41,24.41,1245000
2020-12-18,24.33,27.0,24.33,26.97,26.97,1744600
2020-12-21,27.0,28.0,25.72,27.92,27.92,1165400
2020-12-22,28.3,30.0,27.97,28.9,28.9,1576800
2020-12-23,28.9,30.84,27.6,30.37,30.37,1797600
2020-12-24,30.35,31.3,28.91,30.17,30.17,766800
2020-12-28,30.53,31.08,29.1,29.53,29.53,502100
2020-12-29,29.54,31.2,27.5,31.03,31.03,942600
2020-12-30,30.95,32.4,30.58,32.07,32.07,1231200
2020-12-31,31.92,33.03,31.38,32.98,32.98,717000
2021-01-04,32.93,33.35,29.29,33.27,33.27,1091100
2021-01-05,33.17,33.75,30.85,32.07,32.07,477600
2021-01-06,31.43,31.86,29.11,31.06,31.06,1279900
2021-01-07,30.64,32.45,30.18,31.81,31.81,584600
2021-01-08,31.77,32.29,30.14,30.47,30.47,349800
2021-01-11,30.07,32.13,29.5,31.52,31.52,342100
2021-01-12,31.86,32.39,31.03,32.34,32.34,288200
2021-01-13,32.35,34.21,32.35,33.11,33.11,775800
2021-01-14,33.44,35.18,33.2,34.49,34.49,1090800
2021-01-15,34.61,40.31,34.61,37.76,37.76,3612100
2021-01-19,39.0,40.4,39.0,39.7,39.7,1424500
2021-01-20,40.25,41.84,39.82,40.21,40.21,1235400
2021-01-21,40.98,41.13,37.56,39.38,39.38,1054000
2021-01-22,38.98,40.06,38.51,39.83,39.83,597100
2021-01-25,40.18,40.66,37.26,38.25,38.25,753000
