Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,276.5,277.39,269.71,271.7,268.5,1480931
2019-05-08,272.19,273.92,270.09,270.51,267.32,1691115
2019-05-09,267.77,269.68,263.85,269.0,265.83,1550694
2019-05-10,268.23,269.35,260.8,269.18,266.01,1548512
2019-05-13,262.92,263.47,258.03,261.08,258.01,1628803
2019-05-14,263.02,269.41,262.69,267.39,264.24,1845228
2019-05-15,262.5,265.86,259.02,263.04,259.94,1834232
2019-05-16,266.93,268.47,264.95,267.02,263.88,1340014
2019-05-17,263.35,267.01,261.27,261.73,258.65,1320547
2019-05-20,262.18,265.15,260.25,262.91,259.81,1525321
2019-05-21,265.98,268.0,265.11,265.36,262.24,1420827
2019-05-22,267.63,273.27,266.2,271.66,268.46,1740291
2019-05-23,268.94,271.34,265.37,271.02,267.83,1567586
2019-05-24,272.41,276.66,271.64,271.8,268.6,991546
2019-05-28,273.82,274.83,266.02,266.38,263.24,1676800
2019-05-29,262.84,265.87,262.11,264.76,261.64,1232743
2019-05-30,265.72,268.44,264.84,267.98,264.82,771416
2019-05-31,265.54,269.29,265.01,266.98,263.84,1266739
2019-06-03,268.29,271.44,264.72,265.28,262.16,1659899
2019-06-04,267.85,268.48,264.3,267.97,264.81,1575848
2019-06-05,271.81,275.74,270.0,274.79,271.55,2198244
2019-06-06,275.77,278.16,274.62,276.26,273.01,1940565
2019-06-07,278.92,282.51,277.53,281.69,278.37,1334549
2019-06-10,282.87,284.77,282.54,283.76,280.42,997638
2019-06-11,286.58,288.07,282.43,285.05,281.69,1214806
2019-06-12,284.85,285.79,282.72,285.22,281.86,882056
2019-06-13,284.85,286.39,283.55,286.24,283.06,1301805
2019-06-14,286.45,287.07,284.36,285.26,282.09,1381062
2019-06-17,285.87,287.14,284.8,285.93,282.75,681570
2019-06-18,287.94,290.0,286.01,289.2,285.99,1360544
2019-06-19,288.66,293.33,287.43,292.78,289.53,1534737
2019-06-20,296.49,297.41,290.42,293.34,290.08,1590333
2019-06-21,293.39,295.43,290.36,294.46,291.19,1701591
2019-06-24,295.2,296.03,292.0,295.55,292.26,942080
2019-06-25,295.48,298.38,293.1,293.53,290.27,1191614
2019-06-26,293.35,294.07,289.89,292.23,288.98,1172258
2019-06-27,292.76,294.38,290.79,293.77,290.5,850097
2019-06-28,292.56,294.13,288.69,293.68,290.42,5248063
2019-07-01,299.13,299.77,295.01,299.41,296.08,1651506
2019-07-02,299.18,301.19,295.52,301.11,297.76,946401
2019-07-03,302.76,305.45,301.51,305.43,302.03,882958
2019-07-05,302.5,303.8,298.7,300.65,297.31,1046846
2019-07-08,299.3,299.57,294.87,297.81,294.5,1223218
2019-07-09,296.23,297.59,295.77,296.9,293.6,886503
2019-07-10,298.54,299.17,296.18,296.52,293.22,843202
2019-07-11,298.14,298.88,294.51,295.55,292.26,805010
2019-07-12,290.95,291.49,288.3,290.94,287.71,1640554
2019-07-15,290.81,291.55,288.24,288.83,285.62,1628952
2019-07-16,285.56,287.99,285.05,286.21,283.03,1959752
2019-07-17,286.58,288.39,284.54,287.0,283.81,1671487
2019-07-18,287.01,293.9,287.01,293.73,290.46,1542995
2019-07-19,295.53,295.6,289.68,289.82,286.6,1593135
2019-07-22,291.0,294.53,289.99,291.73,288.49,1106050
2019-07-23,292.41,294.39,290.99,293.62,290.36,1025329
2019-07-24,289.01,289.04,278.52,288.36,285.15,2538263
2019-07-25,289.3,291.84,288.13,290.59,287.36,1214322
2019-07-26,292.15,292.15,286.5,287.21,284.02,1274001
2019-07-29,288.5,289.19,285.75,288.92,285.71,1060014
2019-07-30,285.95,286.54,283.43,283.91,280.75,1346776
2019-07-31,284.0,284.48,275.58,277.68,274.59,1903703
2019-08-01,279.45,284.24,275.77,277.81,274.72,1552028
2019-08-02,277.83,277.83,271.0,274.82,271.77,2096269
2019-08-05,268.63,271.75,266.49,268.46,265.48,2569375
2019-08-06,271.4,277.32,270.01,275.96,272.89,2287526
2019-08-07,272.36,276.36,269.16,274.79,271.74,1664329
2019-08-08,277.44,281.0,277.05,280.5,277.38,1348203
2019-08-09,278.78,280.96,275.65,276.37,273.3,921902
2019-08-12,274.73,276.29,270.98,272.0,268.98,1251720
2019-08-13,272.07,278.06,270.27,275.17,272.11,1909453
2019-08-14,272.64,275.3,269.37,269.48,266.48,1856237
2019-08-15,274.66,275.99,270.76,273.31,270.27,1603744
2019-08-16,276.59,277.35,274.25,276.15,273.08,1035070
2019-08-19,278.6,280.2,276.02,279.52,276.41,1089076
2019-08-20,278.0,279.41,276.0,276.19,273.12,1031004
2019-08-21,278.27,279.71,277.0,278.27,275.18,749552
2019-08-22,279.43,280.91,276.17,278.17,275.08,845701
2019-08-23,278.1,280.22,267.46,269.36,266.37,1758470
2019-08-26,270.52,272.36,268.89,270.92,267.91,1051971
2019-08-27,272.89,274.07,271.58,272.93,269.9,1002606
2019-08-28,272.02,278.03,271.0,276.06,272.99,1316611
2019-08-29,279.19,286.74,278.82,285.77,282.59,1858571
2019-08-30,288.62,290.18,284.62,287.06,283.87,2165934
2019-09-03,284.43,286.25,281.25,283.53,280.38,1590044
2019-09-04,285.07,289.25,283.48,285.9,282.72,1288301
2019-09-05,288.4,294.71,286.47,294.02,290.75,1470453
2019-09-06,295.85,296.92,293.51,295.05,291.77,2337314
2019-09-09,296.21,296.68,291.08,292.02,288.77,1568393
2019-09-10,290.01,291.15,285.03,289.5,286.28,2428410
2019-09-11,289.52,295.09,286.25,294.94,291.66,1293693
2019-09-12,296.0,297.74,294.4,294.97,291.69,1108241
2019-09-13,294.09,298.04,293.76,297.65,294.34,1082959
2019-09-16,295.41,296.94,293.67,295.33,292.23,1062927
2019-09-17,294.76,295.92,291.39,292.71,289.64,1517896
2019-09-18,292.7,295.13,291.02,294.96,291.87,1224228
2019-09-19,293.96,296.76,293.9,295.25,292.15,1010803
2019-09-20,297.29,299.08,295.56,296.33,293.22,1788202
2019-09-23,292.55,295.61,290.13,290.45,287.4,1131196
2019-09-24,292.5,293.68,284.38,285.16,282.17,1583057
2019-09-25,286.14,287.34,281.05,282.33,279.37,1955770
2019-09-26,283.86,288.11,281.64,286.85,283.84,1697428
2019-09-27,288.35,290.17,285.21,287.4,284.39,1143989
2019-09-30,286.91,293.49,286.79,291.27,288.22,1586932
2019-10-01,291.78,293.63,287.11,287.4,284.39,1824088
2019-10-02,285.01,286.73,277.01,279.53,276.6,1999630
2019-10-03,278.15,283.97,274.3,282.91,279.94,1871601
2019-10-04,282.85,292.44,282.77,292.3,289.24,1744778
2019-10-07,290.49,294.04,289.06,289.16,286.13,1926546
2019-10-08,282.11,284.81,270.33,271.93,269.08,3943218
2019-10-09,278.7,278.81,275.18,276.51,273.61,1751066
2019-10-10,276.29,282.56,276.27,280.66,277.72,1150143
2019-10-11,285.66,287.92,283.34,283.64,280.67,1284279
2019-10-14,284.09,286.72,283.49,284.25,281.27,761553
2019-10-15,286.07,287.97,285.22,286.02,283.02,1212572
2019-10-16,283.96,285.0,279.32,280.56,277.62,2112005
2019-10-17,282.0,284.46,281.06,281.59,278.64,1029890
2019-10-18,281.05,283.94,280.39,281.42,278.47,1187869
2019-10-21,284.56,284.56,281.56,283.54,280.57,1078430
2019-10-22,283.36,287.19,280.7,280.99,278.04,1054033
2019-10-23,298.56,300.0,290.04,296.93,293.82,2111017
2019-10-24,295.32,296.29,290.65,293.44,290.36,1237586
2019-10-25,291.98,298.2,290.58,296.68,293.57,1061333
2019-10-28,296.59,302.33,296.59,299.9,296.76,1399553
2019-10-29,297.0,300.66,296.67,297.95,294.83,1225927
2019-10-30,298.27,302.44,295.66,301.86,298.7,1395446
2019-10-31,301.86,303.6,300.29,301.98,298.81,1505919
2019-11-01,305.0,305.28,303.12,303.6,300.42,990471
2019-11-04,305.64,306.0,300.62,300.77,297.62,1052025
2019-11-05,299.9,299.9,291.95,292.63,289.56,1876760
2019-11-06,293.27,295.22,290.64,294.57,291.48,1016993
2019-11-07,295.9,295.94,291.77,293.54,290.46,1210192
2019-11-08,295.63,296.0,292.53,294.65,291.56,788884
2019-11-11,292.64,296.31,292.24,293.53,290.45,773058
2019-11-12,294.52,298.73,294.31,295.97,292.87,791022
2019-11-13,294.81,301.13,294.5,300.02,296.87,1289160
2019-11-14,300.15,301.18,295.8,300.84,297.69,860760
2019-11-15,302.93,306.95,302.5,306.81,303.59,1626984
2019-11-18,306.0,306.53,299.89,300.99,297.83,1233558
2019-11-19,302.23,307.02,301.58,306.42,303.21,1767528
2019-11-20,307.02,310.67,304.65,307.33,304.11,2329698
2019-11-21,306.55,306.94,302.48,305.31,302.11,1058623
2019-11-22,306.11,308.12,303.92,307.77,304.54,841934
2019-11-25,308.96,310.74,307.63,310.6,307.34,1257613
2019-11-26,310.01,313.91,309.55,313.45,310.16,1709652
2019-11-27,313.66,316.03,312.27,315.42,312.11,863955
2019-11-29,314.82,315.86,313.04,313.95,310.66,667088
2019-12-02,315.66,315.85,309.21,313.04,309.76,955660
2019-12-03,309.15,313.13,308.71,312.89,309.61,942589
2019-12-04,312.18,316.09,311.89,315.64,312.33,985694
2019-12-05,315.86,316.74,311.74,316.0,312.69,844321
2019-12-06,318.64,321.6,317.92,320.12,316.76,1199511
2019-12-09,319.41,320.74,315.81,316.43,313.11,896457
2019-12-10,317.23,318.08,315.17,317.09,313.77,1301455
2019-12-11,316.85,319.04,316.07,318.08,314.75,1355627
2019-12-12,318.68,322.17,318.13,319.36,316.01,1187208
2019-12-13,319.27,321.42,317.49,320.5,317.14,735236
