Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,73.8,74.45,73.54,74.0,73.39,2594813
2019-05-08,73.96,73.96,72.48,72.63,72.03,2849202
2019-05-09,72.3,74.4,72.25,74.25,73.63,3319750
2019-05-10,74.0,75.32,73.54,75.23,74.61,3360501
2019-05-13,74.38,74.74,73.25,73.42,72.81,3477107
2019-05-14,73.42,73.87,73.04,73.6,72.99,2987137
2019-05-15,73.37,74.78,73.05,74.63,74.01,3798245
2019-05-16,74.48,77.13,74.25,75.38,74.75,4946409
2019-05-17,75.39,76.32,75.02,75.37,74.74,3618980
2019-05-20,79.87,80.93,75.72,78.29,77.64,20102698
2019-05-21,78.16,78.29,76.78,77.15,76.51,6338990
2019-05-22,76.49,77.13,76.14,76.35,75.72,3287280
2019-05-23,76.26,77.0,75.25,76.01,75.38,3886957
2019-05-24,76.5,77.45,75.63,77.27,76.63,3579551
2019-05-28,77.55,77.98,75.89,75.91,75.28,5391317
2019-05-29,75.82,76.65,75.29,76.13,75.5,3541107
2019-05-30,76.04,76.57,75.02,76.03,75.4,4111885
2019-05-31,74.81,75.25,73.28,73.44,72.83,5147765
2019-06-03,73.62,74.64,73.37,74.2,73.58,2941025
2019-06-04,74.63,75.74,74.52,75.69,75.06,3144677
2019-06-05,75.94,76.55,75.67,76.29,75.66,1970587
2019-06-06,76.14,76.44,74.61,75.95,75.32,2671042
2019-06-07,76.55,77.14,76.31,77.03,76.39,2256596
2019-06-10,77.06,77.38,76.38,76.67,76.03,3096006
2019-06-11,77.13,77.46,74.63,75.46,74.83,3822494
2019-06-12,75.83,75.9,74.65,75.38,74.75,3296613
2019-06-13,75.17,75.28,74.01,74.45,73.83,4279968
2019-06-14,74.67,78.0,74.28,74.9,74.28,4813554
2019-06-17,75.08,75.43,74.54,75.27,74.65,2928999
2019-06-18,75.94,77.13,75.55,76.44,75.81,4995899
2019-06-19,76.34,78.5,76.34,78.28,77.63,3377952
2019-06-20,79.11,79.26,77.15,77.93,77.28,3339462
2019-06-21,77.71,77.75,75.2,75.7,75.07,5223909
2019-06-24,76.02,76.55,75.38,75.54,74.91,2122977
2019-06-25,75.47,75.5,74.45,74.58,73.96,2593900
2019-06-26,74.28,74.4,72.77,73.04,72.43,4393262
2019-06-27,73.45,73.72,72.92,73.29,72.68,2319565
2019-06-28,73.29,74.49,72.9,74.14,73.52,4117804
2019-07-01,74.67,74.67,73.92,74.15,73.53,2230467
2019-07-02,74.4,75.78,73.92,75.48,74.85,2871718
2019-07-03,75.89,77.03,75.6,75.82,75.19,2080940
2019-07-05,75.83,76.43,75.63,76.23,75.6,1318543
2019-07-08,76.37,76.39,75.43,75.63,75.0,1667326
2019-07-09,75.35,75.83,75.08,75.15,74.53,3552972
2019-07-10,77.96,78.95,77.57,78.63,77.98,14441239
2019-07-11,78.73,78.88,76.95,78.26,77.61,10108763
2019-07-12,78.2,79.73,78.01,79.45,78.79,63068445
2019-07-15,79.67,80.0,78.59,79.31,78.65,6189822
2019-07-16,79.35,79.59,78.83,79.04,78.38,5234911
2019-07-17,79.23,79.46,78.9,78.93,78.28,3238346
2019-07-18,78.78,79.07,77.27,77.97,77.32,6471681
2019-07-19,77.99,77.99,76.94,77.43,76.79,5311849
2019-07-22,77.8,78.66,77.27,77.66,77.02,4695214
2019-07-23,77.74,78.16,76.95,78.14,77.49,3507825
2019-07-24,79.2,81.57,78.83,80.61,79.94,10198421
2019-07-25,81.36,81.41,79.71,79.91,79.25,5501803
2019-07-26,81.1,85.22,80.95,84.25,83.55,12333212
2019-07-29,84.63,84.79,81.92,82.38,81.7,5858850
2019-07-30,81.7,82.33,81.02,81.3,80.63,5285021
2019-07-31,81.22,81.65,78.95,79.73,79.07,4596590
2019-08-01,79.99,80.31,78.77,79.31,78.65,4761361
2019-08-02,79.39,79.39,76.79,77.73,77.09,5428007
2019-08-05,76.85,76.93,75.62,76.19,75.56,4046241
2019-08-06,76.51,77.32,75.97,77.28,76.64,4010398
2019-08-07,76.49,76.8,75.27,76.48,75.85,3492699
2019-08-08,76.94,78.06,76.83,77.9,77.25,3023432
2019-08-09,77.6,78.21,77.01,77.52,76.88,2698629
2019-08-12,77.07,77.61,76.77,76.94,76.3,1888186
2019-08-13,76.93,78.26,76.78,77.62,76.98,2559772
2019-08-14,76.77,77.38,76.11,76.93,76.29,2900750
2019-08-15,76.47,77.8,76.2,77.27,76.63,2597687
2019-08-16,77.99,78.25,77.46,77.75,77.1,3159025
2019-08-19,78.26,78.5,77.72,78.23,77.58,1697288
2019-08-20,77.98,78.24,77.64,77.68,77.04,1855967
2019-08-21,78.07,78.31,77.77,78.18,77.53,1221488
2019-08-22,78.31,78.42,77.51,77.79,77.14,2010861
2019-08-23,77.64,78.25,76.12,76.48,75.85,2885550
2019-08-26,77.0,78.07,76.68,78.06,77.41,1735921
2019-08-27,77.7,78.1,77.02,77.12,76.48,2239806
2019-08-28,76.93,77.37,76.28,77.06,76.42,2035614
2019-08-29,77.87,78.41,77.4,78.01,77.36,1403622
2019-08-30,78.38,78.38,77.79,78.05,77.4,1722597
2019-09-03,77.9,77.94,77.0,77.13,76.49,1760857
2019-09-04,77.51,77.84,77.02,77.61,76.97,1902360
2019-09-05,78.22,78.57,77.56,77.83,77.18,1963200
2019-09-06,77.96,79.17,77.85,79.15,78.49,2930610
2019-09-09,79.33,79.47,78.59,79.13,78.47,2514422
2019-09-10,78.78,78.78,77.94,78.38,77.73,2254177
2019-09-11,78.39,79.77,78.21,79.74,79.08,2412244
2019-09-12,79.88,80.6,79.39,79.69,79.03,2005874
2019-09-13,80.09,80.09,79.03,79.4,78.74,1737704
2019-09-16,78.96,79.64,78.74,79.56,78.9,2178828
2019-09-17,79.73,80.55,79.06,80.21,79.54,2855620
2019-09-18,80.21,80.55,79.58,80.12,79.46,2218639
2019-09-19,80.72,81.15,80.54,81.0,80.33,2851295
2019-09-20,80.56,80.85,79.08,80.59,79.92,7207982
2019-09-23,80.02,80.78,79.81,79.96,79.3,2445807
2019-09-24,80.49,80.49,79.03,79.36,78.7,3691961
2019-09-25,79.53,80.03,78.86,79.81,79.15,1970987
2019-09-26,79.97,80.01,78.96,79.0,78.34,1929562
2019-09-27,79.06,79.15,76.77,77.56,76.92,3407714
2019-09-30,77.87,79.09,77.62,78.77,78.12,2327960
2019-10-01,78.88,79.37,78.0,78.2,77.55,2820113
2019-10-02,77.6,77.97,75.82,76.41,75.78,3284504
2019-10-03,76.6,77.41,76.02,77.03,76.39,2375028
2019-10-04,76.96,78.07,76.96,77.99,77.34,1843469
2019-10-07,77.63,78.68,77.63,78.48,77.83,1951020
2019-10-08,77.78,78.14,77.36,77.61,76.97,2346697
2019-10-09,78.11,78.28,77.31,77.79,77.14,1983991
2019-10-10,77.72,78.49,77.03,78.3,77.65,2414385
2019-10-11,78.66,80.03,78.55,79.53,78.87,2074210
2019-10-14,79.53,79.53,78.57,78.63,77.98,2000225
2019-10-15,78.95,79.94,78.8,79.74,79.08,1875098
2019-10-16,79.74,80.18,79.6,80.01,79.35,2262682
2019-10-17,80.45,81.18,79.17,81.05,80.38,3913720
2019-10-18,81.14,82.33,80.78,81.6,80.92,3212054
2019-10-21,81.77,82.53,81.71,82.09,81.41,2923137
2019-10-22,82.53,82.57,81.65,81.67,80.99,2249787
2019-10-23,81.44,81.75,81.07,81.36,80.68,1309199
2019-10-24,81.25,81.63,81.02,81.48,80.8,1891081
2019-10-25,81.68,82.18,81.51,81.62,80.94,2014354
2019-10-28,82.01,83.12,81.76,82.39,81.71,3076797
2019-10-29,81.24,82.37,79.72,81.77,81.09,4215586
2019-10-30,81.57,83.85,81.54,83.27,82.58,4158288
2019-10-31,83.35,83.5,81.78,82.66,81.97,2683280
2019-11-01,83.09,83.19,82.0,82.47,81.79,2608498
2019-11-04,82.7,82.81,80.45,80.92,80.25,3091189
2019-11-05,81.06,81.85,80.85,81.47,80.79,1738429
2019-11-06,81.6,81.95,81.29,81.86,81.18,2707596
2019-11-07,82.4,83.03,81.57,81.86,81.18,2680955
2019-11-08,81.8,81.84,80.83,80.94,80.27,1617667
2019-11-11,80.59,81.14,77.55,79.62,78.96,6391790
2019-11-12,79.62,79.65,77.2,77.43,76.79,4345988
2019-11-13,77.63,78.07,76.8,77.97,77.32,2726815
2019-11-14,77.38,77.82,76.49,76.84,76.2,2897991
2019-11-15,77.56,79.5,77.33,78.07,77.42,3949219
2019-11-18,76.87,78.45,76.33,78.19,77.54,4236248
2019-11-19,78.2,78.3,76.92,77.16,76.52,2362695
2019-11-20,76.85,77.68,76.72,77.64,77.0,2796916
2019-11-21,77.84,77.94,77.36,77.7,77.06,1704091
2019-11-22,77.95,78.78,77.79,78.59,77.94,2910753
2019-11-25,78.74,78.87,77.59,78.0,77.35,2984840
2019-11-26,78.0,78.69,77.59,78.45,77.8,2882130
2019-11-27,78.47,79.3,78.47,78.98,78.32,2081544
2019-11-29,78.88,79.28,78.5,78.55,77.9,872904
2019-12-02,78.58,78.84,76.86,77.64,77.0,2899552
2019-12-03,77.45,78.06,76.81,78.01,77.36,2081102
2019-12-04,78.05,78.53,77.44,78.34,77.69,1905504
2019-12-05,78.07,78.2,76.9,76.94,76.3,2820518
2019-12-06,77.54,78.0,76.63,77.74,77.09,2900347
2019-12-09,77.7,77.9,75.3,75.87,75.24,4384253
2019-12-10,75.79,75.91,74.93,75.02,74.4,3080649
2019-12-11,75.08,75.41,74.31,74.62,74.0,3374814
2019-12-12,75.23,75.25,74.46,74.89,74.27,2846145
2019-12-13,74.97,75.54,74.65,75.47,74.84,2725523
2019-12-16,75.53,75.85,75.23,75.47,74.84,3488056
