Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,119.08,119.36,117.75,119.32,106.57,273300
2019-05-10,118.92,119.54,117.73,119.27,106.53,143048
2019-05-13,118.0,119.03,117.79,118.26,105.63,208599
2019-05-14,118.87,119.74,118.73,119.07,106.35,136848
2019-05-15,118.85,120.89,118.46,120.64,107.75,274274
2019-05-16,119.15,120.29,119.0,119.9,107.09,160907
2019-05-17,118.38,119.09,118.2,118.4,105.75,334084
2019-05-20,118.12,118.79,117.88,118.11,105.49,156280
2019-05-21,117.85,118.39,117.46,118.25,105.62,124296
2019-05-22,117.78,117.98,117.27,117.32,104.79,107611
2019-05-23,117.38,117.86,117.05,117.47,104.92,116506
2019-05-24,118.84,118.88,118.04,118.55,105.89,121215
2019-05-28,119.87,120.66,119.38,119.4,106.64,145277
2019-05-29,119.88,119.88,118.9,119.55,106.78,125665
2019-05-30,119.78,119.92,119.38,119.75,106.96,125918
2019-05-31,117.5,117.72,117.1,117.58,105.02,181378
2019-06-03,117.58,118.27,117.44,118.13,105.51,101963
2019-06-04,118.73,119.77,118.51,119.54,106.77,228467
2019-06-05,120.5,121.0,120.04,120.22,107.38,136131
2019-06-06,121.05,121.45,120.86,121.3,108.34,116554
2019-06-07,121.95,122.87,121.88,122.39,109.32,120322
2019-06-10,123.46,123.93,123.36,123.49,110.3,118698
2019-06-11,124.5,125.25,124.38,124.99,111.64,153523
2019-06-12,125.1,126.0,125.1,125.68,112.25,233125
2019-06-13,124.45,124.79,124.19,124.79,111.46,119816
2019-06-14,124.45,124.65,124.26,124.39,111.1,154298
2019-06-17,124.29,124.47,123.81,124.17,110.91,85259
2019-06-18,124.81,125.49,124.7,125.37,111.98,120694
2019-06-19,125.2,125.28,124.72,125.21,111.83,75360
2019-06-20,125.91,125.99,125.26,125.8,112.36,83080
2019-06-21,124.93,125.22,124.72,124.83,111.49,88820
2019-06-24,125.06,125.2,124.72,124.79,111.46,156961
2019-06-25,124.78,124.78,123.44,123.93,110.69,109318
2019-06-26,123.92,124.05,123.15,123.29,110.12,96176
2019-06-27,123.92,124.5,123.47,123.67,110.46,56020
2019-06-28,124.09,124.43,123.84,123.99,110.74,83740
2019-07-01,126.63,126.8,125.32,125.79,112.35,179434
2019-07-02,126.3,127.24,126.3,127.0,113.43,173166
2019-07-03,126.87,127.43,126.23,126.83,113.28,72058
2019-07-05,126.15,126.64,125.95,126.57,113.05,75291
2019-07-08,126.28,127.44,126.19,126.87,113.32,170947
2019-07-09,126.86,126.9,126.41,126.9,113.34,85538
2019-07-10,126.62,127.68,126.62,127.38,113.77,131537
2019-07-11,127.08,127.08,126.37,126.75,113.21,74918
2019-07-12,127.4,128.13,127.0,127.71,114.07,118911
2019-07-15,128.1,128.49,127.23,127.63,114.0,115902
2019-07-16,128.38,129.32,128.28,128.61,114.87,221420
2019-07-17,129.5,129.64,129.15,129.36,115.54,176026
2019-07-18,129.27,130.16,129.27,129.81,115.94,229278
2019-07-19,131.31,131.6,130.03,130.17,116.26,411600
2019-07-22,131.26,131.58,130.86,131.14,117.13,263313
2019-07-23,131.7,131.99,131.57,131.75,117.68,104455
2019-07-24,132.28,133.16,132.24,133.0,118.79,158372
2019-07-25,133.07,133.07,132.22,132.5,118.35,114890
2019-07-26,131.72,132.24,131.38,131.95,117.85,88689
2019-07-29,131.66,132.13,131.61,131.73,117.66,134542
2019-07-30,131.1,131.45,130.7,131.13,117.12,89672
2019-07-31,129.46,129.89,128.38,129.05,115.26,203243
2019-08-01,130.2,131.4,129.14,129.62,115.77,122801
2019-08-02,128.0,129.19,128.0,128.95,115.17,101098
2019-08-05,129.42,129.83,127.7,128.3,114.59,294742
2019-08-06,127.46,127.74,125.64,127.05,113.48,188905
2019-08-07,127.35,128.47,127.02,128.22,114.52,290579
2019-08-08,128.49,129.59,128.04,129.35,115.53,106387
2019-08-09,129.23,129.49,128.16,128.98,115.2,128393
2019-08-12,128.68,128.85,127.83,128.23,114.53,164576
2019-08-13,128.3,129.94,128.2,129.42,115.59,146438
2019-08-14,128.21,128.21,126.1,126.48,112.97,184166
2019-08-15,127.0,127.63,126.84,127.36,113.75,139410
2019-08-16,127.83,128.99,127.75,128.79,115.03,116706
2019-08-19,129.67,129.97,129.5,129.64,115.79,73867
2019-08-20,129.48,129.7,128.95,129.03,115.25,73816
2019-08-21,129.82,130.17,129.74,129.88,116.01,83720
2019-08-22,129.84,130.26,129.47,129.65,115.8,53146
2019-08-23,128.97,129.79,127.72,127.83,114.17,111147
2019-08-26,130.93,131.39,130.14,130.78,116.81,179877
2019-08-27,131.02,131.27,130.34,130.46,116.52,99991
2019-08-28,130.18,130.57,129.8,130.29,116.37,100470
2019-08-29,130.49,130.62,130.07,130.5,116.56,92145
2019-08-30,131.02,131.29,130.33,130.63,116.68,50601
2019-09-03,131.4,131.86,131.18,131.57,117.51,97894
2019-09-04,131.32,132.37,131.32,132.1,117.99,107626
2019-09-05,130.58,131.64,130.58,131.17,117.16,155075
2019-09-06,132.01,132.25,131.81,132.05,117.94,331253
2019-09-09,132.89,133.23,132.76,132.83,118.64,188653
2019-09-10,133.58,133.87,133.32,133.62,119.35,133315
2019-09-11,135.64,135.96,135.32,135.55,121.07,193488
2019-09-12,135.31,136.3,135.31,135.79,121.28,117348
2019-09-13,136.78,137.19,136.63,136.66,122.06,194977
2019-09-16,136.2,136.27,135.54,135.94,121.42,140986
2019-09-17,137.0,137.89,136.9,137.82,123.1,149561
2019-09-18,137.55,137.63,136.57,137.05,122.41,84365
2019-09-19,136.82,137.14,136.43,136.55,121.96,73450
2019-09-20,137.07,137.73,136.52,136.56,121.97,101678
2019-09-23,135.25,136.67,135.25,136.37,121.8,108676
2019-09-24,137.7,138.35,137.06,137.41,122.73,238151
2019-09-25,136.35,136.93,135.57,136.62,122.03,166019
2019-09-26,137.9,138.41,136.8,138.32,123.54,181010
2019-09-27,136.85,137.13,135.9,136.28,123.17,114515
2019-09-30,133.55,134.68,133.11,134.49,121.55,172626
2019-10-01,134.63,134.63,132.98,133.29,120.46,302000
2019-10-02,132.22,132.48,130.98,131.47,118.82,136088
2019-10-03,130.59,131.22,129.74,131.2,118.57,149362
2019-10-04,131.35,131.96,131.1,131.82,119.13,119126
2019-10-07,131.2,131.87,130.98,131.15,118.53,183892
2019-10-08,131.87,132.17,131.18,131.43,118.78,152488
2019-10-09,132.89,133.42,132.71,133.01,120.21,137007
2019-10-10,132.46,133.0,132.3,132.65,119.89,91356
2019-10-11,135.2,136.22,135.06,135.45,122.42,148290
2019-10-14,135.28,135.56,135.03,135.07,122.07,55985
2019-10-15,136.8,137.36,136.38,136.87,123.7,169433
2019-10-16,137.18,137.43,136.59,136.76,123.6,172679
2019-10-17,136.18,136.35,135.61,135.95,122.87,115572
2019-10-18,135.92,135.98,135.38,135.77,122.7,115192
2019-10-21,136.42,136.7,136.21,136.32,123.2,95694
2019-10-22,136.6,136.99,136.3,136.35,123.23,80792
2019-10-23,136.75,137.32,136.61,137.32,124.11,112806
2019-10-24,137.9,138.17,137.67,138.15,124.86,137532
2019-10-25,138.22,138.44,137.72,138.28,124.97,147871
2019-10-28,137.95,138.36,137.66,138.34,125.03,117396
2019-10-29,138.2,138.74,138.2,138.68,125.33,149738
2019-10-30,137.42,139.09,137.42,139.02,125.64,136565
2019-10-31,138.7,138.86,138.25,138.55,125.22,166516
2019-11-01,139.62,140.09,139.45,139.83,126.37,115831
2019-11-04,140.03,140.63,140.03,140.56,127.03,138025
2019-11-05,140.88,140.94,140.41,140.74,127.2,80547
2019-11-06,140.63,140.85,140.19,140.37,126.86,98929
2019-11-07,142.7,143.5,142.64,142.86,129.11,179985
2019-11-08,144.0,144.58,143.93,144.39,130.5,192023
2019-11-11,144.95,145.41,144.35,145.06,131.1,210624
2019-11-12,144.77,145.28,143.68,144.54,130.63,119585
2019-11-13,144.49,144.71,144.03,144.56,130.65,113793
2019-11-14,143.5,143.87,142.88,143.87,130.03,98814
2019-11-15,144.01,144.4,143.92,144.27,130.39,114505
2019-11-18,143.3,143.76,143.27,143.6,129.78,130395
2019-11-19,143.56,143.56,142.8,142.85,129.1,133305
2019-11-20,141.75,141.87,140.5,141.37,127.77,94134
2019-11-21,142.1,142.38,141.86,142.14,128.46,61290
2019-11-22,143.1,143.1,142.35,142.53,128.81,69924
2019-11-25,140.75,142.7,140.75,142.54,128.82,115675
2019-11-26,141.98,142.0,141.28,141.97,128.31,86419
2019-11-27,141.49,141.86,141.01,141.66,128.03,179901
2019-11-29,140.15,140.58,140.07,140.21,126.72,107847
2019-12-02,141.35,141.35,139.7,140.27,126.77,117860
2019-12-03,140.51,140.79,139.95,140.73,127.19,109287
2019-12-04,144.02,144.02,142.74,143.38,129.58,175402
2019-12-05,143.1,143.13,142.58,142.83,129.09,91527
2019-12-06,142.35,142.85,142.33,142.77,129.03,93854
2019-12-09,143.13,143.13,141.86,141.89,128.24,103754
2019-12-10,141.3,141.66,141.0,141.18,127.59,146983
2019-12-11,141.33,141.83,140.98,141.62,127.99,139505
2019-12-12,140.85,141.8,140.23,141.6,127.97,150024
2019-12-13,142.61,142.88,141.78,142.1,128.43,89136
2019-12-16,142.19,142.65,142.18,142.53,128.81,75937
2019-12-17,142.38,142.86,142.29,142.77,129.03,70562
2019-12-18,142.42,142.54,142.14,142.39,128.69,69679
2019-12-19,142.98,143.0,142.46,142.76,129.02,93079
2019-12-20,140.56,142.26,140.56,141.97,128.31,129349
2019-12-23,142.12,142.12,141.7,141.96,128.3,85899
2019-12-24,141.5,141.68,141.19,141.34,127.74,66718
2019-12-26,141.36,141.53,140.84,141.53,127.91,73655
2019-12-27,142.0,142.0,141.24,141.28,127.68,132999
2019-12-30,141.46,141.46,140.44,140.61,127.08,91808
2019-12-31,140.58,140.73,140.13,140.54,127.02,89719
2020-01-02,142.0,142.35,141.53,142.24,128.55,118092
2020-01-03,141.23,141.42,140.3,140.75,127.21,174894
2020-01-06,139.46,140.89,139.46,140.77,127.22,150386
2020-01-07,142.13,142.43,141.36,141.51,127.89,123666
2020-01-08,140.91,141.58,140.6,141.16,127.58,117713
2020-01-09,141.16,141.16,140.11,140.51,126.99,116168
2020-01-10,140.0,140.16,139.47,139.73,126.28,171995
2020-01-13,140.16,140.65,139.72,140.56,127.03,114138
2020-01-14,140.42,140.71,140.02,140.37,126.86,109402
2020-01-15,139.61,139.82,139.28,139.36,125.95,138242
2020-01-16,139.44,140.1,139.37,140.1,126.62,103996
2020-01-17,139.68,140.06,139.47,140.04,126.56,91066
2020-01-21,141.75,142.96,141.4,142.38,128.68,166190
2020-01-22,141.93,142.23,141.22,141.56,127.94,171091
2020-01-23,142.45,143.1,142.1,143.06,129.29,169429
2020-01-24,143.49,143.76,142.24,142.76,129.02,204921
2020-01-27,141.44,141.54,140.68,141.06,127.49,186798
2020-01-28,141.67,142.59,141.67,142.58,128.86,234545
2020-01-29,142.58,142.58,141.55,141.55,127.93,116867
2020-01-30,140.5,141.19,139.73,141.08,127.5,111447
2020-01-31,140.05,140.6,138.51,138.84,125.48,281598
2020-02-03,138.68,139.88,138.55,138.92,125.55,160580
2020-02-04,140.74,141.63,140.53,140.95,127.39,208091
2020-02-05,142.2,142.2,141.46,141.72,128.08,104115
2020-02-06,144.0,144.39,143.06,143.85,130.01,204572
2020-02-07,142.99,143.16,142.26,142.34,128.64,98026
2020-02-10,140.93,141.9,140.71,141.28,127.68,135834
2020-02-11,141.99,142.34,141.7,142.11,128.43,151215
2020-02-12,142.0,142.66,141.95,142.43,128.72,99055
2020-02-13,141.0,141.46,140.78,141.1,127.52,135877
2020-02-14,140.6,140.99,139.76,140.15,126.66,139167
2020-02-18,139.06,140.0,138.58,139.38,125.97,277254
2020-02-19,137.63,138.68,137.52,137.84,124.58,315218
2020-02-20,138.63,139.41,138.24,139.11,125.72,241033
2020-02-21,139.3,139.81,138.64,139.04,125.66,150574
2020-02-24,135.12,135.31,134.01,134.49,121.55,398777
2020-02-25,136.26,136.26,133.3,134.03,121.13,317759
2020-02-26,135.2,136.28,134.62,135.13,122.13,316766
2020-02-27,133.16,133.73,131.23,131.4,118.76,305003
2020-02-28,128.85,130.8,128.0,130.75,118.17,367932
2020-03-02,131.0,132.98,130.14,132.71,119.94,264418
2020-03-03,132.45,133.99,130.02,130.95,118.35,288993
2020-03-04,129.5,131.99,129.0,131.85,119.16,244625
2020-03-05,129.5,129.83,128.8,129.2,116.77,401852
2020-03-06,127.42,127.88,126.2,127.11,114.88,292231
2020-03-09,122.6,125.69,122.24,122.79,110.97,435180
2020-03-10,126.29,127.0,123.24,126.99,114.77,462064
2020-03-11,125.16,126.23,122.61,122.79,110.97,565514
2020-03-12,118.78,118.78,111.48,112.2,101.4,536601
2020-03-13,117.18,117.27,111.59,116.23,105.05,448747
2020-03-16,110.0,112.51,108.01,108.5,98.06,409442
2020-03-17,115.61,119.71,113.7,118.89,107.45,743320
2020-03-18,115.87,119.28,112.04,116.07,104.9,580103
2020-03-19,118.12,120.41,116.96,118.23,106.85,480971
2020-03-20,120.0,121.85,116.46,116.46,105.25,317048
2020-03-23,113.72,114.41,108.61,111.1,100.41,487887
2020-03-24,114.03,116.97,112.52,116.35,105.15,407425
2020-03-25,121.64,123.2,118.46,121.29,109.62,487000
2020-03-26,122.02,126.56,122.02,126.34,114.18,377343
2020-03-27,125.1,129.25,125.01,127.24,115.0,329668
2020-03-30,124.42,125.29,123.0,125.22,114.96,274374
2020-03-31,120.2,122.16,119.55,119.95,110.12,356625
2020-04-01,118.0,119.33,116.5,116.71,107.14,398074
2020-04-02,115.91,118.12,115.72,117.82,108.16,292598
2020-04-03,114.81,115.69,113.98,115.0,105.57,337153
2020-04-06,120.0,122.81,119.4,122.41,112.38,328162
2020-04-07,125.57,125.67,121.9,121.9,111.91,239632
2020-04-08,123.17,123.92,121.75,123.54,113.41,239036
2020-04-09,124.21,124.84,123.09,123.41,113.3,216263
2020-04-13,121.75,121.8,120.18,121.26,111.32,154286
2020-04-14,124.77,125.25,123.7,124.64,114.42,297779
2020-04-15,124.06,124.06,122.63,122.99,112.91,302222
2020-04-16,122.0,122.1,120.51,121.83,111.84,195371
2020-04-17,124.96,124.96,123.52,124.61,114.4,180929
2020-04-20,122.68,123.17,121.64,121.71,111.73,176737
2020-04-21,121.45,121.98,120.41,120.67,110.78,221722
2020-04-22,122.14,122.14,121.11,121.43,111.48,181688
2020-04-23,122.37,123.27,121.67,121.68,111.71,156074
2020-04-24,122.75,122.79,121.69,122.56,112.51,114119
2020-04-27,123.75,124.42,123.25,124.2,114.02,160297
2020-04-28,126.23,126.93,125.47,125.49,115.2,195734
2020-04-29,127.66,128.79,127.14,127.86,117.38,171098
2020-04-30,124.9,125.07,122.97,123.59,113.46,265322
2020-05-01,121.64,122.23,121.01,121.12,111.19,183157
2020-05-04,120.25,120.94,119.82,120.7,110.81,189496
2020-05-05,122.53,122.88,121.78,121.96,111.96,124959
2020-05-06,123.45,123.45,121.43,121.58,111.62,131436
2020-05-07,121.45,122.2,121.23,121.52,111.56,146748
2020-05-08,121.98,123.55,121.96,123.1,113.01,216226
2020-05-11,123.22,123.87,122.96,123.62,113.49,179142
2020-05-12,121.54,122.4,120.05,120.17,110.32,355267
2020-05-13,119.83,119.83,117.01,117.76,108.11,340451
2020-05-14,116.0,117.06,115.19,116.95,107.36,255298
2020-05-15,116.2,117.35,116.11,116.89,107.31,179142
2020-05-18,118.46,119.75,118.1,119.47,109.68,236273
2020-05-19,119.29,119.68,118.22,118.22,108.53,220565
2020-05-20,119.84,120.33,119.27,119.82,110.0,162627
2020-05-21,118.87,119.13,117.52,117.95,108.28,132277
2020-05-22,117.99,118.06,117.12,117.56,107.92,132095
2020-05-26,123.05,124.36,122.71,124.11,113.94,378831
2020-05-27,126.41,126.97,124.84,126.81,116.42,330230
2020-05-28,129.19,129.32,128.11,128.36,117.84,341751
2020-05-29,125.94,126.25,124.71,126.01,115.68,269315
2020-06-01,124.9,126.84,124.75,126.45,116.09,233547
2020-06-02,126.39,127.12,125.95,126.48,116.11,237883
2020-06-03,128.05,129.25,127.58,128.73,118.18,237057
2020-06-04,127.51,129.08,127.51,128.16,117.66,197045
2020-06-05,130.12,132.0,130.12,131.1,120.35,238874
2020-06-08,131.86,132.13,130.79,132.07,121.25,189468
2020-06-09,130.0,131.09,129.62,130.59,119.89,195841
2020-06-10,131.15,131.81,130.43,131.01,120.27,158378
2020-06-11,127.38,127.89,123.83,124.44,114.24,266884
2020-06-12,128.15,128.36,126.49,127.82,117.34,241555
2020-06-15,126.17,128.22,125.25,127.4,116.96,188008
2020-06-16,130.7,131.27,128.56,129.6,118.98,168979
2020-06-17,129.68,129.99,128.84,128.88,118.32,157282
2020-06-18,128.88,129.12,128.48,129.12,118.54,114179
2020-06-19,129.0,129.09,127.5,127.79,117.32,138818
2020-06-22,127.93,128.33,127.18,128.13,117.63,124589
