Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,8.34,8.34,8.34,8.34,5.41,0
2019-05-08,8.5,8.5,7.81,7.81,4.87,1888
2019-05-09,7.81,7.81,7.81,7.81,5.07,0
2019-05-10,7.81,7.81,7.81,7.81,5.07,0
2019-05-13,7.81,7.81,7.81,7.81,5.07,0
2019-05-14,7.81,7.81,7.81,7.81,5.07,0
2019-05-15,8.6,8.6,8.6,8.6,5.37,300
2019-05-16,8.6,8.6,8.6,8.6,5.58,0
2019-05-17,8.6,8.6,8.6,8.6,5.58,0
2019-05-20,10.2,10.2,9.33,9.33,5.82,1079
2019-05-21,9.5,10.0,9.47,10.0,6.24,940
2019-05-22,9.4,9.61,9.4,9.6,5.99,1351
2019-05-23,9.4,9.4,7.85,9.0,5.62,3993
2019-05-24,9.0,9.0,9.0,9.0,5.84,0
2019-05-28,8.99,8.99,8.99,8.99,5.61,440
2019-05-29,8.99,8.99,8.99,8.99,5.83,100
2019-05-30,8.99,8.99,8.99,8.99,5.83,0
2019-05-31,8.99,8.99,8.99,8.99,5.83,0
2019-06-03,8.99,8.99,8.99,8.99,5.61,202
2019-06-04,9.0,9.0,8.84,8.87,5.54,12350
2019-06-05,9.0,9.79,8.9,9.42,5.88,1282
2019-06-06,9.0,9.0,8.89,8.89,5.55,1166
2019-06-07,9.0,11.52,8.96,11.52,7.19,2131
2019-06-10,11.5,22.62,10.51,10.51,6.56,13718
2019-06-11,11.95,16.13,10.9,12.5,7.8,16601
2019-06-12,14.82,14.82,10.5,10.5,6.55,6147
2019-06-13,11.54,11.54,10.0,10.0,6.24,2661
2019-06-14,9.0,9.0,8.19,9.0,5.62,940
2019-06-17,9.0,9.0,8.95,9.0,5.62,1059
2019-06-18,8.55,9.0,8.55,9.0,5.62,731
2019-06-19,8.1,9.0,8.1,9.0,5.62,1501
2019-06-20,9.91,10.82,9.32,9.5,5.93,12962
2019-06-21,10.0,10.0,9.0,9.0,5.62,4031
2019-06-24,9.0,9.5,8.8,9.5,5.93,2826
2019-06-25,8.44,8.96,8.4,8.77,5.47,601
2019-06-26,9.0,9.1,9.0,9.0,5.62,3503
2019-06-27,9.0,9.01,9.0,9.0,5.62,500
2019-06-28,9.0,9.0,9.0,9.0,5.84,0
2019-07-01,9.0,9.0,9.0,9.0,5.84,0
2019-07-02,9.0,9.0,9.0,9.0,5.84,100
2019-07-03,9.0,9.0,9.0,9.0,5.84,0
2019-07-05,10.8,11.0,8.93,8.93,5.57,7955
2019-07-08,8.93,8.93,8.93,8.93,5.79,0
2019-07-09,8.93,8.93,8.93,8.93,5.79,0
2019-07-10,9.5,9.6,8.35,8.57,5.35,8950
2019-07-11,8.95,8.95,8.7,8.7,5.43,864
2019-07-12,8.7,8.7,8.7,8.7,5.64,100
2019-07-15,8.7,8.7,8.3,8.3,5.18,1732
2019-07-16,8.3,8.3,8.3,8.3,5.38,100
2019-07-17,8.3,8.3,8.3,8.3,5.38,100
2019-07-18,8.3,8.3,8.3,8.3,5.38,100
2019-07-19,8.3,8.3,8.3,8.3,5.38,0
2019-07-22,8.3,8.3,8.3,8.3,5.38,0
2019-07-23,8.3,8.3,8.3,8.3,5.38,0
2019-07-24,8.5,8.5,8.5,8.5,5.3,421
2019-07-25,8.5,8.5,8.5,8.5,5.51,100
2019-07-26,8.5,8.5,8.5,8.5,5.51,0
2019-07-29,8.5,8.5,8.5,8.5,5.51,0
2019-07-30,8.5,8.5,8.5,8.5,5.3,501
2019-07-31,8.6,8.6,8.45,8.45,5.27,629
2019-08-01,8.6,8.6,8.45,8.45,5.48,600
2019-08-02,9.2,9.2,8.28,8.45,5.27,2136
2019-08-05,8.1,8.1,7.8,7.8,4.87,2929
2019-08-06,7.8,7.8,7.8,7.8,5.06,0
