Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,60.17,60.32,59.8,60.09,50.88,845600
2019-05-10,60.23,60.63,59.93,60.6,51.31,859100
2019-05-13,60.15,60.43,60.11,60.35,51.1,629000
2019-05-14,59.82,60.09,59.7,59.75,50.59,748500
2019-05-15,59.93,60.46,59.87,60.35,51.1,589100
2019-05-16,60.6,61.19,60.46,60.87,51.54,955500
2019-05-17,60.97,61.11,60.79,60.85,51.53,649300
2019-05-20,60.59,60.99,60.57,60.66,51.37,474800
2019-05-21,60.93,61.0,60.43,60.52,51.25,930000
2019-05-22,61.03,61.51,60.95,61.28,51.89,1857200
2019-05-23,61.08,61.28,60.96,61.19,51.81,1081500
2019-05-24,61.91,62.09,61.71,61.94,52.45,713900
2019-05-28,61.75,62.15,61.24,61.25,51.86,839900
2019-05-29,60.82,61.2,60.58,61.18,51.81,913700
2019-05-30,61.41,61.75,61.37,61.69,52.24,611600
2019-05-31,60.89,61.12,60.77,60.91,51.58,632300
2019-06-03,61.26,61.61,61.08,61.52,52.09,806600
2019-06-04,61.39,61.45,60.96,61.38,51.98,656800
2019-06-05,61.67,61.95,61.54,61.7,52.25,629600
2019-06-06,61.86,62.21,61.77,62.08,52.57,640300
2019-06-07,62.33,62.73,62.32,62.53,52.95,621700
2019-06-10,62.09,62.29,61.93,62.27,52.73,619700
2019-06-11,62.69,62.7,62.45,62.65,53.05,605000
2019-06-12,63.11,63.45,63.1,63.16,53.48,842800
2019-06-13,62.65,62.85,62.46,62.69,53.08,659900
2019-06-14,62.28,62.68,62.27,62.61,53.02,490400
2019-06-17,62.49,62.62,62.34,62.47,52.9,499300
2019-06-18,63.02,63.02,62.3,62.34,52.79,1332000
2019-06-19,62.19,62.65,62.1,62.49,52.91,779500
2019-06-20,62.4,62.61,62.23,62.23,52.69,718800
2019-06-21,61.75,62.5,61.7,62.33,52.78,849900
2019-06-24,62.84,63.06,62.68,62.93,53.29,504100
2019-06-25,62.78,62.89,62.47,62.48,52.91,437000
2019-06-26,62.21,62.29,61.75,61.76,52.3,672600
2019-06-27,61.48,61.78,61.47,61.67,52.22,568400
2019-06-28,61.85,62.18,61.71,61.97,52.47,483500
2019-07-01,62.26,62.27,61.68,62.06,52.55,761700
2019-07-02,62.32,63.16,62.32,63.05,53.39,832100
2019-07-03,63.92,64.1,63.79,63.8,54.02,395000
2019-07-05,63.12,63.39,62.67,63.27,53.58,440900
2019-07-08,63.38,63.53,63.19,63.5,53.77,476700
2019-07-09,62.68,62.95,62.64,62.9,53.26,718800
2019-07-10,62.69,63.02,62.65,62.68,53.08,486400
2019-07-11,62.95,63.0,62.5,62.74,53.13,422900
2019-07-12,62.62,62.8,62.42,62.68,53.08,540100
2019-07-15,62.94,63.17,62.72,62.84,53.21,403800
2019-07-16,63.3,63.37,63.05,63.15,53.47,491600
2019-07-17,63.42,63.53,62.98,63.1,53.43,440300
2019-07-18,63.09,63.39,62.92,63.31,53.61,819600
2019-07-19,63.03,63.1,62.33,62.36,52.8,526900
2019-07-22,62.73,62.82,62.52,62.8,53.18,379700
2019-07-23,63.12,63.12,62.58,62.64,53.04,404200
2019-07-24,62.46,62.64,62.13,62.23,52.69,589100
2019-07-25,61.2,61.3,60.52,60.89,51.56,778100
2019-07-26,60.6,60.95,60.55,60.95,51.61,514500
2019-07-29,61.52,61.71,61.22,61.46,52.04,459000
2019-07-30,61.39,61.5,60.93,61.07,51.71,536700
2019-07-31,60.31,60.89,59.62,60.12,50.91,745900
2019-08-01,60.17,60.82,60.16,60.41,51.15,782300
2019-08-02,60.53,60.55,59.62,59.87,50.7,678400
2019-08-05,59.6,59.68,58.46,58.69,49.7,642600
2019-08-06,58.95,59.16,58.57,58.9,49.88,635900
2019-08-07,58.61,59.5,58.52,59.39,50.29,621100
2019-08-08,58.52,59.15,58.45,59.09,50.43,535000
2019-08-09,59.11,59.26,58.59,58.86,50.23,794300
2019-08-12,59.31,59.61,59.25,59.5,50.78,609800
2019-08-13,59.09,59.51,59.07,59.49,50.77,807200
2019-08-14,59.47,60.13,59.39,59.46,50.74,1050600
2019-08-15,60.21,60.43,59.84,60.03,51.23,1030600
2019-08-16,60.56,61.17,60.36,61.06,52.11,890400
2019-08-19,61.53,61.96,61.46,61.82,52.76,624900
2019-08-20,61.94,61.99,61.39,61.57,52.54,634900
2019-08-21,61.82,62.1,61.75,61.85,52.78,647400
2019-08-22,61.44,61.77,61.29,61.71,52.66,603100
2019-08-23,61.64,62.05,60.95,61.09,52.13,659300
2019-08-26,61.34,61.62,61.3,61.5,52.48,367400
2019-08-27,61.79,62.59,61.76,62.36,53.22,892000
2019-08-28,62.67,62.84,62.42,62.63,53.45,1211400
2019-08-29,63.31,63.31,62.65,62.96,53.73,893800
2019-08-30,63.51,63.54,62.91,63.18,53.92,659200
2019-09-03,63.62,64.35,63.57,64.31,54.88,651700
2019-09-04,64.31,64.84,64.24,64.83,55.32,474500
2019-09-05,64.38,64.4,63.72,63.74,54.39,651800
2019-09-06,63.86,64.09,63.79,63.87,54.5,435200
2019-09-09,63.11,63.14,62.51,62.72,53.52,803300
