Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,174.0,176.05,172.71,175.63,158.22,2138400
2019-05-10,174.33,176.26,171.81,175.92,158.48,2659600
2019-05-13,172.38,173.37,170.13,171.79,154.76,3649500
2019-05-14,172.49,176.19,172.45,174.49,157.19,2560600
2019-05-15,173.5,174.84,172.38,173.77,156.54,4089200
2019-05-16,174.08,176.53,173.87,175.63,158.22,5131300
2019-05-17,173.55,176.1,173.29,174.62,157.31,4596300
2019-05-20,174.06,175.68,173.19,174.74,157.41,3065400
2019-05-21,176.0,176.33,174.46,175.04,157.68,2519400
2019-05-22,174.63,175.18,173.02,174.46,157.16,1995200
2019-05-23,172.39,172.91,169.77,172.65,155.53,3573600
2019-05-24,173.68,173.98,170.97,172.17,155.1,1815900
2019-05-28,173.0,174.01,169.74,169.81,152.97,3819300
2019-05-29,169.44,169.78,168.13,169.0,152.24,3116700
2019-05-30,168.93,169.87,167.99,169.48,153.47,2160500
2019-05-31,167.25,167.93,164.39,166.78,151.03,4215900
2019-06-03,166.64,168.62,165.58,166.34,150.63,2788500
2019-06-04,167.98,170.59,167.04,170.41,154.32,3288000
2019-06-05,171.0,173.05,170.71,172.48,156.19,3068200
2019-06-06,172.18,172.25,169.63,170.67,154.55,2276300
2019-06-07,170.95,172.53,170.53,171.97,155.73,2221200
2019-06-10,173.53,174.93,172.07,172.39,156.11,2182800
2019-06-11,173.14,173.76,168.93,171.01,154.86,1989900
2019-06-12,170.81,172.03,169.64,171.23,155.06,2239200
2019-06-13,169.46,170.23,166.39,167.15,151.36,4219700
2019-06-14,167.5,167.66,164.82,166.99,151.22,3579600
2019-06-17,165.77,165.77,164.16,164.74,149.18,4444100
2019-06-18,165.92,167.46,165.16,165.54,149.91,4132000
2019-06-19,165.83,166.52,163.5,165.93,150.26,3778000
2019-06-20,168.21,168.56,166.65,167.43,151.62,3405300
2019-06-21,167.63,170.42,167.0,168.87,152.92,5885200
2019-06-24,168.97,169.24,166.9,167.25,151.45,2542500
2019-06-25,167.27,167.76,163.95,166.36,150.65,2586600
2019-06-26,166.75,167.22,165.51,165.83,150.17,2423100
2019-06-27,166.41,167.83,166.0,166.01,150.33,3226500
2019-06-28,166.66,169.39,166.54,169.11,153.14,4759300
2019-07-01,171.1,173.43,170.79,171.5,155.3,3211800
2019-07-02,171.79,171.98,169.77,171.23,155.06,2267700
2019-07-03,171.27,172.01,170.53,171.8,155.58,1172300
2019-07-05,171.28,171.39,166.93,170.03,153.97,2605500
2019-07-08,169.3,170.07,168.63,169.59,153.57,2200700
2019-07-09,168.92,170.0,168.55,169.6,153.58,2057500
2019-07-10,170.99,171.04,168.89,169.57,153.56,1703100
2019-07-11,169.8,172.25,169.12,171.75,155.53,2341000
2019-07-12,172.38,174.35,172.12,174.05,157.61,2036400
2019-07-15,173.56,173.97,172.43,172.69,156.38,1994400
2019-07-16,173.42,176.72,173.01,175.15,158.61,2958300
2019-07-17,171.0,171.51,163.8,164.55,149.01,10725700
2019-07-18,173.86,174.9,170.5,174.25,157.79,7476500
2019-07-19,174.4,177.59,174.05,175.3,158.74,4732600
2019-07-22,175.29,176.14,172.39,173.58,157.19,3757100
2019-07-23,174.1,174.26,171.45,173.22,156.86,2599000
2019-07-24,171.77,175.31,171.14,174.37,157.9,3149000
2019-07-25,174.06,175.11,172.86,173.21,156.85,1943400
2019-07-26,174.57,175.72,173.35,174.23,157.78,1627800
2019-07-29,174.12,177.74,173.98,177.5,160.74,3386100
2019-07-30,176.84,179.48,176.55,179.3,162.37,2825000
2019-07-31,178.15,180.3,177.3,179.95,162.96,4508400
2019-08-01,177.35,180.54,174.57,175.01,158.48,4428000
2019-08-02,174.08,174.81,172.1,173.52,157.13,2329900
2019-08-05,170.68,171.41,165.51,166.84,151.08,4051400
2019-08-06,168.12,169.45,166.37,168.33,152.43,2055300
2019-08-07,166.42,167.24,163.8,166.92,151.16,2152500
2019-08-08,168.15,170.61,167.17,169.7,153.67,2395600
2019-08-09,168.6,169.67,165.96,168.01,152.14,2325900
2019-08-12,167.2,168.71,165.34,165.67,150.02,2861800
2019-08-13,165.14,169.65,164.27,168.78,152.84,2272500
2019-08-14,166.04,166.84,163.06,163.7,148.24,3113800
2019-08-15,163.64,163.96,160.64,162.45,147.11,2873600
2019-08-16,164.11,166.89,163.45,166.25,150.55,2171500
2019-08-19,168.95,170.28,168.26,168.76,152.82,2630100
2019-08-20,168.7,168.82,167.46,167.56,151.74,2362000
2019-08-21,168.51,169.53,167.79,168.53,152.61,1724100
2019-08-22,169.08,170.09,165.95,166.07,150.39,4017700
2019-08-23,165.11,165.46,159.05,159.98,144.87,3590000
2019-08-26,161.46,162.42,158.29,159.11,144.08,3297700
2019-08-27,160.71,160.71,157.28,157.47,142.6,3994900
2019-08-28,157.47,159.73,156.61,158.4,143.44,5841100
2019-08-29,159.44,162.78,158.21,161.73,147.36,4395000
2019-08-30,162.41,164.08,161.46,161.96,147.57,2987200
2019-09-03,161.05,162.1,158.7,159.33,145.17,2682400
2019-09-04,160.24,160.9,158.62,160.08,145.86,3890400
2019-09-05,162.45,166.66,162.1,166.13,151.37,3802900
2019-09-06,166.41,167.21,164.14,164.6,149.97,2055600
2019-09-09,165.12,166.46,164.01,166.12,151.36,3297600
2019-09-10,165.35,167.73,164.85,167.57,152.68,3006700
2019-09-11,167.85,167.99,165.72,167.3,152.43,2617900
2019-09-12,167.71,168.58,166.15,167.71,152.81,2357500
2019-09-13,169.33,172.21,169.02,171.45,156.21,3160000
2019-09-16,168.81,170.89,167.0,168.95,153.94,2652500
2019-09-17,168.89,169.68,166.34,166.9,152.07,3135800
2019-09-18,166.17,168.07,165.06,167.87,152.95,1610000
2019-09-19,167.87,168.09,166.5,167.11,152.26,2463500
2019-09-20,168.22,168.57,165.61,166.38,151.6,3620400
2019-09-23,166.0,167.19,165.34,166.05,151.29,2116800
2019-09-24,167.09,169.35,164.09,165.08,150.41,3738800
2019-09-25,165.29,165.66,163.55,163.6,149.06,4675000
2019-09-26,163.86,165.59,163.6,163.73,149.18,4211400
2019-09-27,164.33,164.81,161.86,162.69,148.23,3212600
2019-09-30,164.02,164.91,161.86,161.98,147.59,3296600
2019-10-01,162.87,163.19,155.51,155.95,142.09,6011600
2019-10-02,154.5,154.71,150.34,152.02,138.51,5432000
2019-10-03,152.45,153.75,149.09,153.67,140.01,3277800
2019-10-04,154.0,156.41,153.44,156.32,142.43,3538000
2019-10-07,155.45,156.91,154.87,155.91,142.06,3249600
2019-10-08,154.35,154.81,151.28,151.47,138.01,4147700
2019-10-09,152.94,154.55,152.48,153.23,139.61,3682600
2019-10-10,152.88,155.95,152.56,155.77,141.93,3383500
2019-10-11,157.9,162.24,157.4,161.39,147.05,4844700
2019-10-14,160.52,160.74,158.86,159.55,145.37,2339200
2019-10-15,160.41,163.66,159.5,163.14,148.64,3840200
2019-10-16,162.94,164.91,162.5,163.31,148.8,3743700
2019-10-17,162.11,166.11,159.61,163.68,149.14,6315900
2019-10-18,163.18,163.93,159.86,161.5,147.15,5176700
2019-10-21,162.2,167.4,161.75,167.07,152.22,3144300
2019-10-22,167.03,170.94,165.74,170.77,155.6,4146500
2019-10-23,169.94,171.0,168.38,170.03,154.92,3150700
2019-10-24,170.86,171.95,169.78,170.39,155.25,1909100
2019-10-25,170.39,172.68,169.4,172.33,157.02,1868400
2019-10-28,172.87,173.06,170.57,170.75,155.58,2185200
2019-10-29,169.72,170.57,169.1,170.19,155.07,2112300
2019-10-30,169.22,169.65,166.36,167.95,153.03,2891600
2019-10-31,167.35,167.95,163.63,165.46,150.76,3909500
2019-11-01,167.2,172.55,166.69,172.53,157.2,3548300
2019-11-04,173.25,176.7,173.13,176.63,160.93,3683200
2019-11-05,176.63,179.48,176.45,177.77,161.97,5011400
2019-11-06,177.69,177.99,175.28,176.34,160.67,2855900
2019-11-07,177.68,180.0,176.67,177.01,161.28,2628100
2019-11-08,176.41,176.67,175.15,176.1,160.45,1441800
2019-11-11,174.91,177.11,174.43,176.8,161.09,1252100
2019-11-12,176.39,176.83,174.91,175.47,159.88,1775500
2019-11-13,174.31,176.4,173.66,175.54,159.94,2273200
2019-11-14,175.54,176.2,174.09,174.77,159.24,2152000
2019-11-15,175.18,177.1,174.77,176.27,160.61,2160300
2019-11-18,175.82,176.47,174.57,176.25,160.59,2930100
2019-11-19,176.07,177.29,175.44,177.17,161.43,3594000
2019-11-20,176.66,177.71,173.78,174.09,158.62,2915100
2019-11-21,173.84,174.83,172.3,174.17,158.69,1704400
2019-11-22,174.68,175.99,173.8,175.94,160.31,1935000
2019-11-25,176.18,179.99,175.67,179.9,163.91,2655900
2019-11-26,179.26,179.95,178.06,178.09,162.26,2946700
2019-11-27,177.48,177.8,175.93,177.19,162.33,2113500
2019-11-29,176.55,176.99,175.44,175.99,161.23,975600
2019-12-02,175.86,176.57,172.79,173.0,158.49,2099700
2019-12-03,170.9,171.07,167.15,168.0,153.91,3921600
2019-12-04,169.17,172.89,168.95,171.46,157.08,3623000
2019-12-05,171.61,171.89,169.36,170.49,156.19,2647600
2019-12-06,172.31,174.13,171.79,172.0,157.57,2123900
2019-12-09,171.29,172.58,170.52,171.36,156.99,2078900
2019-12-10,170.83,172.5,170.13,171.85,157.44,1811600
2019-12-11,172.78,174.68,172.01,174.45,159.82,2015800
2019-12-12,174.09,176.32,173.17,175.22,160.52,3377700
2019-12-13,175.83,177.53,174.16,177.03,162.18,2842400
2019-12-16,178.29,180.84,178.02,180.09,164.99,3625600
2019-12-17,179.74,180.66,177.07,177.39,162.51,3516500
2019-12-18,177.75,179.3,176.54,178.22,163.27,3786000
2019-12-19,177.85,179.2,177.03,177.47,162.59,2479200
2019-12-20,178.81,180.56,176.72,180.4,165.27,6140100
2019-12-23,180.4,180.68,179.0,179.42,164.37,1888100
2019-12-24,179.76,180.48,179.36,179.89,164.8,666000
2019-12-26,180.36,180.92,179.5,180.81,165.65,1171700
2019-12-27,181.0,181.59,180.66,181.41,166.19,1363000
2019-12-30,181.15,181.38,179.6,180.15,165.04,1493000
2019-12-31,179.96,181.26,179.54,180.79,165.63,1588800
2020-01-02,180.95,182.38,179.97,182.27,166.98,2444800
2020-01-03,179.54,181.19,178.29,180.98,165.8,2344200
