Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,18.02,18.11,18.0,18.11,12.76,3986200
2019-05-10,18.05,18.33,18.01,18.33,12.91,3894600
2019-05-13,17.33,17.34,16.75,16.77,11.81,11133100
2019-05-14,16.53,16.58,16.11,16.34,11.51,20011400
2019-05-15,16.25,16.3,16.05,16.06,11.31,10979100
2019-05-16,16.0,16.02,15.8,15.87,11.18,8469600
2019-05-17,15.75,15.83,15.7,15.74,11.09,5698000
2019-05-20,15.72,16.06,15.71,16.02,11.29,6720200
2019-05-21,16.08,16.09,15.92,15.97,11.25,5194000
2019-05-22,15.8,15.9,15.78,15.85,11.17,4160700
2019-05-23,15.57,15.61,15.53,15.56,10.96,3052500
2019-05-24,16.0,16.02,15.9,15.99,11.26,4183400
2019-05-28,16.05,16.13,15.94,15.95,11.24,5146100
2019-05-29,16.32,16.36,16.18,16.29,11.48,6556100
2019-05-30,16.32,16.45,16.23,16.38,11.54,5675800
2019-05-31,16.23,16.34,16.18,16.21,11.42,3579500
2019-06-03,16.22,16.38,16.21,16.36,11.53,2709000
2019-06-04,16.92,16.96,16.77,16.89,11.9,5599000
2019-06-05,16.91,16.93,16.74,16.78,11.82,5230900
2019-06-06,16.28,16.28,16.12,16.18,11.72,3736000
2019-06-07,16.38,16.6,16.37,16.44,11.91,4317000
2019-06-10,16.37,16.47,16.34,16.42,11.9,3685300
2019-06-11,16.61,16.65,16.42,16.47,11.93,3237200
2019-06-12,16.4,16.44,16.27,16.29,11.8,2170100
2019-06-13,16.33,16.39,16.23,16.27,11.79,2174500
2019-06-14,16.16,16.17,16.0,16.0,11.59,3423400
2019-06-17,15.92,16.0,15.89,15.92,11.53,2363900
2019-06-18,16.06,16.24,16.06,16.15,11.7,3290100
2019-06-19,15.93,16.13,15.91,16.1,11.66,2620500
2019-06-20,16.19,16.33,16.18,16.31,11.82,3429100
2019-06-21,16.11,16.18,16.03,16.14,11.69,3349200
2019-06-24,16.07,16.12,15.97,16.0,11.59,2445300
2019-06-25,15.73,15.83,15.61,15.69,11.37,6292300
2019-06-26,15.88,16.04,15.82,15.95,11.56,4853300
2019-06-27,16.22,16.33,16.19,16.26,11.78,2464400
2019-06-28,16.36,16.41,16.28,16.33,11.83,2657300
2019-07-01,16.2,16.22,15.96,16.13,11.69,2999400
2019-07-02,16.06,16.26,16.04,16.21,11.74,2776600
