Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,6.35,6.36,6.3,6.3,6.3,7000
2019-05-10,6.29,6.33,5.92,6.33,6.33,17500
2019-05-13,6.08,6.4,6.08,6.37,6.37,3100
2019-05-14,6.38,6.38,6.01,6.16,6.16,13700
2019-05-15,6.0,6.3,6.0,6.02,6.02,7200
2019-05-16,6.3,6.3,6.14,6.14,6.14,4500
2019-05-17,6.15,6.15,5.92,5.92,5.92,5200
2019-05-20,5.92,5.95,5.8,5.95,5.95,4900
2019-05-21,5.89,6.19,5.89,6.17,6.17,2300
2019-05-22,6.11,6.11,6.11,6.11,6.11,1000
2019-05-23,6.23,6.25,5.9,5.91,5.91,4200
2019-05-24,5.91,6.29,5.87,6.23,6.23,7400
2019-05-28,6.17,6.17,6.17,6.17,6.17,200
2019-05-29,6.06,6.06,5.8,6.0,6.0,3700
2019-05-30,5.9,5.9,5.9,5.9,5.9,1000
2019-05-31,6.04,6.05,5.98,5.98,5.98,2000
2019-06-03,5.8,5.81,5.79,5.8,5.8,1700
2019-06-04,5.75,5.75,5.75,5.75,5.75,200
2019-06-05,5.95,6.0,5.9,5.92,5.92,8800
2019-06-06,6.0,6.01,6.0,6.01,6.01,1100
2019-06-07,5.98,6.05,5.57,5.75,5.75,29300
2019-06-10,5.89,5.89,5.7,5.7,5.7,3100
2019-06-11,5.7,5.7,5.7,5.7,5.7,1900
2019-06-12,5.85,5.89,5.85,5.89,5.89,1100
2019-06-13,5.56,5.8,5.56,5.65,5.65,2400
2019-06-14,5.74,5.74,5.64,5.65,5.65,1700
2019-06-17,5.7,5.7,5.55,5.55,5.55,1000
2019-06-18,5.75,5.75,5.65,5.65,5.65,1500
2019-06-19,5.87,5.87,5.56,5.56,5.56,500
2019-06-20,5.85,5.86,5.85,5.86,5.86,1000
2019-06-21,5.7,5.7,5.55,5.55,5.55,2100
2019-06-24,5.86,5.86,5.85,5.86,5.86,1000
2019-06-25,5.86,5.86,5.86,5.86,5.86,100
2019-06-26,5.75,5.75,5.75,5.75,5.75,500
2019-06-27,5.53,5.58,5.25,5.26,5.26,4300
2019-06-28,5.11,5.11,5.1,5.1,5.1,600
2019-07-01,5.1,5.1,5.1,5.1,5.1,0
2019-07-02,5.41,5.44,5.28,5.44,5.44,1600
2019-07-03,5.44,5.44,5.44,5.44,5.44,0
2019-07-05,5.6,5.62,5.23,5.23,5.23,3100
2019-07-08,5.35,5.35,5.25,5.25,5.25,3000
2019-07-09,5.15,5.27,5.12,5.15,5.15,5700
2019-07-10,5.1,5.11,4.82,4.85,4.85,6200
2019-07-11,5.14,5.41,4.92,5.1,5.1,6700
2019-07-12,4.99,5.01,4.68,4.93,4.93,9400
2019-07-15,4.9,4.9,4.25,4.25,4.25,9200
2019-07-16,4.43,4.5,4.4,4.4,4.4,7700
2019-07-17,4.45,4.61,3.65,4.55,4.55,14700
2019-07-18,4.54,4.54,4.01,4.03,4.03,4200
2019-07-19,4.1,4.15,4.03,4.03,4.03,3800
2019-07-22,4.17,4.17,4.12,4.12,4.12,600
2019-07-23,4.12,4.29,4.03,4.03,4.03,1200
2019-07-24,4.07,4.07,4.05,4.05,4.05,700
2019-07-25,4.36,4.46,4.36,4.46,4.46,700
2019-07-26,4.46,4.46,4.46,4.46,4.46,200
2019-07-29,4.55,4.55,4.04,4.23,4.23,6800
2019-07-30,4.26,4.32,4.26,4.32,4.32,900
2019-07-31,4.2,4.2,4.2,4.2,4.2,200
2019-08-01,4.2,4.2,4.2,4.2,4.2,100
2019-08-02,4.47,4.6,4.21,4.42,4.42,4300
2019-08-05,4.87,5.0,4.13,4.13,4.13,16800
2019-08-06,4.14,4.51,4.13,4.22,4.22,6000
2019-08-07,4.21,4.62,4.15,4.6,4.6,2700
2019-08-08,4.55,4.8,4.5,4.52,4.52,9100
2019-08-09,4.5,4.62,4.41,4.41,4.41,6100
2019-08-12,4.3,4.5,4.25,4.4,4.4,5800
2019-08-13,4.25,4.27,4.04,4.19,4.19,2000
2019-08-14,4.04,4.18,4.0,4.03,4.03,3200
2019-08-15,3.86,4.5,3.86,4.28,4.28,2800
2019-08-16,4.01,4.45,4.01,4.16,4.16,3000
2019-08-19,4.16,4.25,4.15,4.17,4.17,1000
2019-08-20,4.28,4.61,4.28,4.45,4.45,3100
2019-08-21,4.22,4.41,4.15,4.41,4.41,2500
2019-08-22,4.17,4.4,4.17,4.4,4.4,1500
2019-08-23,4.67,4.73,4.35,4.35,4.35,2600
2019-08-26,4.6,4.6,4.49,4.49,4.49,700
2019-08-27,4.6,5.0,4.52,4.52,4.52,5100
2019-08-28,4.82,4.83,4.82,4.83,4.83,600
2019-08-29,4.53,4.53,4.33,4.33,4.33,1000
2019-08-30,4.16,4.45,4.14,4.14,4.14,2300
2019-09-03,4.57,4.84,4.41,4.5,4.5,1600
2019-09-04,4.8,4.8,4.45,4.45,4.45,1200
2019-09-05,4.36,4.46,4.06,4.2,4.2,2900
2019-09-06,4.34,4.5,4.34,4.5,4.5,500
2019-09-09,4.5,4.5,4.18,4.3,4.3,3700
2019-09-10,4.25,4.6,4.25,4.6,4.6,5700
2019-09-11,4.58,4.58,4.36,4.36,4.36,2400
2019-09-12,4.8,4.85,4.41,4.5,4.5,7200
2019-09-13,4.5,4.5,4.5,4.5,4.5,100
2019-09-16,4.5,4.53,4.12,4.5,4.5,6500
2019-09-17,4.38,4.85,4.3,4.45,4.45,9800
2019-09-18,4.65,4.7,4.3,4.7,4.7,1000
2019-09-19,4.75,4.78,4.55,4.74,4.74,11200
2019-09-20,4.85,4.85,4.72,4.72,4.72,2300
2019-09-23,4.72,4.72,4.72,4.72,4.72,100
2019-09-24,4.57,4.57,4.31,4.35,4.35,2900
2019-09-25,4.58,4.71,4.55,4.71,4.71,1200
2019-09-26,4.67,4.75,4.46,4.52,4.52,4700
2019-09-27,4.34,4.64,4.34,4.47,4.47,1900
2019-09-30,4.3,4.74,4.23,4.57,4.57,9700
2019-10-01,4.33,4.62,4.23,4.28,4.28,17200
2019-10-02,4.06,4.12,3.8,4.05,4.05,16700
2019-10-03,4.0,4.08,3.83,4.0,4.0,12800
2019-10-04,4.05,4.1,4.0,4.02,4.02,4400
2019-10-07,3.77,4.04,3.77,4.04,4.04,4100
2019-10-08,4.04,4.04,4.04,4.04,4.04,0
2019-10-09,4.04,4.04,4.04,4.04,4.04,100
2019-10-10,4.04,4.04,4.04,4.04,4.04,0
2019-10-11,4.24,4.24,4.24,4.24,4.24,200
2019-10-14,4.03,4.19,3.95,4.06,4.06,4000
2019-10-15,3.95,4.23,3.95,4.07,4.07,3800
2019-10-16,3.95,3.95,3.95,3.95,3.95,100
2019-10-17,4.0,4.25,4.0,4.25,4.25,600
2019-10-18,4.24,4.25,4.24,4.25,4.25,1700
2019-10-21,4.05,4.75,4.05,4.61,4.61,5200
2019-10-22,4.54,4.54,4.54,4.54,4.54,100
2019-10-23,4.74,4.74,4.58,4.6,4.6,1500
2019-10-24,4.4,4.71,4.4,4.71,4.71,900
2019-10-25,4.39,4.69,4.39,4.4,4.4,1200
2019-10-28,4.4,4.4,4.4,4.4,4.4,100
2019-10-29,4.4,4.4,4.4,4.4,4.4,400
2019-10-30,4.55,4.7,4.41,4.44,4.44,11800
2019-10-31,4.4,4.75,4.25,4.27,4.27,12500
2019-11-01,4.57,4.57,4.4,4.4,4.4,21200
2019-11-04,4.7,4.7,4.36,4.52,4.52,1400
2019-11-05,4.55,4.64,4.47,4.48,4.48,10700
2019-11-06,4.74,4.74,4.49,4.49,4.49,2000
2019-11-07,4.49,4.49,4.49,4.49,4.49,100
2019-11-08,4.6,4.6,4.5,4.5,4.5,1300
2019-11-11,4.55,4.64,4.55,4.63,4.63,10400
2019-11-12,4.63,4.63,4.52,4.53,4.53,1700
2019-11-13,4.5,4.5,4.35,4.47,4.47,2000
2019-11-14,4.25,4.5,4.25,4.35,4.35,4700
2019-11-15,4.5,4.5,4.25,4.25,4.25,6200
2019-11-18,4.59,4.88,4.31,4.54,4.54,26400
2019-11-19,4.41,4.47,4.26,4.41,4.41,12200
2019-11-20,4.26,4.4,4.11,4.16,4.16,30700
2019-11-21,4.07,4.2,3.65,3.7,3.7,24800
2019-11-22,3.75,3.86,3.75,3.8,3.8,14300
2019-11-25,3.89,4.09,3.85,3.99,3.99,39200
2019-11-26,4.2,4.25,4.05,4.18,4.18,18700
2019-11-27,4.04,4.07,3.78,4.0,4.0,22100
2019-11-29,4.0,4.24,4.0,4.1,4.1,7900
2019-12-02,3.99,4.22,3.9,3.9,3.9,86500
2019-12-03,3.95,4.0,3.76,3.95,3.95,37000
2019-12-04,4.0,4.08,3.95,3.98,3.98,24500
2019-12-05,3.8,4.47,3.8,4.02,4.02,51600
2019-12-06,4.0,4.04,3.75,3.82,3.82,23400
2019-12-09,3.85,4.38,3.85,3.92,3.92,23800
2019-12-10,4.01,4.04,3.85,4.0,4.0,24100
2019-12-11,4.0,4.01,3.95,4.01,4.01,1300
2019-12-12,3.96,4.1,3.86,3.95,3.95,9600
2019-12-13,3.97,4.1,3.92,3.99,3.99,17800
2019-12-16,4.01,4.49,3.95,3.99,3.99,30100
2019-12-17,4.05,4.4,4.0,4.4,4.4,12600
2019-12-18,4.42,4.44,4.37,4.38,4.38,3900
2019-12-19,4.65,5.03,4.31,4.31,4.31,50100
2019-12-20,4.45,4.55,4.32,4.44,4.44,17200
2019-12-23,4.4,4.61,4.3,4.55,4.55,15900
2019-12-24,4.36,4.55,4.31,4.55,4.55,7700
2019-12-26,4.47,7.1,4.47,6.58,6.58,128500
2019-12-27,9.1,12.89,6.5,6.51,6.51,6130400
2019-12-30,6.51,6.79,4.99,5.98,5.98,366500
2019-12-31,5.56,6.0,5.35,5.75,5.75,131800
2020-01-02,5.57,5.97,5.57,5.68,5.68,62900
2020-01-03,5.51,5.51,5.0,5.3,5.3,123200
2020-01-06,5.4,5.74,5.12,5.74,5.74,46600
2020-01-07,6.0,6.49,6.0,6.09,6.09,71900
2020-01-08,6.09,6.49,6.09,6.17,6.17,70800
2020-01-09,6.4,6.64,5.52,5.64,5.64,105300
2020-01-10,6.0,6.09,5.74,5.96,5.96,39000
2020-01-13,8.17,8.39,6.82,7.23,7.23,4515600
2020-01-14,7.21,7.21,6.25,6.31,6.31,563000
2020-01-15,6.43,6.83,5.8,5.95,5.95,475200
2020-01-16,5.92,5.95,5.64,5.91,5.91,217500
2020-01-17,5.91,5.94,5.65,5.75,5.75,204000
2020-01-21,5.78,6.75,5.78,6.42,6.42,389500
2020-01-22,6.5,6.91,6.29,6.45,6.45,127500
2020-01-23,6.39,6.39,5.78,6.06,6.06,207000
2020-01-24,6.05,6.05,5.75,5.8,5.8,131100
2020-01-27,5.7,6.49,5.5,6.09,6.09,134600
2020-01-28,6.04,6.25,5.82,5.88,5.88,96300
2020-01-29,5.84,6.1,5.7,5.75,5.75,62800
2020-01-30,5.71,5.83,5.5,5.58,5.58,113100
2020-01-31,5.55,5.75,5.3,5.5,5.5,43700
2020-02-03,5.7,5.7,5.22,5.38,5.38,73300
2020-02-04,5.4,5.6,4.96,5.24,5.24,178500
2020-02-05,5.31,5.78,5.18,5.69,5.69,197800
2020-02-06,5.69,6.05,5.5,6.0,6.0,74300
2020-02-07,6.05,6.27,5.84,6.24,6.24,90400
2020-02-10,6.45,6.7,6.26,6.65,6.65,169900
2020-02-11,6.54,7.08,6.24,6.85,6.85,118700
2020-02-12,6.56,6.99,6.52,6.83,6.83,64400
2020-02-13,6.84,7.28,6.62,6.99,6.99,76700
2020-02-14,6.99,7.4,6.61,7.28,7.28,120400
2020-02-18,7.0,7.25,6.84,6.99,6.99,97000
2020-02-19,6.91,6.98,6.6,6.8,6.8,59600
2020-02-20,6.8,6.9,6.64,6.7,6.7,32400
2020-02-21,6.74,6.8,6.64,6.79,6.79,34600
2020-02-24,6.6,6.69,6.33,6.51,6.51,31500
2020-02-25,6.57,6.92,6.06,6.19,6.19,51300
2020-02-26,6.17,7.49,5.8,6.74,6.74,106400
2020-02-27,6.39,6.74,5.78,6.23,6.23,67000
2020-02-28,6.01,6.02,5.31,5.75,5.75,56100
2020-03-02,5.79,6.15,5.67,5.76,5.76,18700
2020-03-03,5.65,5.99,5.58,5.99,5.99,31800
2020-03-04,5.96,6.2,5.8,6.11,6.11,39800
2020-03-05,6.0,6.2,5.76,5.97,5.97,18100
2020-03-06,5.88,5.99,5.75,5.92,5.92,16400
2020-03-09,5.7,5.7,4.76,5.17,5.17,47800
2020-03-10,5.2,5.6,4.79,5.0,5.0,22900
2020-03-11,4.99,5.11,4.56,4.84,4.84,32300
2020-03-12,4.5,4.51,3.82,3.91,3.91,38900
2020-03-13,4.49,4.49,3.54,4.09,4.09,40200
2020-03-16,3.69,3.75,2.82,2.82,2.82,56300
2020-03-17,2.96,2.98,2.86,2.91,2.91,33800
2020-03-18,3.0,3.0,2.12,2.16,2.16,70000
2020-03-19,2.01,2.96,2.01,2.96,2.96,57000
2020-03-20,3.4,3.41,2.98,3.36,3.36,40300
2020-03-23,3.56,3.56,2.68,2.9,2.9,39200
2020-03-24,3.34,3.88,3.03,3.61,3.61,46100
2020-03-25,3.26,4.44,3.0,4.11,4.11,33700
2020-03-26,4.31,4.35,3.8,4.15,4.15,24400
2020-03-27,4.15,4.15,3.43,3.66,3.66,64500
2020-03-30,3.8,3.99,3.44,3.65,3.65,21700
2020-03-31,4.5,5.0,3.86,4.12,4.12,127900
2020-04-01,4.13,4.3,3.6,3.85,3.85,38700
2020-04-02,3.85,4.28,3.85,3.97,3.97,21400
2020-04-03,4.02,4.02,3.49,3.61,3.61,40100
2020-04-06,3.85,4.23,3.82,4.07,4.07,24700
2020-04-07,3.83,4.21,3.83,3.92,3.92,18400
2020-04-08,3.89,4.05,3.81,3.93,3.93,15400
2020-04-09,3.9,4.17,3.87,3.87,3.87,15000
2020-04-13,4.06,4.09,3.82,4.09,4.09,14900
2020-04-14,4.36,4.39,4.11,4.35,4.35,32000
2020-04-15,4.29,4.29,3.7,3.97,3.97,47400
2020-04-16,4.08,4.3,4.05,4.16,4.16,14000
2020-04-17,4.11,4.39,4.11,4.28,4.28,45500
2020-04-20,4.34,4.64,4.12,4.52,4.52,19000
2020-04-21,4.64,5.3,4.62,5.04,5.04,145900
2020-04-22,5.19,5.72,4.56,5.33,5.33,87900
2020-04-23,5.33,5.4,4.95,5.05,5.05,21900
2020-04-24,5.34,6.15,5.28,6.01,6.01,106100
2020-04-27,6.33,6.43,5.65,6.12,6.12,95100
2020-04-28,6.1,6.26,5.66,5.99,5.99,59400
2020-04-29,5.61,5.93,5.2,5.91,5.91,82700
2020-04-30,4.94,4.94,3.85,4.24,4.24,287600
2020-05-01,4.28,4.28,3.85,3.85,3.85,136800
2020-05-04,4.2,4.2,3.79,4.01,4.01,113600
2020-05-05,4.08,4.29,3.76,4.0,4.0,67600
2020-05-06,3.93,4.15,3.89,3.94,3.94,51900
2020-05-07,4.14,4.15,3.8,3.95,3.95,45800
2020-05-08,3.91,4.09,3.9,3.91,3.91,35600
2020-05-11,4.03,4.04,3.81,3.9,3.9,65700
2020-05-12,4.03,4.1,3.92,3.97,3.97,29400
2020-05-13,3.98,4.03,3.7,3.75,3.75,50400
2020-05-14,4.51,4.54,3.83,4.38,4.38,156100
2020-05-15,4.5,4.5,4.1,4.21,4.21,40200
2020-05-18,4.13,4.4,4.13,4.22,4.22,32400
2020-05-19,4.27,4.31,4.17,4.2,4.2,31800
2020-05-20,4.23,4.25,4.02,4.17,4.17,26500
2020-05-21,4.18,4.3,4.07,4.3,4.3,21800
2020-05-22,4.31,4.34,4.13,4.25,4.25,9600
2020-05-26,4.39,4.4,4.1,4.33,4.33,62500
2020-05-27,4.47,4.47,4.16,4.4,4.4,24800
2020-05-28,4.5,4.77,4.33,4.77,4.77,67700
2020-05-29,4.61,4.89,4.4,4.76,4.76,41000
2020-06-01,4.78,4.89,4.46,4.65,4.65,35400
2020-06-02,4.78,4.89,4.5,4.83,4.83,56900
2020-06-03,4.98,5.0,4.68,4.78,4.78,27500
2020-06-04,4.76,4.81,4.5,4.65,4.65,32500
2020-06-05,4.8,4.93,4.59,4.79,4.79,37900
2020-06-08,4.7,5.8,4.7,5.61,5.61,156600
2020-06-09,5.6,5.99,5.19,5.76,5.76,36700
2020-06-10,5.89,6.0,5.46,5.55,5.55,76200
2020-06-11,5.12,5.56,4.91,5.21,5.21,45300
2020-06-12,5.12,5.43,5.0,5.1,5.1,22700
2020-06-15,4.94,5.36,4.94,5.2,5.2,7200
2020-06-16,5.39,5.43,5.17,5.19,5.19,13400
2020-06-17,5.43,5.43,5.14,5.14,5.14,17700
2020-06-18,5.23,5.42,5.02,5.16,5.16,20200
2020-06-19,5.28,5.77,5.27,5.39,5.39,63500
2020-06-22,5.25,5.5,5.06,5.36,5.36,13600
2020-06-23,5.5,6.0,5.35,5.35,5.35,63100
2020-06-24,5.48,5.64,5.08,5.11,5.11,25300
2020-06-25,5.22,5.22,5.01,5.06,5.06,36600
2020-06-26,5.06,5.18,5.0,5.06,5.06,13800
2020-06-29,5.0,5.16,4.5,4.54,4.54,31600
2020-06-30,4.74,4.84,4.54,4.68,4.68,25900
2020-07-01,4.69,5.18,4.68,4.99,4.99,18200
2020-07-02,5.16,5.6,4.75,4.78,4.78,54000
2020-07-06,5.09,5.09,4.75,4.92,4.92,14500
2020-07-07,4.87,5.0,4.84,5.0,5.0,12600
2020-07-08,5.06,5.06,4.84,4.88,4.88,9300
2020-07-09,5.0,5.0,4.4,4.6,4.6,35600
2020-07-10,4.65,4.84,4.6,4.72,4.72,20900
2020-07-13,4.85,4.97,4.52,4.72,4.72,18600
2020-07-14,4.51,4.75,4.4,4.45,4.45,16800
2020-07-15,4.6,4.86,4.6,4.72,4.72,15300
2020-07-16,4.56,5.0,4.56,4.73,4.73,7300
2020-07-17,9.63,15.71,8.0,10.2,10.2,95930100
2020-07-20,9.84,9.97,8.23,9.47,9.47,2643600
2020-07-21,8.89,9.3,8.34,8.5,8.5,735800
2020-07-22,8.65,9.5,8.49,8.68,8.68,852300
2020-07-23,8.56,9.06,8.14,8.45,8.45,352500
2020-07-24,8.33,8.4,7.5,8.0,8.0,432100
2020-07-27,8.27,8.39,6.82,7.2,7.2,496300
2020-07-28,7.01,7.54,6.85,7.46,7.46,178600
2020-07-29,7.32,7.36,6.85,7.12,7.12,200100
2020-07-30,6.89,7.19,6.76,7.14,7.14,189600
2020-07-31,6.96,7.07,6.56,6.82,6.82,155900
2020-08-03,6.67,6.82,6.52,6.66,6.66,239200
2020-08-04,6.62,7.12,6.52,7.0,7.0,291900
2020-08-05,7.04,7.18,6.86,7.04,7.04,168200
2020-08-06,7.04,7.14,6.86,6.94,6.94,181200
2020-08-07,7.01,7.83,6.87,7.83,7.83,354200
2020-08-10,8.0,8.93,7.88,8.5,8.5,710000
2020-08-11,8.5,8.93,7.67,7.75,7.75,378100
2020-08-12,8.0,8.29,7.66,7.78,7.78,239700
2020-08-13,7.95,8.03,7.1,7.18,7.18,245500
2020-08-14,8.45,8.45,7.75,8.25,8.25,793000
2020-08-17,8.6,8.6,7.86,7.92,7.92,287100
2020-08-18,8.11,8.5,8.04,8.2,8.2,280600
2020-08-19,8.23,8.42,8.11,8.35,8.35,159900
2020-08-20,8.29,8.3,7.9,8.26,8.26,108900
2020-08-21,8.13,8.26,7.56,7.75,7.75,116700
2020-08-24,7.79,7.9,7.27,7.67,7.67,183600
2020-08-25,8.0,8.0,7.35,7.65,7.65,197700
2020-08-26,7.51,7.81,7.31,7.49,7.49,135200
2020-08-27,7.46,7.74,7.3,7.38,7.38,290500
2020-08-28,7.52,7.65,6.9,7.18,7.18,112100
2020-08-31,7.07,7.25,6.86,7.01,7.01,160500
2020-09-01,7.0,7.24,6.91,7.14,7.14,133400
2020-09-02,7.12,7.3,6.87,6.92,6.92,199800
2020-09-03,6.88,7.13,6.56,6.69,6.69,270100
2020-09-04,6.72,6.72,6.02,6.55,6.55,113000
2020-09-08,6.84,7.11,6.55,6.85,6.85,132600
2020-09-09,6.82,7.25,6.78,7.13,7.13,46900
2020-09-10,7.23,7.23,6.88,6.99,6.99,70700
2020-09-11,7.11,7.15,6.83,6.84,6.84,20500
2020-09-14,6.78,7.2,6.78,7.05,7.05,53300
