Date,Open,High,Low,Close,AdjClose,Volume
2021-07-21,25.1,25.85,22.1,22.18,22.18,12281976
2021-07-22,21.4,26.74,21.25,26.0,26.0,2172271
2021-07-23,26.75,27.43,24.61,25.38,25.379999,548288
2021-07-26,25.34,25.34,24.0,24.12,24.120001,599985
2021-07-27,24.0,24.2,23.04,23.91,23.91,581683
2021-07-28,23.49,24.48,23.33,24.48,24.48,333069
2021-07-29,24.24,25.5,24.055,24.9,24.9,285063
2021-07-30,24.62,25.44,24.15,24.5,24.5,166829
2021-08-02,25.0,26.48,24.71,25.66,25.66,296351
2021-08-03,25.5,26.1899,24.81,25.69,25.690001,235310
2021-08-04,25.66,29.62,25.395,29.13,29.129999,937708
2021-08-05,29.57,31.17,29.317,30.15,30.15,779872
2021-08-06,30.52,31.55,29.53,30.5,30.5,516034
2021-08-09,30.96,32.42,30.71,32.25,32.25,952369
2021-08-10,32.7,33.36,29.1029,29.68,29.68,651345
2021-08-11,29.28,29.68,27.0,28.05,28.049999,535435
2021-08-12,27.76,28.8999,26.8684,28.75,28.75,277077
2021-08-13,28.74,29.29,28.058,29.28,29.280001,368820
2021-08-16,28.53,29.65,25.82,25.89,25.889999,634972
2021-08-17,25.8,26.79,24.8332,25.33,25.33,285282
2021-08-18,25.0,25.25,23.09,23.79,23.790001,632837
2021-08-19,23.32,24.305,21.41,21.53,21.530001,867660
2021-08-20,21.6,23.36,21.56,22.92,22.92,670072
2021-08-23,22.98,25.66,22.98,24.38,24.379999,404816
2021-08-24,24.62,25.44,24.02,24.19,24.190001,228704
2021-08-25,23.98,25.27,23.36,25.18,25.18,128889
2021-08-26,25.29,25.4999,24.7,25.08,25.08,158453
2021-08-27,24.87,27.32,24.87,26.07,26.07,211947
2021-08-30,26.31,26.31,25.18,25.44,25.440001,100195
2021-08-31,25.34,26.04,24.91,25.16,25.16,245352
2021-09-01,25.15,26.15,24.78,25.3,25.299999,236658
2021-09-02,25.5,25.9,24.89,25.59,25.59,246032
2021-09-03,25.58,26.91,25.09,26.23,26.23,237140
2021-09-07,26.21,26.72,24.195,24.56,24.559999,356058
2021-09-08,24.53,25.25,23.9,24.33,24.33,190220
2021-09-09,24.12,25.0679,23.5,23.65,23.65,244049
2021-09-10,23.54,24.6,23.54,24.27,24.27,116154
2021-09-13,24.52,24.76,23.39,23.88,23.879999,170217
2021-09-14,24.04,24.26,23.21,23.82,23.82,164308
2021-09-15,23.58,23.92,22.22,23.77,23.77,361008
2021-09-16,23.74,24.0,23.01,23.15,23.15,234673
2021-09-17,23.18,23.76,22.84,23.0,23.0,135160
2021-09-20,22.67,23.36,22.265,22.33,22.33,306720
2021-09-21,22.51,23.48,21.57,23.14,23.139999,646225
2021-09-22,23.44,24.39,23.0,23.81,23.809999,222851
2021-09-23,24.0,24.77,23.31,24.14,24.139999,201907
2021-09-24,24.97,24.97,23.44,23.68,23.68,292499
2021-09-27,23.71,23.93,22.32,22.75,22.75,426100
2021-09-28,22.57,22.67,19.5,20.71,20.709999,642900
2021-09-29,20.99,21.8025,20.59,20.69,20.690001,287904
2021-09-30,21.07,21.88,20.05,20.57,20.57,285367
2021-10-01,20.83,21.19,20.1,20.85,20.85,137656
2021-10-04,21.21,21.27,19.33,19.53,19.530001,221744
2021-10-05,19.6,19.7,18.31,18.5,18.5,284016
2021-10-06,18.0,18.5,17.39,17.8,17.799999,403281
2021-10-07,17.67,19.05,17.67,18.29,18.290001,655618
2021-10-08,18.45,18.86,18.04,18.47,18.469999,295900
2021-10-11,18.42,18.86,16.82,16.9,16.9,426064
2021-10-12,17.27,17.7,16.0,17.25,17.25,357680
2021-10-13,17.25,18.59,17.25,18.31,18.309999,152883
2021-10-14,18.71,20.06,18.51,19.96,19.959999,379673
2021-10-15,20.19,20.191,19.29,19.45,19.450001,488253
2021-10-18,19.43,19.885,19.1,19.58,19.58,194435
2021-10-19,19.6,19.92,19.095,19.3,19.299999,379936
2021-10-20,19.45,19.82,19.225,19.35,19.35,384390
2021-10-21,19.25,20.4332,19.23,19.93,19.93,635330
2021-10-22,20.01,20.63,18.42,18.82,18.82,844145
2021-10-25,18.72,20.0,18.56,19.71,19.709999,117222
2021-10-26,19.83,20.11,18.52,18.54,18.540001,470015
2021-10-27,18.72,18.9,17.65,17.78,17.780001,343381
2021-10-28,17.96,18.13,17.28,17.5,17.5,180609
2021-10-29,17.54,18.04,15.86,15.97,15.97,265662
2021-11-01,15.95,16.05,14.86,14.89,14.89,680765
2021-11-02,14.9,15.3719,14.54,14.8,14.8,282139
2021-11-03,14.92,16.84,14.65,16.75,16.75,990087
2021-11-04,16.9,17.61,16.59,17.37,17.370001,359254
2021-11-05,17.55,17.74,17.11,17.49,17.49,571668
2021-11-08,17.6,17.6,16.11,16.51,16.51,255957
2021-11-09,16.41,16.613,15.86,16.31,16.309999,119797
2021-11-10,15.92,16.99,15.86,16.25,16.25,342218
2021-11-11,16.39,16.86,16.16,16.8,16.799999,166331
2021-11-12,16.85,17.09,15.82,16.3,16.299999,259455
2021-11-15,16.4,16.98,15.62,15.75,15.75,263310
2021-11-16,15.82,16.04,14.82,15.54,15.54,311064
2021-11-17,14.92,16.65,14.6,15.15,15.15,1349477
2021-11-18,15.38,15.43,14.39,15.12,15.12,628376
2021-11-19,15.12,15.84,14.685,15.75,15.75,290517
2021-11-22,15.85,15.85,13.32,13.89,13.89,913843
2021-11-23,13.57,13.9499,12.81,13.43,13.43,623870
2021-11-24,13.22,14.62,13.03,14.54,14.54,267537
2021-11-26,14.13,14.89,13.935,14.85,14.85,114800
2021-11-29,14.51,14.91,13.62,14.55,14.55,339086
2021-11-30,14.72,14.89,14.06,14.46,14.46,202759
2021-12-01,14.55,15.05,13.98,14.21,14.21,667944
2021-12-02,13.92,14.57,13.07,14.28,14.28,657296
2021-12-03,14.35,14.78,13.21,13.69,13.69,1028516
2021-12-06,13.71,14.315,13.0,13.93,13.93,621411
2021-12-07,14.37,15.7,14.25,15.68,15.68,408018
2021-12-08,15.6,16.275,15.09,16.0,16.0,298018
2021-12-09,15.92,16.43,15.41,15.52,15.52,846927
2021-12-10,15.86,16.14,15.38,15.8,15.8,636663
2021-12-13,15.86,15.95,14.79,15.06,15.06,1345035
