Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,132.53,132.68,132.06,132.27,132.27,516720
2019-05-10,132.22,132.38,131.66,132.17,132.17,374574
2019-05-13,131.41,131.62,130.75,131.26,131.26,1174588
2019-05-14,131.3,131.69,131.03,131.03,131.03,971705
2019-05-15,131.05,131.575,130.9,130.93,130.93,615646
2019-05-16,131.15,131.405,130.53,130.62,130.62,726060
2019-05-17,130.34,131.34,130.34,130.67,130.67,729422
2019-05-20,130.59,130.79,130.4,130.65,130.65,757629
2019-05-21,131.03,131.25,130.7,130.74,130.74,842677
2019-05-22,130.59,131.01,130.36,130.36,130.36,602900
2019-05-23,130.39,130.54,130.25,130.34,130.34,446948
2019-05-24,130.55,130.79,129.75,130.26,130.26,682847
2019-05-28,130.3,130.69,129.96,130.46,130.46,375498
2019-05-29,130.24,130.74,130.16,130.5,130.5,583653
2019-05-30,130.49,131.33,130.25,130.39,130.39,303648
2019-05-31,130.16,131.09,130.05,130.91,130.91,932440
2019-06-03,130.6,131.265,130.38,130.95,130.95,390887
2019-06-04,131.7,131.7,130.57,131.11,131.11,686010
2019-06-05,131.5,131.5,130.89,131.26,131.26,445601
2019-06-06,131.2,131.32,130.99,130.99,130.99,386092
2019-06-07,131.23,131.5401,131.03,131.06,131.06,248394
2019-06-10,131.36,131.58,130.91,131.04,131.04,472942
2019-06-11,131.23,131.25,131.0,131.01,131.01,193483
2019-06-12,130.82,131.11,130.79,130.94,130.94,493173
2019-06-13,130.99,131.07,130.82,130.96,130.96,269228
2019-06-14,130.83,131.09,130.74,130.79,130.79,159383
2019-06-17,130.85,131.015,130.68,130.68,130.68,342232
2019-06-18,130.98,131.59,130.97,131.06,131.06,475893
2019-06-19,131.07,131.519,131.03,131.28,131.28,630867
2019-06-20,131.6,131.96,131.17,131.87,131.87,474167
2019-06-21,131.9,132.4,131.67,132.35,132.35,316465
2019-06-24,132.49,132.49,131.85,132.02,132.02,308052
2019-06-25,132.15,132.43,131.96,132.23,132.23,615426
