Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,24.3,24.75,24.3,24.7,18.31,3977
2019-05-10,25.02,25.17,25.02,25.13,18.63,4216
2019-05-13,24.93,24.93,24.58,24.69,18.3,8934
2019-05-14,24.68,24.95,24.68,24.92,18.47,17728
2019-05-15,25.04,25.36,24.99,25.31,18.76,16415
2019-05-16,25.74,25.82,25.62,25.62,18.99,19709
2019-05-17,25.61,25.68,25.38,25.44,18.86,7126
2019-05-20,25.5,25.5,25.37,25.4,18.83,6149
2019-05-21,25.52,25.54,25.47,25.52,18.92,9632
2019-05-22,25.61,25.61,25.51,25.61,18.99,6433
2019-05-23,25.44,25.44,25.0,25.14,18.64,13914
2019-05-24,25.04,25.04,24.63,24.7,18.31,13866
2019-05-28,24.75,24.87,24.68,24.73,18.33,6993
2019-05-29,24.89,24.89,24.55,24.75,18.35,16158
2019-05-30,24.7,24.86,24.59,24.59,18.23,31207
2019-05-31,24.52,24.57,24.3,24.35,18.05,49151
2019-06-03,23.97,24.32,23.97,24.02,17.81,19803
2019-06-04,23.95,24.18,23.92,24.18,17.93,19427
2019-06-05,23.94,24.11,23.75,23.89,17.71,13895
2019-06-06,23.93,24.02,23.92,24.02,17.81,14271
2019-06-07,24.35,24.62,24.29,24.61,18.24,16532
2019-06-10,24.42,24.64,24.34,24.58,18.22,35166
2019-06-11,24.31,24.45,24.3,24.41,18.1,39751
2019-06-12,24.36,24.36,24.16,24.16,17.91,13154
2019-06-13,23.83,24.0,23.83,23.96,17.76,19837
2019-06-14,23.88,24.2,23.88,24.07,17.84,17938
2019-06-17,23.85,24.16,23.85,23.96,17.77,16480
2019-06-18,24.1,24.5,24.1,24.5,18.16,34509
2019-06-19,24.72,24.84,24.61,24.81,18.39,5585
2019-06-20,25.34,25.84,25.13,25.69,19.04,25369
2019-06-21,25.73,25.97,25.52,25.82,19.14,26629
2019-06-24,25.88,25.91,25.76,25.76,19.1,9240
2019-06-25,26.02,26.07,25.7,25.8,19.13,5905
2019-06-26,25.56,26.04,25.56,25.91,19.21,20300
2019-06-27,26.12,26.17,25.86,26.06,19.32,3520
2019-06-28,25.48,25.65,25.4,25.44,18.86,23439
2019-07-01,25.48,25.77,25.41,25.55,18.94,20580
2019-07-02,25.53,25.67,25.37,25.4,18.83,26993
2019-07-03,25.39,25.39,25.21,25.38,18.81,3024
2019-07-05,24.74,25.34,24.74,25.24,18.71,6619
2019-07-08,25.09,25.32,25.09,25.16,18.65,5338
2019-07-09,25.02,25.31,25.02,25.19,18.67,10904
2019-07-10,24.93,25.19,24.93,25.19,18.67,36688
2019-07-11,25.15,25.2,25.06,25.11,18.61,5378
2019-07-12,25.19,25.19,25.03,25.13,18.63,13432
2019-07-15,25.2,25.38,25.19,25.19,18.67,7586
2019-07-16,24.61,24.86,24.47,24.48,18.15,20313
2019-07-17,24.56,24.66,24.39,24.39,18.08,11760
2019-07-18,23.91,24.11,23.77,23.93,17.74,14056
2019-07-19,23.7,23.83,23.65,23.68,17.56,10980
2019-07-22,23.68,23.92,23.65,23.66,17.54,12591
2019-07-23,23.88,24.05,23.77,23.89,17.71,28583
2019-07-24,24.03,24.03,23.76,23.9,17.72,10188
2019-07-25,24.19,24.19,23.75,23.84,17.67,8022
2019-07-26,23.75,23.82,23.71,23.76,17.61,21940
2019-07-29,23.66,24.11,23.66,23.98,17.78,13791
2019-07-30,23.76,23.84,23.6,23.84,17.67,132674
2019-07-31,23.87,24.07,23.57,23.67,17.55,13911
2019-08-01,23.53,23.7,22.97,23.08,17.11,36994
2019-08-02,22.88,23.06,22.22,23.02,17.07,13242
2019-08-05,22.27,22.35,21.95,22.18,16.44,40595
2019-08-06,22.41,22.41,21.88,22.09,16.38,148675
2019-08-07,22.01,22.01,21.66,21.84,16.19,47375
2019-08-08,22.85,22.85,22.49,22.72,16.84,48986
2019-08-09,22.48,22.85,22.48,22.73,16.85,57836
2019-08-12,22.36,22.44,22.29,22.35,16.57,26344
2019-08-13,22.5,22.96,22.5,22.81,16.91,47413
2019-08-14,22.06,22.61,21.9,21.92,16.25,59768
2019-08-15,21.21,21.6,21.1,21.1,15.64,107771
2019-08-16,21.0,21.23,21.0,21.18,15.7,80521
2019-08-19,21.32,21.66,21.32,21.65,16.05,57603
2019-08-20,21.72,21.82,21.59,21.59,16.01,108944
2019-08-21,21.89,22.04,21.71,21.72,16.1,50832
2019-08-22,21.68,21.9,21.68,21.76,16.13,26374
2019-08-23,21.65,21.65,21.2,21.2,15.72,29604
2019-08-26,20.96,21.07,20.93,20.93,15.77,38905
2019-08-27,20.99,21.52,20.81,20.91,15.75,103785
2019-08-28,20.66,21.24,20.66,21.13,15.92,16205
2019-08-29,21.39,21.51,21.32,21.37,16.1,34601
2019-08-30,21.66,21.7,21.29,21.4,16.12,15215
2019-09-03,20.95,21.15,20.91,21.13,15.92,22403
2019-09-04,21.14,21.35,21.09,21.33,16.07,84709
2019-09-05,21.51,21.84,21.51,21.59,16.27,36774
2019-09-06,21.73,21.82,21.69,21.82,16.44,15798
2019-09-09,21.69,22.15,21.69,21.79,16.42,25835
2019-09-10,22.18,22.33,22.16,22.33,16.82,108982
2019-09-11,22.32,22.32,21.86,21.92,16.52,22984
2019-09-12,21.77,21.77,21.38,21.5,16.19,13580
2019-09-13,21.51,21.57,21.45,21.57,16.25,13833
2019-09-16,22.25,22.8,22.25,22.7,17.1,28013
2019-09-17,22.65,22.71,22.3,22.3,16.8,54572
2019-09-18,21.75,22.3,21.75,22.04,16.61,16162
2019-09-19,22.32,22.32,21.91,21.91,16.51,11811
2019-09-20,21.86,22.05,21.78,21.79,16.41,17915
2019-09-23,22.46,22.46,21.71,21.95,16.54,26714
2019-09-24,21.9,21.98,21.62,21.68,16.33,33443
2019-09-25,21.5,21.7,21.5,21.65,16.31,23315
2019-09-26,21.38,21.58,21.34,21.46,16.16,40447
2019-09-27,21.32,21.61,21.32,21.55,16.24,25514
2019-09-30,22.24,22.24,21.63,21.76,16.39,26516
