Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,29.46,29.64,28.7,28.74,18.09,1260104
2019-05-10,29.33,29.92,28.65,29.81,18.76,827996
2019-05-13,29.67,30.24,29.28,30.14,18.97,972866
2019-05-14,30.25,30.52,30.1,30.11,18.95,625505
2019-05-15,29.85,30.63,29.8,30.42,19.15,1171988
2019-05-16,30.46,30.83,30.36,30.72,19.34,1854502
2019-05-17,30.61,30.74,30.32,30.57,19.24,938187
2019-05-20,30.42,30.76,30.33,30.71,19.33,539215
2019-05-21,30.84,31.04,30.65,30.91,19.46,1258601
2019-05-22,30.91,31.01,30.57,30.77,19.37,633382
2019-05-23,30.11,30.19,29.17,29.94,18.85,1009767
2019-05-24,30.06,30.23,29.95,30.15,18.98,539430
2019-05-28,30.2,30.42,29.95,30.17,18.99,1301771
2019-05-29,29.89,30.13,29.22,29.95,18.85,1555027
2019-05-30,30.03,30.05,29.24,29.5,18.57,975207
2019-05-31,29.2,29.81,29.04,29.19,18.37,1088601
2019-06-03,29.43,29.8,29.24,29.45,18.54,555169
2019-06-04,29.66,29.86,29.45,29.65,18.66,981376
2019-06-05,29.66,29.71,28.22,28.26,17.79,723212
2019-06-06,28.3,29.02,28.28,28.78,18.12,981903
2019-06-07,28.85,29.3,28.85,28.85,18.16,650371
2019-06-10,28.86,29.45,28.71,29.24,18.41,649001
2019-06-11,29.42,30.01,29.25,29.53,18.59,856331
2019-06-12,29.29,29.67,29.22,29.36,18.48,664901
2019-06-13,29.65,30.04,29.35,29.49,18.56,616433
2019-06-14,29.66,29.66,29.11,29.31,18.45,488818
2019-06-17,29.23,29.33,28.96,29.05,18.29,491432
2019-06-18,29.06,29.33,28.88,29.14,18.34,802725
2019-06-19,29.05,29.11,28.52,28.84,18.15,1478068
2019-06-20,29.12,29.25,28.81,28.97,18.24,876036
2019-06-21,28.96,29.29,28.72,28.75,18.1,2039739
2019-06-24,28.81,29.68,28.55,29.37,18.49,949625
2019-06-25,29.34,30.48,29.31,29.95,18.85,2141571
2019-06-26,30.29,30.58,30.01,30.42,19.15,959770
2019-06-27,30.47,30.76,30.35,30.54,19.22,669933
2019-06-28,30.65,31.0,30.35,30.77,19.37,833863
2019-07-01,31.1,31.29,30.41,30.41,19.14,465437
2019-07-02,30.36,30.74,30.12,30.65,19.29,472317
2019-07-03,30.65,31.44,30.65,31.43,19.78,208263
2019-07-05,31.32,31.99,31.2,31.95,20.11,272800
2019-07-08,31.76,31.84,31.26,31.44,19.79,782151
2019-07-09,31.52,31.52,30.88,30.95,19.48,747974
2019-07-10,31.15,31.71,30.87,31.43,19.78,326683
2019-07-11,31.44,31.57,31.05,31.48,19.82,297885
2019-07-12,31.43,31.73,31.12,31.73,19.97,216685
2019-07-15,31.8,31.82,31.34,31.49,19.82,156821
2019-07-16,31.45,31.72,31.27,31.58,19.88,515612
2019-07-17,31.61,31.71,30.62,30.7,19.32,445787
2019-07-18,30.5,30.78,30.16,30.48,19.19,433104
2019-07-19,30.47,30.59,30.22,30.35,19.1,406051
2019-07-22,30.41,31.5,30.36,31.15,19.61,496565
2019-07-23,31.15,31.54,30.97,31.08,19.56,255214
2019-07-24,31.07,31.37,30.3,30.41,19.14,374630
2019-07-25,30.54,31.03,30.37,30.6,19.26,738288
2019-07-26,30.54,30.63,30.31,30.35,19.1,606371
2019-07-29,30.46,30.74,29.64,30.66,19.3,3307459
2019-07-30,29.85,30.5,29.69,30.5,19.59,820503
2019-07-31,27.91,28.56,25.64,27.0,17.34,5149747
2019-08-01,26.62,26.89,26.18,26.5,17.02,2672056
2019-08-02,26.28,26.62,25.67,25.95,16.67,1693004
2019-08-05,25.54,25.82,24.81,25.15,16.16,1216773
2019-08-06,25.07,25.23,24.84,25.0,16.06,1675937
2019-08-07,24.75,24.75,23.45,24.09,15.48,2060607
2019-08-08,24.2,24.34,23.61,24.02,15.43,1427024
2019-08-09,24.0,24.46,23.75,24.34,15.64,1159897
2019-08-12,24.43,24.65,23.83,24.45,15.71,650535
2019-08-13,24.14,24.87,23.88,24.11,15.49,1579931
2019-08-14,23.7,23.94,23.1,23.13,14.86,1856328
2019-08-15,23.2,23.2,22.39,22.82,14.66,2443631
2019-08-16,22.99,23.13,22.73,23.02,14.79,1406455
2019-08-19,23.27,23.39,22.97,23.11,14.85,1071243
2019-08-20,23.06,23.22,22.77,22.87,14.69,1075952
2019-08-21,23.05,23.51,22.87,23.2,14.9,1469194
2019-08-22,23.18,23.45,22.61,22.83,14.67,1462444
2019-08-23,22.71,22.86,22.19,22.25,14.29,738921
2019-08-26,22.39,22.79,22.12,22.3,14.33,761357
2019-08-27,22.46,22.49,21.92,22.12,14.21,825919
2019-08-28,22.2,22.88,22.15,22.8,14.65,1075591
