Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,33.93,34.06,33.59,33.77,31.13,13726723
2019-05-08,33.42,33.68,33.29,33.43,30.83,17646065
2019-05-09,33.09,33.31,32.95,33.18,30.76,18720621
2019-05-10,33.25,34.04,33.23,33.97,31.49,26228108
2019-05-13,33.48,33.72,33.0,33.3,30.86,22084657
2019-05-14,33.38,33.62,33.3,33.43,30.99,19061107
2019-05-15,33.4,33.45,33.04,33.29,30.86,20221016
2019-05-16,34.28,34.65,33.61,33.77,31.3,51365994
2019-05-17,33.41,33.98,33.3,33.62,31.16,37113895
2019-05-20,33.46,33.99,33.42,33.84,31.37,21583356
2019-05-21,33.84,33.88,33.47,33.71,31.24,20667308
2019-05-22,33.87,34.14,33.69,34.08,31.59,22022647
2019-05-23,33.94,33.98,33.64,33.95,31.47,19363846
2019-05-24,34.06,34.29,34.03,34.22,31.72,13449514
2019-05-28,34.19,34.52,34.13,34.14,31.65,30815619
2019-05-29,34.04,34.29,33.82,34.04,31.55,19560706
2019-05-30,34.16,34.5,33.97,34.06,31.58,15058944
2019-05-31,33.78,34.01,33.53,33.81,31.34,17782469
2019-06-03,33.88,34.23,33.8,33.99,31.5,19844509
2019-06-04,34.2,34.22,33.81,34.19,31.69,17895038
2019-06-05,34.25,34.93,34.2,34.81,32.26,20708654
2019-06-06,34.83,35.22,34.73,35.04,32.48,24191199
2019-06-07,35.08,35.45,35.02,35.35,32.77,20428151
2019-06-10,35.49,35.93,35.46,35.84,33.22,18976974
2019-06-11,36.0,36.32,35.92,35.98,33.35,20241803
2019-06-12,35.97,36.3,35.97,36.27,33.62,13905238
2019-06-13,36.33,36.53,36.06,36.22,33.57,16454920
2019-06-14,36.26,36.53,36.15,36.36,33.7,13577662
2019-06-17,36.37,36.52,36.09,36.39,33.73,12441000
2019-06-18,36.6,36.65,36.3,36.55,33.88,14733512
2019-06-19,36.6,36.61,36.29,36.54,33.87,11774429
2019-06-20,36.61,36.83,36.43,36.77,34.09,15004644
2019-06-21,36.78,37.4,36.75,37.04,34.34,39535764
2019-06-24,37.16,37.41,37.01,37.08,34.37,18098529
2019-06-25,36.96,37.14,36.8,36.91,34.21,18316182
2019-06-26,36.95,37.02,36.7,36.72,34.04,12485115
2019-06-27,36.69,36.84,36.29,36.7,34.02,16443946
2019-06-28,36.85,37.17,36.75,36.83,34.14,19521091
2019-07-01,37.1,37.32,36.67,36.87,34.18,16548265
2019-07-02,36.94,37.2,36.78,37.2,34.48,12189639
2019-07-03,37.06,37.47,37.0,37.44,34.71,9621939
2019-07-05,37.33,37.41,37.07,37.33,34.6,10738261
2019-07-08,37.31,37.64,37.23,37.57,34.83,14146988
2019-07-09,37.63,37.79,37.53,37.63,34.88,16271113
2019-07-10,37.71,37.87,37.46,37.66,34.91,13737088
2019-07-11,37.78,37.98,37.67,37.97,35.2,11689718
2019-07-12,38.03,38.26,37.87,38.2,35.41,11230007
2019-07-15,38.22,38.36,38.15,38.33,35.53,10038238
2019-07-16,38.44,38.5,38.01,38.25,35.46,10464502
2019-07-17,38.27,38.39,38.07,38.2,35.41,8066090
2019-07-18,38.12,38.26,37.91,38.24,35.45,9674403
2019-07-19,38.33,38.44,37.95,37.97,35.19,11389493
2019-07-22,38.03,38.11,37.44,37.61,34.86,13562485
2019-07-23,37.71,37.73,37.19,37.36,34.63,17262905
2019-07-24,37.34,37.6,37.19,37.33,34.61,12532338
2019-07-25,37.39,37.46,37.22,37.41,34.67,11554637
2019-07-26,37.37,37.78,37.27,37.67,34.92,14187149
2019-07-29,37.61,37.66,37.25,37.42,34.69,11239796
2019-07-30,37.35,37.47,37.22,37.35,34.62,9105597
2019-07-31,37.3,37.45,36.54,36.79,34.11,18633849
2019-08-01,36.77,37.39,36.44,36.46,33.8,22364923
2019-08-02,36.58,36.71,36.05,36.47,33.8,16970143
2019-08-05,36.0,36.0,35.2,35.27,32.7,22709938
2019-08-06,35.4,35.95,35.2,35.76,33.14,21049305
2019-08-07,35.67,36.21,35.31,36.07,33.43,21835461
2019-08-08,36.0,36.28,35.92,36.17,33.7,13124335
2019-08-09,36.02,36.15,35.57,35.76,33.31,12580506
