Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,8.14,8.79,7.76,7.92,7.92,567843
2019-05-08,7.89,8.22,7.81,7.83,7.83,277217
2019-05-09,7.75,8.49,7.64,8.37,8.37,530649
2019-05-10,8.31,8.47,8.13,8.42,8.42,402699
2019-05-13,8.31,8.54,7.99,8.09,8.09,282033
2019-05-14,8.1,8.19,8.0,8.17,8.17,146316
2019-05-15,8.07,8.32,8.0,8.3,8.3,127222
2019-05-16,8.29,8.48,8.24,8.33,8.33,238111
2019-05-17,8.27,8.45,8.21,8.39,8.39,237297
2019-05-20,8.36,8.44,8.05,8.4,8.4,284716
2019-05-21,8.44,8.4899,8.29,8.33,8.33,241866
2019-05-22,8.28,8.32,8.06,8.26,8.26,170542
2019-05-23,8.14,8.14,7.89,7.94,7.94,152218
2019-05-24,7.98,8.0837,7.9,7.95,7.95,93957
2019-05-28,7.95,8.01,7.78,7.83,7.83,236108
2019-05-29,7.77,7.8466,7.63,7.77,7.77,276522
2019-05-30,7.78,7.84,7.56,7.63,7.63,151921
2019-05-31,7.53,7.59,7.45,7.46,7.46,252862
2019-06-03,7.47,7.47,7.25,7.33,7.33,295043
2019-06-04,7.39,7.46,7.17,7.3,7.3,258524
2019-06-05,7.31,7.32,6.96,7.15,7.15,321755
2019-06-06,7.15,7.26,7.025,7.24,7.24,199141
2019-06-07,7.28,7.31,7.195,7.29,7.29,190544
2019-06-10,7.31,7.41,7.26,7.27,7.27,141273
2019-06-11,7.3,7.3,7.06,7.2,7.2,163223
2019-06-12,7.16,7.22,7.09,7.17,7.17,136724
2019-06-13,7.22,7.27,7.04,7.12,7.12,147736
2019-06-14,7.11,7.24,7.06,7.16,7.16,179319
2019-06-17,7.16,7.165,6.96,7.08,7.08,170934
2019-06-18,7.13,7.44,7.13,7.34,7.34,135480
2019-06-19,7.32,7.49,7.26,7.46,7.46,235833
2019-06-20,7.47,7.57,7.32,7.42,7.42,201589
2019-06-21,7.37,7.45,7.1,7.16,7.16,194537
2019-06-24,7.14,7.22,7.07,7.17,7.17,249732
2019-06-25,7.15,7.16,6.98,7.03,7.03,243418
2019-06-26,7.05,7.08,6.88,7.0,7.0,273683
2019-06-27,6.96,7.04,6.92,7.02,7.02,300667
2019-06-28,6.99,7.35,6.905,7.26,7.26,792111
