Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,177.18,177.93,173.49,174.41,162.65,579354
2019-05-08,174.44,176.54,172.85,175.51,163.68,480553
2019-05-09,174.0,175.44,172.82,175.0,163.2,367663
2019-05-10,174.52,176.92,172.29,176.65,164.74,411467
2019-05-13,174.33,175.38,173.5,173.7,161.99,648022
2019-05-14,173.46,176.71,173.37,175.38,163.56,512921
2019-05-15,174.45,176.37,174.45,175.54,163.71,377254
2019-05-16,175.66,178.26,175.66,178.06,166.06,586999
2019-05-17,176.77,177.63,175.75,176.0,164.14,508949
2019-05-20,175.65,176.57,174.99,176.37,164.48,556721
2019-05-21,176.97,178.53,176.97,178.31,166.29,291711
2019-05-22,177.99,180.05,177.08,180.02,167.89,416000
2019-05-23,178.66,179.07,176.64,177.83,165.84,534067
2019-05-24,178.8,178.92,176.64,177.73,165.75,307843
2019-05-28,177.66,178.15,176.25,176.71,164.8,788592
2019-05-29,175.95,176.46,174.31,175.69,163.85,346295
2019-05-30,176.42,177.84,175.77,177.69,165.71,241201
2019-05-31,176.13,177.18,175.42,175.5,163.67,417639
2019-06-03,175.79,178.26,175.23,178.06,166.06,507281
2019-06-04,178.87,179.27,175.2,179.22,167.14,396077
2019-06-05,179.48,183.01,178.85,182.85,170.53,512017
2019-06-06,183.55,183.83,181.35,183.47,171.1,321155
2019-06-07,183.97,188.17,183.97,186.88,174.28,583746
2019-06-10,187.39,188.82,186.95,188.31,175.62,729080
2019-06-11,188.89,189.54,187.65,188.31,175.62,427485
2019-06-12,187.96,189.34,187.63,188.11,175.43,418534
2019-06-13,188.58,188.78,186.85,188.71,175.99,356471
2019-06-14,189.0,190.56,187.73,190.33,177.5,364149
2019-06-17,190.05,190.72,187.75,188.28,175.59,381745
2019-06-18,189.07,190.67,187.33,188.11,175.43,454047
2019-06-19,188.37,190.38,188.2,189.73,176.94,451104
2019-06-20,191.06,192.06,189.6,191.62,178.7,609179
2019-06-21,191.75,192.9,190.38,191.83,178.9,1127517
2019-06-24,191.38,192.64,191.3,191.77,178.84,351759
2019-06-25,192.05,192.96,191.77,192.31,179.35,469522
2019-06-26,192.23,192.23,185.55,186.85,174.26,709397
2019-06-27,186.29,189.25,186.29,188.95,176.83,455544
2019-06-28,189.89,192.79,188.69,191.54,179.25,682758
2019-07-01,193.81,194.2,191.81,193.94,181.5,436174
2019-07-02,194.0,195.82,193.6,195.15,182.63,431943
2019-07-03,195.48,195.74,194.16,195.74,183.18,329002
2019-07-05,195.17,196.29,193.13,195.84,183.28,311624
2019-07-08,194.5,195.22,194.11,194.67,182.18,358811
2019-07-09,193.68,195.44,192.96,195.25,182.73,405561
2019-07-10,195.58,196.69,194.47,195.61,183.06,414326
2019-07-11,197.18,197.45,194.49,196.3,183.71,535395
2019-07-12,196.52,196.8,194.93,196.42,183.82,506177
2019-07-15,197.01,197.7,196.23,197.67,184.99,345957
2019-07-16,196.98,198.36,195.66,197.49,184.82,383040
2019-07-17,197.15,197.61,195.03,195.03,182.52,405154
2019-07-18,195.58,198.06,195.03,197.7,185.02,423935
2019-07-19,198.25,198.25,195.84,195.88,183.31,402261
2019-07-22,196.07,197.38,195.41,195.64,183.09,324965
2019-07-23,196.52,197.06,194.8,196.64,184.03,273865
2019-07-24,196.06,197.34,194.92,197.18,184.53,365315
2019-07-25,197.31,198.19,196.3,196.65,184.04,432977
2019-07-26,196.99,199.49,196.09,199.18,186.4,480659
2019-07-29,198.63,199.9,197.64,199.36,186.57,595187
2019-07-30,199.09,199.35,196.97,197.49,184.82,538160
2019-07-31,199.48,200.9,192.91,195.22,182.7,1414515
2019-08-01,195.9,200.93,195.4,196.04,183.46,608563
2019-08-02,196.2,197.59,192.06,195.38,182.85,670945
2019-08-05,194.08,196.34,186.69,188.71,176.6,1156678
2019-08-06,188.71,194.59,188.24,194.15,181.7,684347
2019-08-07,190.93,194.26,189.52,193.35,180.95,506563
2019-08-08,194.26,198.31,193.28,198.22,185.5,644455
2019-08-09,198.0,199.74,196.29,197.22,184.57,853718
2019-08-12,196.73,197.06,192.56,192.93,180.55,550504
2019-08-13,192.94,196.79,192.3,195.0,182.49,1478358
2019-08-14,193.04,194.36,189.68,190.34,178.13,1014989
2019-08-15,190.26,191.29,188.6,190.46,178.24,950425
2019-08-16,192.13,194.77,190.87,194.55,182.07,1534209
2019-08-19,197.14,198.48,195.67,197.46,184.79,562048
2019-08-20,196.87,197.39,192.78,193.37,180.97,447364
2019-08-21,194.76,197.52,192.55,193.75,181.32,368499
2019-08-22,195.0,195.6,191.99,194.3,181.84,312759
2019-08-23,193.42,194.95,188.05,189.21,177.07,601854
2019-08-26,190.74,192.06,189.32,192.0,179.68,365005
2019-08-27,193.09,193.59,190.89,191.26,178.99,357859
2019-08-28,190.74,192.69,184.71,192.31,179.97,432541
2019-08-29,194.18,195.78,193.39,195.5,182.96,370422
2019-08-30,196.66,198.48,196.42,197.97,185.27,649582
2019-09-03,197.3,197.98,194.72,195.66,183.11,501646
2019-09-04,194.28,197.01,194.28,196.52,183.91,461578
2019-09-05,199.06,199.64,196.97,197.69,185.01,343285
2019-09-06,198.23,198.95,197.23,197.75,185.06,369406
2019-09-09,198.35,198.99,195.22,195.53,182.99,486455
2019-09-10,195.63,195.63,186.89,189.69,177.52,726762
2019-09-11,191.42,192.5,190.15,191.74,179.44,462629
2019-09-12,192.48,195.51,192.48,194.69,182.2,418639
2019-09-13,195.15,196.9,193.35,194.7,182.21,401269
2019-09-16,192.98,195.16,192.76,195.01,182.5,389041
2019-09-17,194.87,199.3,194.87,198.64,185.9,673779
2019-09-18,198.38,198.91,195.55,198.69,185.94,448008
2019-09-19,198.15,199.87,197.85,198.2,185.49,325920
2019-09-20,197.63,199.21,195.0,196.37,183.77,745644
2019-09-23,195.42,197.75,195.02,197.4,184.74,395625
2019-09-24,198.14,199.59,196.02,197.3,184.64,627761
2019-09-25,196.8,197.45,196.02,196.8,184.18,451169
2019-09-26,196.41,198.58,195.2,198.02,185.32,450115
2019-09-27,197.82,198.02,192.66,192.7,180.93,551528
2019-09-30,193.99,197.0,192.37,192.97,181.19,531894
2019-10-01,194.34,197.71,187.74,187.93,176.45,542010
2019-10-02,187.37,187.62,182.85,184.21,172.96,773417
2019-10-03,184.47,185.96,182.22,184.99,173.69,444350
2019-10-04,185.05,189.44,185.05,188.65,177.13,578520
2019-10-07,187.82,188.73,186.61,187.59,176.13,461860
2019-10-08,186.09,186.69,177.6,184.36,173.1,571962
2019-10-09,185.83,186.88,183.66,186.2,174.83,494056
2019-10-10,186.81,189.11,185.54,187.69,176.23,459382
2019-10-11,189.78,191.69,187.93,188.1,176.61,645293
2019-10-14,188.08,192.02,187.3,187.64,176.18,608434
2019-10-15,187.9,189.23,187.76,188.0,176.52,364004
2019-10-16,187.46,189.04,186.48,188.59,177.07,539605
2019-10-17,188.77,189.95,187.75,187.89,176.42,548034
2019-10-18,187.89,188.12,186.67,187.77,176.3,619708
2019-10-21,189.21,190.25,187.72,190.05,178.44,534915
2019-10-22,190.04,191.29,188.49,188.78,177.25,528561
2019-10-23,188.26,189.37,184.44,184.77,173.49,550103
2019-10-24,185.35,187.49,183.27,187.34,175.9,464107
2019-10-25,187.23,188.6,184.32,184.98,173.68,490704
2019-10-28,185.88,185.88,183.05,183.38,172.18,537336
2019-10-29,182.65,186.38,182.65,185.65,174.31,666275
2019-10-30,185.79,190.25,185.47,190.24,178.62,656150
2019-10-31,185.72,190.81,182.77,186.9,175.49,1411155
2019-11-01,187.34,190.25,186.75,188.99,177.45,676647
2019-11-04,189.88,190.0,185.7,186.83,175.42,501324
2019-11-05,186.59,187.79,183.79,185.01,173.71,562096
2019-11-06,185.52,187.06,185.0,186.67,175.27,677994
2019-11-07,187.06,188.23,184.74,184.99,173.69,491733
2019-11-08,185.04,185.79,183.66,185.1,173.8,474491
2019-11-11,183.99,186.92,183.21,186.58,175.19,368909
2019-11-12,186.89,187.51,185.78,187.22,175.79,501254
2019-11-13,186.82,188.29,185.45,187.62,176.16,426577
2019-11-14,187.03,190.12,186.29,189.75,178.16,637936
2019-11-15,190.7,190.7,188.08,188.95,177.41,567704
2019-11-18,188.98,189.25,187.36,187.85,176.38,466945
2019-11-19,188.42,190.24,188.42,190.2,178.59,542456
2019-11-20,189.07,191.14,188.04,190.15,178.54,475020
2019-11-21,190.04,190.56,188.95,189.93,178.33,507512
2019-11-22,190.28,190.37,188.65,189.76,178.17,409872
2019-11-25,190.35,193.37,188.61,193.13,181.34,1090444
2019-11-26,189.15,195.16,189.15,194.82,182.92,1043952
2019-11-27,195.55,196.67,194.18,196.35,184.36,361370
2019-11-29,195.49,197.38,195.49,196.44,184.44,344477
2019-12-02,196.8,196.8,194.84,195.22,183.3,505049
2019-12-03,194.16,194.96,191.95,192.52,180.76,926669
2019-12-04,192.32,194.32,190.42,193.28,181.48,689666
2019-12-05,193.23,194.09,192.48,193.92,182.08,379507
2019-12-06,195.18,196.13,194.68,195.39,183.46,409312
2019-12-09,195.3,195.76,194.31,194.79,182.89,480711
2019-12-10,195.63,196.41,194.27,194.59,182.71,410176
2019-12-11,194.71,195.18,193.77,194.41,182.54,370962
2019-12-12,194.27,198.58,194.21,198.42,186.3,696928
2019-12-13,197.71,200.29,196.77,200.04,187.82,641055
2019-12-16,200.89,201.95,199.7,201.17,188.89,551032
2019-12-17,201.72,202.42,200.6,201.23,188.94,388829
2019-12-18,201.02,202.07,200.53,201.71,189.39,653048
2019-12-19,202.01,203.94,200.85,203.85,191.4,528365
2019-12-20,204.7,206.29,203.75,205.64,193.08,1309577
2019-12-23,205.64,206.23,201.37,201.58,189.27,622163
2019-12-24,201.44,202.01,200.57,201.99,189.66,103376
2019-12-26,202.22,204.48,201.19,202.02,189.68,222724
2019-12-27,201.6,202.54,201.48,201.76,189.44,261103
2019-12-30,201.49,201.66,200.06,201.58,189.88,226771
2019-12-31,200.92,202.73,200.92,201.94,190.22,323678
2020-01-02,202.87,204.28,201.34,204.28,192.43,465836
2020-01-03,202.03,204.97,201.73,204.33,192.47,411388
2020-01-06,204.03,204.58,201.88,204.58,192.71,620609
2020-01-07,204.65,204.8,203.71,204.16,192.31,443280
2020-01-08,204.85,206.13,203.73,204.39,192.53,486444
2020-01-09,204.46,206.14,204.46,205.0,193.1,914073
2020-01-10,205.75,206.56,204.55,205.0,193.1,673789
2020-01-13,205.25,206.04,204.49,205.0,193.1,427643
2020-01-14,204.87,205.82,203.85,204.0,192.16,528003
2020-01-15,203.52,205.33,203.17,204.07,192.23,573783
2020-01-16,205.0,206.01,203.93,204.19,192.34,610659
2020-01-17,205.49,206.03,204.04,204.99,193.09,822728
2020-01-21,204.86,206.12,204.49,205.03,193.13,705655
2020-01-22,204.62,206.09,203.51,203.75,191.93,384307
2020-01-23,203.12,206.69,202.59,206.66,194.67,772677
2020-01-24,207.48,209.29,206.79,209.01,196.88,736509
2020-01-27,207.02,208.77,207.02,207.43,195.39,500536
2020-01-28,208.34,213.72,208.34,213.0,200.64,934818
2020-01-29,213.0,214.79,212.47,212.66,200.32,657047
2020-01-30,211.28,214.83,210.98,214.75,202.29,717780
2020-01-31,214.09,215.49,210.45,211.29,199.03,478229
2020-02-03,212.83,215.34,212.77,215.11,202.63,560836
2020-02-04,217.25,219.13,216.62,218.57,205.89,595852
2020-02-05,220.0,220.97,218.66,220.06,207.29,775157
2020-02-06,208.8,211.08,206.0,208.9,196.78,1667943
2020-02-07,209.02,212.39,208.32,210.25,198.05,808270
2020-02-10,208.58,214.91,208.23,214.71,202.25,726995
2020-02-11,215.4,216.12,212.83,212.98,200.62,594722
2020-02-12,213.23,213.88,212.2,212.72,200.38,505228
2020-02-13,212.72,214.09,212.57,212.8,200.45,522833
2020-02-14,211.61,213.67,211.29,213.67,201.27,499023
2020-02-18,214.02,214.21,211.57,212.69,200.35,428498
2020-02-19,213.39,213.65,211.69,211.76,199.47,390476
2020-02-20,211.46,213.27,208.67,209.5,197.34,484981
2020-02-21,208.5,208.97,206.3,208.44,196.34,790085
2020-02-24,206.36,207.88,204.82,205.54,193.61,675114
2020-02-25,206.14,206.86,202.31,202.64,190.88,767973
2020-02-26,204.54,206.48,202.81,204.44,192.58,880648
2020-02-27,202.95,205.99,194.53,194.53,183.24,966638
2020-02-28,189.92,191.18,184.35,189.25,178.27,1792410
2020-03-02,189.71,199.85,189.04,199.54,187.96,1009877
2020-03-03,197.94,200.92,194.51,197.16,185.72,1012044
2020-03-04,200.2,207.14,199.3,206.55,194.56,1143362
2020-03-05,201.35,204.38,199.92,201.77,190.06,1097066
2020-03-06,194.95,200.74,192.34,199.71,188.12,893260
2020-03-09,200.91,208.64,178.44,184.74,174.02,4032002
2020-03-10,187.95,192.89,182.22,187.67,176.78,2639328
2020-03-11,182.22,195.11,178.01,188.25,177.33,2972982
2020-03-12,177.58,184.32,165.42,172.8,162.77,2169187
2020-03-13,177.72,182.51,169.92,180.04,169.59,1989435
2020-03-16,167.23,174.7,155.56,164.01,154.49,1643943
2020-03-17,168.01,181.05,168.0,173.12,163.07,2651755
2020-03-18,165.04,165.04,145.93,157.15,148.03,1358719
2020-03-19,156.97,158.28,146.03,152.59,143.73,1416337
2020-03-20,149.27,157.99,148.16,152.63,143.77,1713027
2020-03-23,152.18,156.16,143.34,147.56,139.0,1673511
2020-03-24,153.45,172.08,153.45,169.85,159.99,1832210
2020-03-25,169.22,169.65,161.85,163.76,154.26,2078195
2020-03-26,163.98,169.35,161.52,165.5,155.9,2648220
2020-03-27,159.91,172.87,157.66,167.21,157.51,1292185
2020-03-30,168.83,174.56,165.51,172.95,163.58,1393858
2020-03-31,169.73,172.38,165.65,169.85,160.65,1301560
2020-04-01,162.13,166.7,154.26,156.19,147.73,1149189
2020-04-02,153.29,162.38,153.16,158.41,149.83,1053551
2020-04-03,157.5,159.76,153.13,157.09,148.58,1351596
2020-04-06,164.14,176.96,162.58,175.36,165.86,1296092
2020-04-07,180.04,182.3,176.02,178.69,169.01,1126739
2020-04-08,179.63,193.31,177.99,190.05,179.75,1376419
2020-04-09,191.07,196.85,189.18,196.02,185.4,824079
2020-04-13,193.88,195.64,187.48,189.7,179.42,802696
2020-04-14,192.12,197.1,190.05,197.0,186.33,1107249
2020-04-15,190.83,194.23,184.16,185.65,175.59,1078227
2020-04-16,186.44,190.82,183.67,189.19,178.94,1009163
2020-04-17,192.45,196.59,191.68,195.39,184.8,847146
2020-04-20,192.83,192.83,186.95,188.89,178.65,1486930
2020-04-21,182.85,186.9,181.58,182.5,172.61,961183
2020-04-22,184.87,186.66,181.82,185.86,175.79,612890
2020-04-23,184.9,184.9,175.61,177.0,167.41,1938818
2020-04-24,177.28,179.65,175.64,177.22,167.62,1441351
2020-04-27,179.06,180.42,174.75,175.99,166.45,873578
2020-04-28,178.27,178.78,174.46,174.93,165.45,1198908
2020-04-29,176.8,179.06,174.4,175.26,165.76,3863379
2020-04-30,174.57,179.42,173.06,178.29,168.63,1235715
2020-05-01,174.15,186.55,174.15,183.34,173.41,968943
2020-05-04,181.01,184.41,181.01,183.54,173.59,756289
2020-05-05,184.02,190.79,184.02,189.86,179.57,520554
2020-05-06,190.13,191.86,183.05,183.64,173.69,529609
2020-05-07,186.15,193.7,186.15,193.15,182.68,659635
2020-05-08,195.29,197.4,193.13,197.35,186.66,455876
2020-05-11,196.04,202.07,196.04,200.0,189.16,868607
2020-05-12,199.91,202.54,199.91,200.79,189.91,1028644
2020-05-13,199.58,201.81,196.51,197.17,186.49,840190
2020-05-14,195.83,202.2,193.28,201.66,190.73,877649
2020-05-15,201.03,201.07,198.3,200.48,189.62,1363856
2020-05-18,205.76,208.94,204.04,204.74,193.65,954985
2020-05-19,203.62,206.21,202.91,202.99,191.99,730272
2020-05-20,203.76,207.15,202.33,202.63,191.65,507301
2020-05-21,201.58,202.93,199.1,200.16,189.31,955983
2020-05-22,200.89,201.51,197.52,198.51,187.75,571476
2020-05-26,203.68,204.3,201.43,201.65,190.72,530694
2020-05-27,204.48,207.25,202.84,204.56,193.48,702075
2020-05-28,207.77,208.79,202.83,205.65,194.51,560894
2020-05-29,204.69,206.1,201.81,202.9,191.91,915759
2020-06-01,202.82,204.05,201.31,202.46,191.49,548339
2020-06-02,202.18,204.01,200.04,201.13,190.23,834042
2020-06-03,201.24,208.0,201.24,204.89,193.79,698149
2020-06-04,203.35,204.96,202.47,204.05,192.99,595787
2020-06-05,208.13,209.93,205.82,206.81,195.6,604485
2020-06-08,205.12,206.72,202.61,204.02,192.97,824044
2020-06-09,202.46,204.16,199.71,201.01,190.12,694941
2020-06-10,200.01,201.17,197.42,199.11,188.32,929425
2020-06-11,196.44,196.44,185.32,185.75,175.69,754770
2020-06-12,189.56,190.56,182.14,186.77,176.65,788709
2020-06-15,181.57,190.66,181.57,189.36,179.1,477435
2020-06-16,193.48,194.62,189.61,191.63,181.25,713911
2020-06-17,191.54,199.33,191.54,197.35,186.66,752648
2020-06-18,196.09,200.52,195.52,196.12,185.49,655342
2020-06-19,197.73,199.6,188.44,188.85,178.62,1772432
2020-06-22,188.15,195.19,188.15,193.67,183.18,1037847
2020-06-23,195.42,195.91,193.75,193.98,183.47,650285
2020-06-24,192.08,193.0,190.24,190.85,180.51,1095502
2020-06-25,191.81,199.93,190.92,199.31,188.51,836735
2020-06-26,198.17,201.35,193.43,194.55,184.01,1366342
2020-06-29,195.04,196.35,191.69,192.93,183.12,566123
2020-06-30,191.6,197.76,191.07,196.95,186.93,828591
2020-07-01,196.53,198.24,194.46,195.25,185.32,450543
2020-07-02,199.39,199.39,195.75,196.6,186.6,466436
2020-07-06,200.0,200.44,197.07,197.48,187.43,406187
2020-07-07,197.0,198.88,196.14,196.58,186.58,973967
2020-07-08,196.87,199.72,196.87,199.24,189.11,468388
2020-07-09,199.29,200.64,197.04,199.02,188.9,447358
2020-07-10,199.76,202.69,198.49,202.33,192.04,444267
