Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,76.35,76.88,75.96,76.77,59.55,13221600
2019-05-10,76.18,76.79,75.17,76.56,60.07,11056000
2019-05-13,75.65,76.23,75.36,75.71,59.4,12176100
2019-05-14,76.13,76.8,75.76,75.81,59.48,10548400
2019-05-15,75.57,76.55,75.21,76.37,59.92,8918000
2019-05-16,76.4,76.95,76.22,76.36,59.91,8105200
2019-05-17,75.65,76.3,75.59,75.91,59.56,9279400
2019-05-20,76.05,76.36,75.67,75.9,59.55,7154300
2019-05-21,76.27,76.46,75.93,76.25,59.83,8489900
2019-05-22,76.02,76.22,75.39,75.56,59.28,7858300
2019-05-23,74.77,74.8,73.04,73.79,57.9,14657200
2019-05-24,74.14,74.25,73.44,74.1,58.14,7056400
2019-05-28,74.24,74.25,72.49,72.61,56.97,14912900
2019-05-29,71.89,72.43,71.62,72.16,56.62,13645200
2019-05-30,72.02,72.13,71.53,71.97,56.47,9362100
2019-05-31,71.19,71.55,70.63,70.77,55.53,13983300
2019-06-03,71.09,72.01,70.97,71.88,56.4,11831000
2019-06-04,72.45,73.66,72.17,73.59,57.74,10423000
2019-06-05,73.64,73.64,72.58,72.98,57.26,10617800
2019-06-06,73.71,74.62,73.59,74.31,58.3,11738900
2019-06-07,74.51,74.96,74.43,74.58,58.52,9095500
2019-06-10,75.19,75.33,74.45,74.91,58.77,7760400
2019-06-11,75.51,75.81,74.82,74.84,58.72,9415100
2019-06-12,74.48,74.61,73.81,74.03,58.08,7920800
2019-06-13,74.7,75.17,74.38,74.68,58.59,8986400
2019-06-14,74.68,74.81,74.23,74.35,58.34,8575900
2019-06-17,74.16,75.19,74.04,75.09,58.92,9355700
2019-06-18,75.42,76.22,75.35,75.74,59.43,10091500
2019-06-19,75.4,75.85,75.17,75.32,59.1,9757400
2019-06-20,76.24,76.97,76.08,76.61,60.11,16229700
2019-06-21,77.14,77.76,76.87,77.69,60.96,23108100
2019-06-24,77.53,77.76,76.81,76.95,60.38,10011800
2019-06-25,77.08,77.22,76.19,76.27,59.84,9740000
2019-06-26,76.68,77.13,76.47,76.6,60.1,11365500
2019-06-27,76.59,76.75,75.76,75.82,59.49,8147800
2019-06-28,76.19,76.73,75.94,76.63,60.12,14781300
2019-07-01,77.13,77.93,76.29,76.56,60.07,11437900
2019-07-02,76.14,76.27,75.41,75.72,59.41,10475400
2019-07-03,75.82,76.5,75.63,76.44,59.97,5246100
2019-07-05,76.19,76.35,75.59,76.13,59.73,6880800
2019-07-08,76.14,76.7,75.92,76.48,60.01,7876100
2019-07-09,76.45,76.77,75.73,76.43,59.97,7863000
2019-07-10,76.8,77.63,76.74,77.51,60.81,8077400
2019-07-11,77.41,77.61,77.05,77.57,60.86,6404000
2019-07-12,77.75,77.88,77.5,77.63,60.91,6139000
2019-07-15,77.63,77.74,76.89,77.08,60.48,7116400
2019-07-16,76.92,77.07,75.79,75.93,59.57,10197400
2019-07-17,75.74,75.96,75.35,75.48,59.22,7419300
2019-07-18,75.03,75.27,74.18,74.84,58.72,11424500
2019-07-19,74.9,75.25,74.54,74.99,58.84,11243100
2019-07-22,75.24,75.3,74.5,75.07,58.9,8368800
2019-07-23,75.15,75.77,74.75,75.37,59.14,8551200
2019-07-24,75.39,76.05,74.85,75.36,59.13,8260200
2019-07-25,75.78,75.78,74.8,74.93,58.79,9083900
2019-07-26,74.87,75.08,74.6,74.81,58.7,7677300
2019-07-29,74.88,75.38,74.7,75.34,59.11,7091900
2019-07-30,75.06,75.56,74.89,75.35,59.12,6961200
2019-07-31,75.04,75.66,74.26,74.36,58.34,13104600
2019-08-01,73.74,74.27,72.27,72.46,56.85,17132800
2019-08-02,72.61,73.26,71.18,71.75,56.3,21376700
2019-08-05,70.78,70.92,69.61,70.28,55.14,19080900
2019-08-06,70.29,71.01,70.28,70.96,55.68,12282400
2019-08-07,69.86,70.88,69.4,70.5,55.31,15231100
2019-08-08,70.85,72.41,70.62,72.38,56.79,14304100
2019-08-09,72.13,72.25,70.47,70.84,55.58,13686600
2019-08-12,70.06,70.16,69.33,69.63,55.31,9542600
2019-08-13,69.27,70.62,68.92,70.49,55.99,12403300
2019-08-14,69.07,69.09,67.65,67.65,53.74,18114400
2019-08-15,67.46,67.56,66.53,67.25,53.42,12874400
2019-08-16,67.78,68.46,67.27,68.3,54.25,12649000
2019-08-19,68.97,69.65,68.86,69.45,55.17,10032800
2019-08-20,69.3,69.3,68.71,69.03,54.83,9743500
2019-08-21,69.96,69.98,69.37,69.72,55.38,10134200
2019-08-22,69.91,69.96,69.25,69.57,55.26,8972000
2019-08-23,68.82,69.53,67.03,67.49,53.61,15371900
2019-08-26,68.12,68.26,67.53,67.85,53.9,7343900
2019-08-27,68.13,68.44,66.97,67.19,53.37,9490900
2019-08-28,67.53,67.98,67.16,67.68,53.76,9647400
2019-08-29,68.3,68.67,68.09,68.43,54.36,9004100
